 	n	g	á	í	b	v	u	n	u	e	t	u	m	b	a	l	e	b	h	ó	a	s	í	b	o	ó	</S>
je	0.193455	0.127179	0.123842	0.24474	0.0912666	0.0155985	0.00599474	0.00477024	0.00410931	0.00563176	0.00782698	0.00891585	0.0122021	0.0162337	0.0173125	0.0171555	0.0160682	0.0148685	0.0138954	0.0129709	0.0100728	0.00626684	0.00750509	0.00540923	0.00432163	0.00434362	0.00804393
me	0.137513	0.0546082	0.0462536	0.0383377	0.0411996	0.0671761	0.0824286	0.137584	0.109787	0.0824877	0.0424018	0.0274417	0.0134651	0.0100827	0.00834787	0.00658326	0.00515179	0.0047444	0.00650063	0.00711786	0.00590477	0.00769485	0.00844914	0.00739031	0.00696638	0.00820664	0.0261753
suis	0.0493399	0.122755	0.0838403	0.0380675	0.0339121	0.0438487	0.0400205	0.0296701	0.0339833	0.027816	0.0275657	0.0283487	0.0257723	0.0411381	0.0587094	0.0689281	0.067308	0.0331227	0.0152485	0.0167518	0.0134042	0.018045	0.0164903	0.0161348	0.0161923	0.0229039	0.010683
battu	0.0174025	0.0110547	0.00828824	0.00723208	0.0220045	0.041511	0.0446245	0.0595181	0.104367	0.0939711	0.0594631	0.0655348	0.0442607	0.0491038	0.0508137	0.0526869	0.0514359	0.0390096	0.0284177	0.0162407	0.0132711	0.0151293	0.0146039	0.014259	0.0166029	0.026516	0.0326776
avec	0.0106881	0.00522576	0.00453374	0.00603476	0.0383457	0.081337	0.0823689	0.0972787	0.135612	0.0922755	0.0480171	0.0385119	0.024939	0.0250641	0.015062	0.0153725	0.0134875	0.0214965	0.0209133	0.0287414	0.0243412	0.0216822	0.0234683	0.0229544	0.0261351	0.0290939	0.0470189
un	0.0144019	0.0100104	0.0135033	0.0230095	0.0287534	0.0337728	0.0323685	0.0333734	0.0452906	0.0364087	0.0370158	0.033582	0.0253667	0.0229479	0.0146513	0.0162863	0.02415	0.0384317	0.0463426	0.0634335	0.0613933	0.0553557	0.0543194	0.0498692	0.052303	0.0565626	0.0770966
fou	0.0105569	0.00850285	0.00920988	0.0230894	0.0201666	0.0241056	0.0216774	0.0203846	0.028775	0.032758	0.0321357	0.0273513	0.0198126	0.0186477	0.0158559	0.0175882	0.0253433	0.0374462	0.0436959	0.0461752	0.035623	0.0538566	0.0732702	0.0725014	0.0763219	0.0980379	0.107111
dans	0.0300706	0.0257862	0.0232655	0.0318488	0.0230202	0.0309708	0.0297101	0.032298	0.0351963	0.0282888	0.0265673	0.0226484	0.020445	0.0258342	0.0224994	0.0252214	0.0340939	0.0445278	0.0352509	0.0482139	0.0418085	0.0478137	0.0579636	0.0480494	0.0520699	0.055981	0.100556
le	0.0406373	0.0167352	0.0160944	0.0206985	0.028447	0.0409646	0.033998	0.0376989	0.0446693	0.0297934	0.0237071	0.0197365	0.019376	0.0242284	0.0234191	0.0272202	0.0442647	0.0571449	0.0227421	0.0236299	0.025026	0.0301199	0.0435149	0.0485878	0.0614819	0.0867203	0.109343
rêve	0.0301116	0.024572	0.023328	0.0271898	0.0169932	0.0160815	0.0171924	0.0185151	0.0244889	0.0256163	0.0219964	0.0247662	0.0224345	0.0300779	0.0351425	0.0427204	0.0604211	0.0589055	0.0349672	0.0317984	0.0287766	0.0444794	0.0524115	0.0566812	0.059826	0.0784987	0.0920078
</S>	0.0634794	0.0329792	0.0165797	0.0110561	0.0183103	0.0497441	0.0391743	0.0553246	0.0629492	0.0317521	0.0203579	0.0182861	0.0165825	0.0202886	0.0177598	0.019966	0.0269595	0.0325212	0.0294687	0.0279035	0.0295818	0.0415463	0.0442358	0.0550381	0.0582743	0.0621309	0.0977502
