 	o	k	o	n	d	z	á	á	s	a	a	l	i	m	o	r	o	y	e	e	y	í	b	h	í	a	k	ω	m	á	n	g	á	</S>
okonza	0.0073699	0.00579079	0.00745624	0.00896329	0.00890687	0.0111858	0.0187481	0.0257136	0.0296306	0.0314178	0.082126	0.0931229	0.0894678	0.136481	0.131605	0.069464	0.0370508	0.0131188	0.0056772	0.00409505	0.00576408	0.0118052	0.0145821	0.0160663	0.0152357	0.0115565	0.0095221	0.0105452	0.0124001	0.0149582	0.0175629	0.015141	0.0159545	0.0115142
a	0.078941	0.0773157	0.0375021	0.0217362	0.0343256	0.0393382	0.0357885	0.01896	0.0164402	0.0144032	0.0139415	0.0170049	0.0243213	0.0765006	0.0939705	0.0670327	0.0728246	0.0633965	0.0552113	0.0257995	0.0156795	0.0175708	0.020824	0.00782572	0.00365656	0.0104439	0.00403337	0.00287758	0.00636854	0.00493688	0.00474363	0.00675131	0.00462428	0.00491003
dévoilé	0.0675833	0.0459986	0.0454139	0.0333622	0.0707996	0.0768714	0.0832093	0.0758625	0.0610989	0.0400734	0.0493803	0.0263916	0.0206677	0.0176591	0.0165137	0.0146768	0.021177	0.0131288	0.0106459	0.00875802	0.00406556	0.00777752	0.00825824	0.00965336	0.00274812	0.00713464	0.0109956	0.0117502	0.0142181	0.016227	0.0266171	0.0278537	0.025254	0.0281747
la	0.0220758	0.0339554	0.0466104	0.0693918	0.0870837	0.0905774	0.0433045	0.047109	0.0310889	0.045589	0.0442141	0.0329228	0.0268426	0.0227831	0.0191917	0.0168028	0.0140284	0.014471	0.0148807	0.015791	0.014407	0.012528	0.0120274	0.0129941	0.0136614	0.0119681	0.0141119	0.0131847	0.0161653	0.018427	0.026758	0.0245848	0.0247041	0.045764
personne	0.0295117	0.020708	0.019967	0.0192486	0.0201245	0.0162894	0.0147193	0.0141727	0.0133474	0.016938	0.0197504	0.0155348	0.023186	0.0223675	0.0294996	0.0360734	0.0297697	0.0523997	0.0645052	0.076415	0.060899	0.0555545	0.0405466	0.0340165	0.0292967	0.0272178	0.0186985	0.021835	0.0185011	0.0177777	0.0199084	0.0181616	0.0211397	0.061919
qui	0.0217938	0.0205574	0.0224015	0.0194433	0.0227049	0.0226016	0.0290598	0.0315606	0.025205	0.0235757	0.0213031	0.0160631	0.0172189	0.0156759	0.0157092	0.0244254	0.0375215	0.0456916	0.0341027	0.037023	0.0352591	0.034107	0.0293198	0.0199057	0.0187616	0.0122973	0.0145852	0.0188945	0.0307892	0.0334363	0.0449637	0.0449833	0.0486099	0.110449
a	0.03261	0.0470103	0.0530213	0.0457213	0.0355104	0.025611	0.0191595	0.0130957	0.0157753	0.0111864	0.010214	0.00911075	0.00833126	0.00896742	0.0103974	0.0132299	0.0349738	0.0437315	0.0520465	0.0590285	0.0539021	0.034273	0.026562	0.0188095	0.0208308	0.0109554	0.0124519	0.0178244	0.0210868	0.0262231	0.0324284	0.0351534	0.0372553	0.103512
volé	0.061163	0.0550822	0.0442224	0.0351775	0.0257393	0.0180974	0.0149819	0.00910907	0.00763287	0.00814788	0.00771179	0.00807309	0.013723	0.0155154	0.0223923	0.0296694	0.0521413	0.0562512	0.0618714	0.0362249	0.0288157	0.0184385	0.017182	0.0138703	0.0153087	0.0132137	0.0288529	0.0265276	0.0252485	0.0310114	0.029478	0.0343225	0.0458254	0.0889777
mes	0.0393229	0.0312077	0.030414	0.0217021	0.0255734	0.0162011	0.016145	0.0085036	0.00769426	0.00845004	0.0116806	0.0127782	0.0160542	0.015983	0.0233637	0.0210878	0.0178241	0.0273326	0.0203484	0.0209887	0.0236836	0.0240904	0.0227485	0.0261306	0.0229952	0.0186993	0.0228848	0.0267998	0.0418969	0.0521676	0.0646279	0.0629746	0.0791678	0.118477
bananes	0.0769598	0.0511465	0.037907	0.0229096	0.0148181	0.00593879	0.00384235	0.00374838	0.003422	0.00399335	0.00403802	0.00490624	0.00597226	0.00766682	0.0111026	0.0153179	0.0193334	0.0355188	0.0428835	0.0536948	0.045916	0.0262867	0.0224939	0.0218774	0.0185325	0.0232578	0.0344711	0.0429849	0.038221	0.04253	0.0429656	0.0539048	0.0558024	0.105636
plantains	0.0685588	0.0442135	0.0307392	0.0236426	0.021243	0.0139917	0.0157608	0.0160395	0.0181214	0.0229602	0.0180672	0.0147544	0.0193781	0.0165759	0.0187234	0.0224264	0.0174827	0.0244667	0.013739	0.0193952	0.02886	0.0227733	0.0210684	0.0218638	0.0254892	0.0312899	0.0226863	0.0268904	0.0345427	0.0374787	0.043339	0.0479272	0.0586182	0.116893
</S>	0.0803563	0.0393747	0.023866	0.0146274	0.0137737	0.00843782	0.00771393	0.00592322	0.00641036	0.0101465	0.00913683	0.011027	0.0183298	0.0208411	0.0223641	0.0235341	0.0144164	0.0237467	0.0123489	0.0166611	0.0170299	0.0217279	0.0180337	0.0207007	0.02051	0.0234675	0.0251258	0.0301028	0.0421596	0.0435382	0.0596434	0.0724448	0.0808589	0.141621
