 	n	g	ó	o	á	s	w	a	m	b	i	m	w	á	n	a	i	b	v	ú	a	</S>
la	0.162122	0.142242	0.0192862	0.0105174	0.00555084	0.00580141	0.0093754	0.00771927	0.00763659	0.0131552	0.0272111	0.065855	0.0689193	0.0686124	0.0604459	0.0549764	0.0453623	0.057732	0.0533319	0.0512961	0.0363365	0.0265146
mère	0.58675	0.188411	0.125127	0.0303157	0.011244	0.00842344	0.0212936	0.0145795	0.00559138	0.00241904	0.000565538	0.000151782	4.14616e-05	0.000115773	0.000221304	0.00102908	0.000664024	0.00150177	0.000736576	0.000455263	0.000303926	5.91917e-05
a	0.035714	0.0383236	0.0317634	0.0497676	0.0463132	0.0501492	0.0644224	0.0339464	0.0370444	0.0315899	0.0672849	0.0486372	0.0823745	0.0516816	0.0448627	0.0546336	0.0337139	0.0520442	0.0319884	0.0557798	0.0349987	0.0229665
donné	0.0482179	0.0247616	0.0291395	0.033677	0.0323739	0.0311678	0.0326204	0.0372907	0.0318814	0.0252173	0.0796768	0.0454562	0.0902326	0.0385989	0.0333761	0.0516696	0.0358584	0.0568728	0.0501517	0.0679774	0.0544075	0.0693745
un	0.0745897	0.0125173	0.0325679	0.0376044	0.0293539	0.0318998	0.0220289	0.0232456	0.0165674	0.0247283	0.023845	0.0248954	0.0383046	0.0333907	0.0367034	0.0536007	0.0870316	0.057647	0.081908	0.0897835	0.073192	0.0945949
coup	0.0290635	0.0450835	0.0273293	0.0409932	0.0360666	0.0378278	0.0402036	0.0307175	0.032556	0.0326052	0.0332814	0.0448273	0.0443524	0.0598112	0.0463227	0.0411381	0.0456519	0.0671993	0.0590425	0.0530196	0.0445855	0.108322
de	0.0449935	0.0232184	0.0197012	0.0282946	0.0343681	0.0394734	0.0329873	0.0225607	0.0198337	0.021933	0.0351299	0.034762	0.0542355	0.0633757	0.0484939	0.0574261	0.0622863	0.0634731	0.069674	0.0714324	0.0708401	0.081507
bâton	0.0290542	0.0233462	0.0252003	0.0280093	0.0360906	0.0437599	0.0474241	0.0338469	0.041113	0.0241409	0.0197297	0.0189329	0.0196194	0.042754	0.0320628	0.0322819	0.0236808	0.053301	0.0673021	0.0893094	0.106304	0.162736
à	0.0964606	0.0241443	0.0327535	0.0409776	0.0481145	0.046845	0.0359209	0.0272537	0.0163807	0.016198	0.0193031	0.0185698	0.0199569	0.0605223	0.0666171	0.0539671	0.035876	0.0427803	0.0622991	0.063465	0.0605113	0.111083
son	0.0723644	0.036948	0.0363416	0.0407689	0.0396863	0.0381863	0.0308881	0.025666	0.0178671	0.0154072	0.0139791	0.0121096	0.0156052	0.0321026	0.0452019	0.0661741	0.0480359	0.0572086	0.0800611	0.0885974	0.0822904	0.10451
enfant	0.113562	0.0485427	0.042201	0.0287135	0.0243315	0.0244147	0.0214419	0.0294962	0.0273899	0.0205619	0.0273233	0.0246659	0.0228708	0.0412718	0.0361354	0.0410435	0.0229157	0.0523225	0.0376077	0.0756796	0.0715566	0.165952
</S>	0.171055	0.0734408	0.142004	0.0746097	0.053467	0.0562265	0.0237118	0.032762	0.0195883	0.0128838	0.0184043	0.0165749	0.0224042	0.0295475	0.0241758	0.0269129	0.0209602	0.0242188	0.0194444	0.029827	0.0369119	0.0708685
