 	m	v	ú	á	y	e	e	n	ώ	í	l	a	p	ó	a	á	d	z	e	l	a	k	í	ε	</S>
la	0.017609	0.0209952	0.0178063	0.0133494	0.0148074	0.0173613	0.0320546	0.0329204	0.0619691	0.0765323	0.0833633	0.0849297	0.0953693	0.066628	0.0582589	0.0329712	0.0315904	0.0176256	0.0207905	0.0283784	0.0318936	0.036469	0.0355496	0.0350469	0.0357306
pluie	0.0463736	0.12493	0.10186	0.100467	0.12331	0.0737864	0.0461489	0.0364428	0.0239663	0.0306941	0.044745	0.0605161	0.0645867	0.0290404	0.0209274	0.0190509	0.00735419	0.00653562	0.00579267	0.00946186	0.00824278	0.00652217	0.00557507	0.00233592	0.00133311
qui	0.113705	0.0780101	0.0399235	0.0239203	0.024203	0.0206203	0.0397394	0.0455413	0.030088	0.0539876	0.0567647	0.0550901	0.0417444	0.0483524	0.0447873	0.041213	0.0647692	0.036471	0.0217994	0.0290651	0.0190801	0.0165876	0.0181015	0.0168194	0.0196161
est	0.0212268	0.0272673	0.0531377	0.101258	0.120691	0.074224	0.0461741	0.0433772	0.0347198	0.0325412	0.036211	0.0326046	0.0309198	0.0267133	0.0278299	0.028965	0.0333366	0.0272878	0.0307998	0.0245477	0.0292223	0.0233225	0.0219194	0.0204644	0.0512385
tombée	0.0826306	0.0520049	0.0477055	0.0521808	0.0495248	0.047413	0.0356809	0.0366499	0.0345091	0.0339192	0.03537	0.0319198	0.041263	0.0236806	0.0246862	0.0410103	0.0394362	0.0242888	0.0307071	0.0341359	0.0299451	0.0278075	0.0356919	0.0342659	0.0735729
hier	0.074572	0.0782295	0.0622327	0.0591093	0.0493721	0.0356941	0.0347895	0.0355472	0.025603	0.022199	0.0226911	0.0211354	0.0243243	0.0314308	0.0350414	0.0492218	0.0255225	0.0247349	0.0309644	0.0337786	0.0324352	0.0260288	0.0382071	0.0269725	0.100163
contenait	0.0410721	0.050454	0.0351568	0.0353262	0.0326956	0.0223175	0.0289526	0.0282438	0.0303969	0.0331087	0.028818	0.0231864	0.0194709	0.0247598	0.0346956	0.0627727	0.0330758	0.0625136	0.0692616	0.0430516	0.0450428	0.0304614	0.0513963	0.0391656	0.0946037
de	0.0352029	0.0277474	0.0178428	0.0166494	0.0147924	0.0128811	0.0161856	0.0149211	0.0208784	0.0284706	0.0306592	0.0257504	0.0179468	0.018965	0.0233728	0.0380917	0.0522797	0.0673692	0.0814534	0.0663369	0.0636202	0.0601165	0.067837	0.074481	0.106148
la	0.0478767	0.0351118	0.0312745	0.0277264	0.0202766	0.017185	0.0195273	0.0194402	0.0198651	0.0178255	0.014899	0.0115752	0.0116644	0.0130039	0.014814	0.0265441	0.0418344	0.0408391	0.0495234	0.0679686	0.0722885	0.0804677	0.0845313	0.0919127	0.122025
grêle	0.053094	0.0441382	0.0446138	0.0500999	0.0324907	0.0243355	0.0138185	0.0127006	0.0120644	0.0103212	0.0115443	0.0107757	0.00878054	0.00704926	0.00785554	0.0105504	0.0132437	0.011472	0.0196415	0.0357777	0.0536907	0.0690673	0.0822528	0.141453	0.219169
</S>	0.0746701	0.0667917	0.0482638	0.0410352	0.0288884	0.0232642	0.028022	0.0283551	0.0251788	0.0237491	0.0171183	0.0157575	0.0155472	0.0194049	0.0238804	0.0243456	0.0201562	0.023384	0.0336134	0.027206	0.0322401	0.0429381	0.0480961	0.0816397	0.186454
