 	o	y	é	s	i	i	á	k	ώ	n	d	i	s	i	m	w	á	n	a	w	ó	e	k	i	d	z	a	m	i	</S>
l'	0.0106319	0.00933593	0.010008	0.00822759	0.0113821	0.0210659	0.0214213	0.0367053	0.0425208	0.0443857	0.0382045	0.0506557	0.0632707	0.0561661	0.0632712	0.0511401	0.0422741	0.0540083	0.0270306	0.0254961	0.0203775	0.0370614	0.0243538	0.0337196	0.0225025	0.0301761	0.037558	0.0352175	0.0374926	0.0343392
enseignant	0.0122821	0.0179764	0.0187273	0.0245742	0.0423825	0.0723446	0.0548841	0.110682	0.0844432	0.112879	0.070575	0.0581399	0.0293293	0.0199386	0.0231595	0.0144697	0.015803	0.0209333	0.0112797	0.00638585	0.0128245	0.0146081	0.0201794	0.0231788	0.0308643	0.0410408	0.020049	0.0110531	0.00292245	0.00209002
a	0.00754263	0.007177	0.0111903	0.0109277	0.020954	0.0327318	0.0378742	0.0521676	0.0545467	0.0552724	0.0213112	0.0237512	0.0233202	0.0217863	0.0217158	0.0230037	0.0677757	0.020998	0.0372507	0.0348434	0.0359792	0.0518143	0.0550578	0.0443147	0.0553224	0.046387	0.0461004	0.0398577	0.0311594	0.00786651
recalé	0.0332627	0.0367586	0.0430399	0.0535174	0.0567169	0.052321	0.0522037	0.0496632	0.0480628	0.0354057	0.022176	0.0104467	0.0262009	0.032091	0.0258526	0.0157156	0.0259319	0.0333574	0.0501274	0.0654377	0.0395671	0.0372649	0.0279022	0.0220346	0.0188681	0.0109203	0.0131153	0.0128915	0.0140853	0.0350615
cet	0.0247795	0.0271611	0.0279418	0.0268487	0.0295006	0.0287061	0.0276682	0.0304899	0.0335962	0.0266908	0.0267593	0.0262334	0.0303847	0.0305276	0.0299548	0.033435	0.0454991	0.0467507	0.0484831	0.0555255	0.0277371	0.0351088	0.0332439	0.021869	0.0285207	0.0204629	0.0231216	0.034097	0.042536	0.0763672
enfant	0.0478999	0.0373989	0.0381485	0.0300331	0.0275904	0.0264992	0.0254894	0.0230777	0.0198073	0.0210261	0.0220157	0.0296795	0.0220553	0.0165074	0.0224208	0.0250478	0.0295647	0.0295617	0.0271444	0.0319675	0.0371873	0.0374693	0.0425425	0.0455817	0.0481618	0.0421233	0.0404177	0.0384135	0.0366283	0.0785396
à	0.0421722	0.0380256	0.0338999	0.0306775	0.0276164	0.026562	0.0227895	0.0278318	0.0205597	0.0181207	0.0190409	0.0192888	0.0148782	0.0146431	0.0143241	0.0195838	0.0274146	0.026062	0.022588	0.022381	0.0381872	0.0428121	0.0720178	0.0562562	0.0702879	0.0397756	0.0398195	0.0257276	0.0496059	0.0770506
l'	0.0765879	0.0600546	0.0399315	0.0305654	0.0136571	0.0102513	0.0121914	0.0101278	0.0125486	0.014376	0.0155227	0.0188905	0.012187	0.00891662	0.0114401	0.0119946	0.0134568	0.0255622	0.0221894	0.0194752	0.0272251	0.0189168	0.0166647	0.0279901	0.0306378	0.0594402	0.0599752	0.105088	0.0924636	0.121672
examen	0.0870853	0.0592612	0.0375766	0.0220873	0.00852288	0.00729291	0.00784295	0.00689199	0.00983936	0.0107775	0.0159231	0.0222409	0.025317	0.014998	0.0209686	0.0134656	0.0271658	0.038885	0.0249512	0.0246634	0.0423927	0.0226323	0.018738	0.0167684	0.0157988	0.037985	0.0366746	0.0971177	0.0744218	0.151714
</S>	0.0736572	0.0715507	0.0560659	0.0502987	0.030999	0.0215452	0.0267474	0.0259986	0.0252552	0.0203046	0.0228862	0.0180395	0.0127719	0.0137907	0.0126975	0.015068	0.0182814	0.03776	0.0190069	0.0173868	0.0435238	0.0267334	0.0390445	0.0335829	0.0342232	0.0299681	0.0258648	0.0293662	0.0427861	0.104795
