 	l	e	k	ú	m	a	a	a	t	ú	e	m	ó	y	έ	έ	s	ε	r	έ	b	á	a	l	a	b	í	n	í	</S>
il	0.047547	0.0260992	0.0193921	0.0180115	0.0191103	0.04231	0.0428533	0.0605019	0.0509244	0.0643334	0.0486221	0.0307712	0.0317111	0.034349	0.0318571	0.0331193	0.0285828	0.0325088	0.0363543	0.0271572	0.0230197	0.0320157	0.0249273	0.0253729	0.022404	0.0241246	0.0223321	0.0370024	0.0336195	0.0290659
faut	0.0638826	0.05917	0.0658753	0.0730574	0.0707875	0.0720169	0.0641944	0.0615888	0.0878817	0.171543	0.0731533	0.0562966	0.0156175	0.00989152	0.00592618	0.00434704	0.00320469	0.00558791	0.00449025	0.00257953	0.00242946	0.0024041	0.00244485	0.00220357	0.00260055	0.00209773	0.00216904	0.00354052	0.00350798	0.00550967
faire	0.0241548	0.0598024	0.0486436	0.038153	0.058136	0.0562685	0.0660488	0.119568	0.0981593	0.107331	0.0599795	0.0492827	0.0330832	0.0191193	0.0281086	0.0239944	0.016973	0.00965581	0.0128481	0.00884326	0.00781259	0.00750786	0.00673758	0.00434816	0.00595076	0.00464082	0.00424436	0.00683	0.00886122	0.00491396
attention	0.0527195	0.0451556	0.0565583	0.0492076	0.0573603	0.0397728	0.0357227	0.0431554	0.0676764	0.0592074	0.0397539	0.0394904	0.0302004	0.0221669	0.0389697	0.042838	0.0483761	0.0437672	0.0291762	0.0263287	0.0131098	0.0131006	0.00979418	0.0104191	0.0102269	0.0111468	0.0125164	0.0132113	0.0131358	0.0257357
à	0.0316714	0.0296904	0.0240077	0.018236	0.0193377	0.0175679	0.0172202	0.0179599	0.0254309	0.0257325	0.0176325	0.0165729	0.0235051	0.0398217	0.0599447	0.0507479	0.0431249	0.0449748	0.0385897	0.0316214	0.0245987	0.0247359	0.0203736	0.0297273	0.0324967	0.0394806	0.0544866	0.0609847	0.0418173	0.0779084
ce	0.0272453	0.0241945	0.0199193	0.023509	0.0278869	0.0266377	0.0289331	0.0292843	0.0274365	0.0290438	0.0208506	0.0252891	0.0319231	0.0285003	0.0356929	0.0455702	0.0411671	0.0351369	0.0384007	0.0327756	0.031701	0.0271496	0.0329913	0.0306821	0.0390999	0.0376047	0.0409587	0.043934	0.0425903	0.0738917
que	0.0239423	0.0281657	0.0213113	0.0246549	0.0276053	0.0251878	0.0257947	0.0198686	0.0171958	0.0168573	0.016001	0.0173871	0.0211281	0.0277307	0.0458251	0.055499	0.0522913	0.0416545	0.0434305	0.0329584	0.0325025	0.0319056	0.0299043	0.0376221	0.0377694	0.040309	0.0448413	0.0488354	0.0472098	0.064611
l'	0.0157333	0.0227071	0.020998	0.0232317	0.0242252	0.024116	0.0276011	0.0273907	0.032907	0.0300802	0.0235807	0.0263975	0.0267479	0.0331628	0.0476491	0.03152	0.0303182	0.0245164	0.0287642	0.0251547	0.0273832	0.0276999	0.0316028	0.0382198	0.0414815	0.0434251	0.0553174	0.0589275	0.0543893	0.0747518
on	0.0735941	0.0831823	0.0668512	0.052769	0.0236772	0.0189959	0.0152158	0.0137939	0.0297856	0.0323378	0.0161075	0.0266663	0.0127257	0.0111198	0.0120213	0.0213853	0.0234382	0.0403372	0.0241801	0.0249082	0.0172003	0.0298704	0.0182434	0.0264957	0.0241103	0.0295878	0.0323732	0.0397691	0.0441193	0.115138
vous	0.027072	0.0201195	0.0126354	0.00980922	0.00851343	0.00496391	0.00379256	0.00316202	0.00357867	0.00431523	0.00492281	0.00468959	0.00659787	0.00694248	0.0104932	0.0199727	0.0347521	0.0516589	0.0387731	0.0520763	0.0416694	0.0612518	0.0381077	0.0623559	0.0529159	0.0712867	0.0864567	0.0779756	0.0870091	0.0921301
dit	0.0554742	0.0379593	0.0193794	0.01059	0.00783432	0.0047397	0.00478301	0.00407962	0.00442944	0.00664076	0.00977489	0.0102143	0.00715681	0.00663581	0.0110244	0.0179917	0.0328507	0.0514026	0.0287558	0.039915	0.0266295	0.036589	0.0188441	0.0464195	0.0309551	0.0678457	0.083788	0.0739072	0.111882	0.131508
</S>	0.0541085	0.0498655	0.0346686	0.0254086	0.0183991	0.0114347	0.0112751	0.00884522	0.00807439	0.0134595	0.0153742	0.0152322	0.0134595	0.0245887	0.0235814	0.0337238	0.0481101	0.0452054	0.0285379	0.0350421	0.0299758	0.0310324	0.0222355	0.036902	0.0377746	0.0434837	0.0508281	0.0521534	0.0546778	0.122542
