 	n	z	á	á	á	d	z	a	é	m	i	s	á	á	o	p	é	n	d	a	w	a	a	b	á	r	i	o	m	i	á	b	y	ó	</S>
il	0.0204422	0.0299511	0.0590873	0.0827647	0.0807805	0.0748466	0.0372059	0.040997	0.0441904	0.0404834	0.0387719	0.0440311	0.0425492	0.035253	0.02949	0.0208855	0.0175778	0.0164167	0.0197288	0.0163077	0.018378	0.0140309	0.0103087	0.00857376	0.0142828	0.00971067	0.012426	0.0171028	0.0152117	0.0107955	0.0193574	0.0124124	0.0181589	0.0142511	0.0132385
avait	0.0702858	0.040867	0.0514927	0.0640404	0.0496353	0.0428249	0.0423679	0.0463799	0.0364161	0.0252483	0.063936	0.081132	0.0692255	0.04623	0.0657257	0.0422493	0.0363131	0.0121841	0.00497552	0.00386984	0.00375251	0.00592639	0.0044015	0.00272849	0.00950287	0.00222657	0.0111674	0.00683034	0.00694062	0.00677564	0.00979796	0.00492161	0.0056039	0.00778131	0.0162435
tellement	0.037889	0.0494564	0.0224093	0.0162909	0.0160834	0.0166381	0.0231369	0.0241175	0.0280952	0.0368065	0.0929335	0.0566925	0.0653674	0.0497154	0.0388085	0.0698463	0.0653593	0.0557119	0.0222812	0.0183788	0.0272666	0.0253178	0.0117794	0.0107823	0.00905113	0.0079955	0.0111833	0.0157959	0.016284	0.0131856	0.0144066	0.0105138	0.00883553	0.00756094	0.00402358
faim	0.0122054	0.0164549	0.0170694	0.0257381	0.0216612	0.012754	0.00828602	0.00752171	0.00606175	0.00678073	0.012923	0.00857791	0.0101984	0.011936	0.0106891	0.0176704	0.0295866	0.0455837	0.0715691	0.0419513	0.0636065	0.0801023	0.090533	0.0759301	0.054553	0.046018	0.0266159	0.024652	0.0207906	0.0116228	0.0236445	0.0239083	0.0220798	0.0192454	0.021479
il	0.0164647	0.0208579	0.0151865	0.0150199	0.0197035	0.0174891	0.0376339	0.0439295	0.0374153	0.0290983	0.0445823	0.0357396	0.0483288	0.0439926	0.0185748	0.0323915	0.0508109	0.0462981	0.0294613	0.0427218	0.0287341	0.0323919	0.0382512	0.0386794	0.0376709	0.0405191	0.0298358	0.017358	0.0132922	0.00922022	0.0118011	0.0130692	0.0102804	0.0123221	0.0208742
a	0.0367922	0.0284353	0.023983	0.0239928	0.0274714	0.0230278	0.0327231	0.031539	0.0226269	0.0181983	0.0222248	0.0213667	0.0220688	0.0285572	0.0200122	0.0331157	0.0559322	0.0392306	0.015316	0.0228253	0.0245079	0.0170773	0.0220312	0.021177	0.0295846	0.0285255	0.0306807	0.0274786	0.0255096	0.019029	0.0243881	0.0288914	0.0300033	0.0414219	0.080255
avala	0.063245	0.0536564	0.0426825	0.0345308	0.0302184	0.0311536	0.0277161	0.0212152	0.0150374	0.0156674	0.0201051	0.0203402	0.0284125	0.0334082	0.0307705	0.0441103	0.0561216	0.0423521	0.0159306	0.0205791	0.0136645	0.00868768	0.00971971	0.0114659	0.0161482	0.0111594	0.015406	0.0147448	0.0121788	0.0134603	0.016339	0.0265436	0.0373563	0.0602751	0.0855976
tout	0.033317	0.0164718	0.0171416	0.0178043	0.0259277	0.0317827	0.0357224	0.0388177	0.0309358	0.0260432	0.0317968	0.0439491	0.0773516	0.0672136	0.0651398	0.0831645	0.0816138	0.0415203	0.0143508	0.0168195	0.00787148	0.00521365	0.00824858	0.00666531	0.0115867	0.00816088	0.0100387	0.00840655	0.00684708	0.00781375	0.00871734	0.0112318	0.0134378	0.023058	0.0658185
d'	0.0686954	0.0395494	0.0333292	0.0287224	0.0299345	0.0360407	0.0256877	0.0218157	0.0176784	0.0165775	0.0167535	0.0135178	0.024646	0.0225914	0.0226121	0.0316374	0.0437849	0.0464911	0.0235158	0.0302531	0.0114035	0.00657504	0.00792002	0.010022	0.0153368	0.00915784	0.0158399	0.0162289	0.015148	0.0148733	0.0234754	0.0280613	0.0470312	0.0721876	0.112905
un	0.140459	0.0574855	0.0341373	0.026333	0.0166244	0.0134551	0.0137635	0.014732	0.0135487	0.0140411	0.0135402	0.0129671	0.0152786	0.0139911	0.0175477	0.024061	0.0302086	0.0341961	0.027032	0.0285754	0.0264225	0.0154647	0.00820435	0.0115939	0.0200844	0.0211793	0.0247299	0.0197078	0.0105168	0.0110239	0.02449	0.0345662	0.0561857	0.0654462	0.0884071
coup	0.0373991	0.0265265	0.0197425	0.0144995	0.00891284	0.0094829	0.00860436	0.0102372	0.0104843	0.0123565	0.0145408	0.0149053	0.0150657	0.0167201	0.0190307	0.0228961	0.035838	0.0564377	0.0601892	0.0565411	0.0467055	0.0265869	0.0232854	0.0179862	0.0342651	0.0146293	0.0197931	0.0215095	0.0084576	0.0132195	0.0275981	0.0378296	0.0530797	0.066976	0.117668
</S>	0.125287	0.0632489	0.0368905	0.0289907	0.0202818	0.0225768	0.0211687	0.0158997	0.0110479	0.0105033	0.0118225	0.0129292	0.0156961	0.0115065	0.012528	0.0144464	0.0121312	0.00981361	0.00825054	0.00779529	0.00801459	0.00761449	0.00661919	0.00602417	0.0111982	0.0103605	0.0268128	0.0250839	0.0223585	0.0347483	0.0402257	0.0696966	0.0724593	0.0766642	0.109305
