 	b	á	a	á	d	z	w	e	o	b	v	u	n	á	e	t	u	m	b	a	y	í	i	e	l	ó	m	i	o	k	o	l	o	</S>
ils	0.166552	0.218325	0.150011	0.0913416	0.0914697	0.0406778	0.0114907	0.0129173	0.00603695	0.00461782	0.00500473	0.00684313	0.00661229	0.012702	0.00901698	0.0116529	0.00891299	0.0119493	0.0057262	0.00972267	0.00962093	0.00871912	0.0156024	0.0111358	0.0114185	0.0137147	0.0120328	0.00606636	0.00616759	0.00467796	0.00514487	0.00444476	0.00412889	0.00554238
sont	0.0687653	0.0556375	0.0495527	0.0699595	0.0405521	0.0612283	0.0342166	0.0520888	0.0713738	0.0801989	0.0717156	0.0335755	0.0355153	0.026767	0.0225234	0.0187067	0.0158389	0.00932896	0.00869197	0.0101506	0.0117264	0.0171718	0.00805568	0.00401569	0.0144396	0.0138353	0.0152016	0.0136206	0.0222577	0.0115793	0.0132349	0.00908575	0.00509978	0.00428843
allés	0.0208698	0.00905445	0.0125301	0.0165417	0.0164464	0.024311	0.0248118	0.0305725	0.0464516	0.0465849	0.0495469	0.0550179	0.0436824	0.0360163	0.0359826	0.0352639	0.0348213	0.0515198	0.0577409	0.0476254	0.0274052	0.0246683	0.0146124	0.014009	0.0216095	0.0250248	0.0340952	0.0257584	0.0255021	0.023434	0.0231728	0.0172635	0.0207654	0.0072876
livrer	0.0169333	0.0121096	0.016431	0.0136273	0.0121504	0.0149878	0.0156438	0.021629	0.0250917	0.0346285	0.0446185	0.0470501	0.0445741	0.0568559	0.0590893	0.0548869	0.0455098	0.0469902	0.0524449	0.0335897	0.0209361	0.0160274	0.0124415	0.0151664	0.0108518	0.0133877	0.0167415	0.0195096	0.0184641	0.0184719	0.0190044	0.0247656	0.0385387	0.0868514
cette	0.0096506	0.0095649	0.00879554	0.0106198	0.0121209	0.0132578	0.0147218	0.0216289	0.0187427	0.0249223	0.0245822	0.0254891	0.028712	0.0277459	0.0278388	0.0300697	0.0265631	0.0288887	0.0363933	0.0349147	0.035868	0.0371542	0.0344946	0.0424801	0.0353257	0.0387708	0.0406042	0.0415799	0.0407052	0.0411103	0.0416304	0.0435166	0.0428846	0.0486526
bagarre	0.0118977	0.011733	0.00887275	0.00889145	0.00919391	0.00891575	0.00922593	0.0117961	0.0138629	0.0143914	0.0158678	0.0193406	0.0158449	0.0124939	0.0200124	0.0199996	0.019634	0.032661	0.0287226	0.0383513	0.0511594	0.0608768	0.054185	0.0582753	0.0468015	0.0530581	0.044648	0.0407771	0.0483192	0.0416746	0.0381639	0.0396577	0.0411945	0.0495001
sous	0.00975827	0.0100161	0.00941875	0.00886906	0.0102868	0.00981691	0.0104587	0.0119622	0.0111558	0.0117914	0.0107787	0.0132942	0.0117761	0.0120848	0.0117837	0.0117374	0.0112789	0.0174646	0.0206692	0.0263455	0.0387784	0.0491402	0.0399083	0.0924512	0.0446352	0.0701261	0.0553717	0.0738675	0.0504311	0.0574774	0.0423092	0.0475962	0.0385344	0.0486259
l'	0.0381163	0.028217	0.0286239	0.0131541	0.0190925	0.0199657	0.021135	0.0235453	0.0245054	0.0360766	0.0344122	0.0385681	0.04492	0.0401869	0.0363905	0.0349692	0.0325997	0.0292809	0.0294769	0.0224075	0.0215398	0.0240646	0.0114486	0.0169153	0.0187061	0.0206679	0.0231778	0.028234	0.0269384	0.035177	0.0356704	0.0442365	0.0567351	0.0408447
instigation	0.0215233	0.0185468	0.0193239	0.018205	0.01616	0.0146835	0.00924287	0.0114365	0.0167382	0.00971204	0.012498	0.00804232	0.0071084	0.00621281	0.01098	0.0144849	0.0156094	0.0125529	0.0168621	0.0290366	0.0390458	0.0757205	0.047021	0.0391049	0.041177	0.0429157	0.0348943	0.0305288	0.0479109	0.0373317	0.0538223	0.0592058	0.0742898	0.088072
d'	0.047265	0.0210754	0.026066	0.0231232	0.0116587	0.0110276	0.0102748	0.0177522	0.0187631	0.0209309	0.0259963	0.0176324	0.0322117	0.0194378	0.016321	0.0175175	0.0223585	0.0247361	0.0274573	0.0188693	0.0158212	0.0150945	0.0251038	0.0159974	0.0223565	0.0234715	0.0245527	0.0329495	0.0202408	0.0314578	0.0335738	0.0450585	0.0905483	0.173299
okolo	0.0693769	0.0428832	0.039319	0.0306809	0.019835	0.0185854	0.0114541	0.014733	0.0163009	0.0140279	0.0148944	0.00743356	0.0123762	0.0137922	0.0264752	0.0301458	0.0385894	0.0208306	0.0268035	0.0298598	0.0276138	0.0430965	0.0331	0.0194987	0.0413169	0.0211431	0.0204217	0.0335916	0.028093	0.0250477	0.0408476	0.03508	0.0558275	0.0769249
</S>	0.0429994	0.0323063	0.0432469	0.040042	0.0349688	0.0320371	0.0191819	0.0232434	0.0283096	0.0237495	0.0249341	0.0195742	0.0188365	0.0160024	0.0244374	0.0252472	0.0265085	0.0245659	0.0280497	0.0177507	0.00968207	0.00963813	0.00652002	0.00369006	0.0110004	0.00953367	0.0152564	0.0220892	0.0299034	0.0250934	0.0388574	0.0468789	0.0746178	0.151248
