 	w	a	a	s	á	a	o	s	í	í	s	a	i	f	u	l	a	l	á	m	b	ώ	n	g	ω	y	á	i	t	ώ	ω	k	a	á	</S>
il	0.116644	0.164296	0.127109	0.118663	0.0450921	0.0571393	0.0158719	0.0156725	0.00699898	0.00815802	0.01725	0.0154251	0.0190933	0.0249272	0.0189803	0.0187203	0.0171934	0.0135407	0.0124513	0.00811521	0.011338	0.00770213	0.00993717	0.0119567	0.006763	0.00864191	0.0108211	0.00852023	0.0127108	0.0141199	0.0149183	0.0129185	0.0113757	0.0107764	0.00615893
n'	0.031678	0.0152201	0.0157575	0.0225513	0.0201265	0.0219195	0.0307276	0.0705675	0.101149	0.10866	0.0498188	0.0276083	0.0268183	0.0366074	0.0298135	0.0361798	0.03735	0.0484957	0.0301601	0.030535	0.0215435	0.0139981	0.0182072	0.0183206	0.0120977	0.0218136	0.00761888	0.0154106	0.0109945	0.0114362	0.00869396	0.0127125	0.0102793	0.01029	0.0148401
a	0.0124917	0.013192	0.00620434	0.0213975	0.0161591	0.00872586	0.00934603	0.0162409	0.0206164	0.0138998	0.0191839	0.0125081	0.017739	0.0270438	0.0440941	0.0481518	0.0504204	0.0648439	0.0666427	0.096435	0.0730547	0.0574249	0.0624426	0.0449496	0.0266231	0.0297093	0.0179736	0.0258845	0.0137603	0.00935208	0.00784164	0.00760893	0.0100435	0.0121697	0.0158251
pas	0.0363011	0.0431452	0.0293586	0.0225237	0.0196747	0.028984	0.0200924	0.0162704	0.0233708	0.014855	0.0197632	0.0128161	0.0221437	0.0240287	0.0266757	0.0216359	0.0307752	0.033805	0.0345575	0.0484596	0.0488101	0.0322509	0.0323658	0.0553242	0.0595796	0.05596	0.0353136	0.0369527	0.0197414	0.0155199	0.0159205	0.00994092	0.0157892	0.016341	0.0209539
fini	0.00372809	0.00381314	0.0065409	0.0115694	0.0117489	0.00625184	0.0107261	0.010289	0.0120961	0.00865145	0.00732446	0.0079531	0.00701018	0.0132529	0.0181899	0.0265235	0.0409803	0.0520911	0.0831201	0.11035	0.100175	0.0889572	0.0404586	0.0319899	0.0356342	0.0294058	0.0313291	0.0289747	0.0258599	0.0229429	0.0253519	0.0161801	0.0222908	0.0257034	0.0225365
de	0.00465234	0.00744568	0.00724384	0.0136581	0.0121126	0.0106163	0.0145474	0.0270039	0.0284325	0.0404484	0.0167755	0.0118376	0.0131581	0.0220204	0.0297082	0.0405446	0.037134	0.0429638	0.0371646	0.0442946	0.0311374	0.0436962	0.0269245	0.0223618	0.0303106	0.0252391	0.0321503	0.0297937	0.0274908	0.0328055	0.0386975	0.0405083	0.0450793	0.0345464	0.0774964
verser	0.00432665	0.00958408	0.00565925	0.0116921	0.00888105	0.00917326	0.0113402	0.0160767	0.018532	0.0177821	0.0125689	0.00862544	0.0113167	0.0169345	0.0275465	0.0369659	0.0374263	0.0480169	0.0623209	0.0724392	0.0695747	0.0583418	0.0701673	0.0434585	0.0377784	0.0230774	0.0167789	0.0250225	0.0228502	0.0213609	0.020678	0.0202482	0.0283366	0.0310941	0.0640241
l'	0.0162942	0.0496204	0.0234081	0.0247007	0.019342	0.0208521	0.0205154	0.029271	0.0175155	0.023311	0.013532	0.0127336	0.013347	0.0185247	0.0219568	0.0282641	0.0288269	0.0330037	0.0333306	0.0417582	0.0300604	0.0418189	0.0248635	0.0167052	0.0183819	0.0117742	0.0116562	0.0126251	0.0204641	0.0232135	0.035623	0.0439901	0.0585551	0.0485259	0.111635
argent	0.0137298	0.0237669	0.0189581	0.0195457	0.0164955	0.0156333	0.0129657	0.0107232	0.00881057	0.00999248	0.00854678	0.00857547	0.00951803	0.00982146	0.00924248	0.00943874	0.0126378	0.017056	0.0242098	0.0358026	0.0452335	0.0379143	0.0567789	0.0385898	0.0480937	0.0397032	0.0276041	0.0255053	0.0296903	0.032979	0.0556503	0.0514292	0.0679934	0.0570891	0.0902755
de	0.0188983	0.023537	0.0228051	0.0271881	0.0238924	0.0225569	0.0189981	0.014207	0.0119319	0.011832	0.0114868	0.0121392	0.0132364	0.0130091	0.0154296	0.0138135	0.0151314	0.017445	0.0193738	0.029161	0.0341691	0.0396138	0.0410517	0.0363041	0.043899	0.0252013	0.0160832	0.0202282	0.0267177	0.02756	0.0455229	0.0485785	0.0708921	0.0649059	0.1032
la	0.0190854	0.02251	0.0249067	0.0297558	0.0292191	0.0273407	0.0267073	0.022069	0.014976	0.0119637	0.0119697	0.00839846	0.0137166	0.0138226	0.0162218	0.0139178	0.0171343	0.0204948	0.0232079	0.0340665	0.0377748	0.0313833	0.0244771	0.0195628	0.0195252	0.0117478	0.0126867	0.021065	0.0275551	0.0355444	0.0616804	0.0477036	0.080861	0.0673758	0.0995729
dot	0.013401	0.0147114	0.0148504	0.0146492	0.0121246	0.0110114	0.00868761	0.00683236	0.00708189	0.00732118	0.00749227	0.00855993	0.0110418	0.0123046	0.0168139	0.0192763	0.0260196	0.0327137	0.0368352	0.0470309	0.051441	0.048707	0.0467892	0.0483228	0.0330991	0.028638	0.0140812	0.0254602	0.0272315	0.030706	0.0467178	0.0504831	0.0701024	0.0546477	0.0948138
</S>	0.0142517	0.0189615	0.00992967	0.022746	0.0207072	0.0188667	0.0246228	0.0273392	0.024106	0.0297883	0.0235156	0.0263769	0.0224729	0.0234008	0.0327544	0.0309118	0.0355648	0.0355488	0.0319761	0.0514188	0.0402196	0.0723976	0.0363788	0.0254507	0.024453	0.013108	0.0139732	0.0150005	0.016094	0.0183848	0.0215002	0.024275	0.0381285	0.0333695	0.0820067
