 	m	w	á	s	í	y	a	n	g	á	á	p	f	ú	s	u	i	s	ú	n	g	a	l	í	í	k	a	n	g	í	w	a	m	ó	k	á	n	d	á	</S>
mon	0.00536969	0.012638	0.015939	0.0108136	0.00392622	0.00847724	0.00950174	0.0360407	0.034099	0.057651	0.106769	0.103463	0.0923274	0.0354833	0.0325857	0.0219706	0.0275801	0.0345785	0.0317396	0.0299669	0.016676	0.0110216	0.00788302	0.0139573	0.0107231	0.00760937	0.00646109	0.00841311	0.010762	0.0145181	0.0104185	0.0143798	0.0177766	0.0123577	0.0170561	0.0192786	0.0183338	0.0224949	0.0209772	0.0279814
épouse	0.0534736	0.130003	0.12561	0.120004	0.0780339	0.151436	0.0714905	0.0449382	0.0280714	0.0251796	0.0243976	0.00916546	0.00874824	0.00635383	0.00156993	0.0058644	0.00397587	0.00356905	0.00922258	0.00548754	0.00603591	0.00703216	0.00441552	0.0082765	0.00526812	0.00389009	0.00314787	0.00380106	0.000911788	0.00868111	0.00800451	0.00679029	0.0083941	0.00609778	0.003354	0.00560885	0.00168859	0.000896893	0.00056681	0.000542143
a	0.0147614	0.0279272	0.019268	0.0157919	0.0181583	0.0112418	0.0216526	0.0397813	0.044067	0.0250759	0.0202241	0.0171557	0.013013	0.0170612	0.0107529	0.0185536	0.0224007	0.0320433	0.0465379	0.0380667	0.0333831	0.0375575	0.0283094	0.0265901	0.0597939	0.0314408	0.0226192	0.0284361	0.0740317	0.0338992	0.0241912	0.0262315	0.0267132	0.0178496	0.0108543	0.0103296	0.0100006	0.00923505	0.0106995	0.00429977
défait	0.0297191	0.0312158	0.019429	0.0166585	0.0147909	0.0220753	0.0201891	0.0225823	0.0236601	0.0198011	0.0183134	0.0146475	0.0200212	0.0234196	0.0140644	0.0108816	0.0180645	0.0192557	0.017723	0.0271777	0.0305212	0.0308611	0.0241807	0.0260482	0.0309561	0.0274069	0.0392702	0.065675	0.0624982	0.0308956	0.0215829	0.0151994	0.0141952	0.0110337	0.0127999	0.0348211	0.0246784	0.0254183	0.0231212	0.0451468
le	0.0471752	0.0252003	0.0213329	0.0169587	0.0115878	0.0163364	0.0174825	0.0165041	0.014596	0.0142067	0.0177265	0.0150605	0.0155881	0.021901	0.0271984	0.0246683	0.0365732	0.0302472	0.0373105	0.044301	0.0589156	0.0700195	0.0406485	0.0315393	0.0176156	0.0191695	0.0238798	0.0236048	0.0227038	0.0155716	0.0136642	0.0119621	0.0199267	0.0143769	0.0171245	0.0213522	0.0199512	0.0254321	0.0274221	0.0331648
noeud	0.0115898	0.00576594	0.00908796	0.00913777	0.00721452	0.0239601	0.0120741	0.0281952	0.0158049	0.020044	0.0183037	0.0202378	0.0189233	0.0233777	0.0630075	0.0715555	0.102824	0.100218	0.0756155	0.0856244	0.0595949	0.0364925	0.0212932	0.0137567	0.00646007	0.0131006	0.0221073	0.0179074	0.0037654	0.00482788	0.00328608	0.00414904	0.00820559	0.00488633	0.0111306	0.0109332	0.00767173	0.00651916	0.00545745	0.0158929
qu'	0.0321368	0.0130163	0.0130299	0.0147656	0.0125856	0.0122566	0.0108173	0.0133462	0.0108278	0.0155986	0.0163871	0.0147927	0.0163754	0.0204779	0.0259535	0.0394602	0.0419492	0.0412865	0.0721877	0.0611311	0.070624	0.0574061	0.0542649	0.0223943	0.0190757	0.0217906	0.0345351	0.0196559	0.0117162	0.00892659	0.00669183	0.00643795	0.0130005	0.011452	0.0136179	0.0210236	0.0209267	0.0253624	0.0260718	0.036644
elle	0.0320571	0.0187451	0.0143985	0.0137963	0.0160323	0.0128005	0.00990971	0.00925863	0.0101406	0.0099104	0.0118437	0.010567	0.00952834	0.0157239	0.0294273	0.0347526	0.0473289	0.0405913	0.0422694	0.0499051	0.0548028	0.0795267	0.0872096	0.0476927	0.0370161	0.0392154	0.0376213	0.0226399	0.0225141	0.0110817	0.00915761	0.00823963	0.00907132	0.00882103	0.00966914	0.0112939	0.0105118	0.0124298	0.0144961	0.0280026
avait	0.0361797	0.0265675	0.0208148	0.0127666	0.00719524	0.00720834	0.00859903	0.00796327	0.00634306	0.00961978	0.0102873	0.010843	0.0113538	0.0143879	0.0194137	0.0371449	0.038012	0.0341719	0.0542124	0.0556274	0.0851806	0.0709612	0.0466879	0.0404722	0.0223517	0.0179008	0.0173982	0.0157015	0.00516229	0.0100208	0.0119542	0.00892231	0.0193903	0.0185813	0.0141127	0.0285398	0.0213135	0.0365175	0.0331417	0.046978
fait	0.104622	0.0513774	0.0496257	0.0342946	0.0142587	0.0142728	0.0179955	0.0185664	0.0138149	0.019956	0.0223713	0.0157155	0.0182061	0.0217303	0.0161901	0.0144673	0.0169186	0.0160047	0.0247414	0.0201975	0.0332797	0.0335869	0.0193895	0.0169578	0.00948685	0.00917741	0.0172103	0.024409	0.0106881	0.00941977	0.0119065	0.00819804	0.0188359	0.0186628	0.0161266	0.0287173	0.0209065	0.0465544	0.0426051	0.0785553
