 	m	a	á	b	ó	l	á	a	s	i	á	o	p	f	u	n	y	ε	m	ó	b	ó	n	g	á	b	o	n	g	a	</S>
maman	0.014247	0.0196096	0.0173844	0.0188272	0.0196443	0.0181792	0.0153443	0.0596291	0.0793316	0.131134	0.0772588	0.0525282	0.0355142	0.0271788	0.0168507	0.0180477	0.0118793	0.013123	0.0127456	0.0122644	0.01604	0.0188211	0.0187625	0.0377557	0.0386673	0.0418998	0.0407173	0.0303279	0.0341147	0.0253273	0.0268445
est	0.132452	0.0882773	0.0816988	0.0789628	0.088287	0.0913869	0.0758133	0.0292708	0.0362989	0.0381628	0.048397	0.0423482	0.0253721	0.012023	0.0118659	0.0126228	0.0126948	0.0134623	0.015563	0.0147828	0.00559135	0.00590033	0.00504195	0.00454075	0.00450888	0.00445173	0.00423071	0.004579	0.00518809	0.00288053	0.00334467
en	0.163117	0.11261	0.0448102	0.0304219	0.0211614	0.035689	0.0470352	0.0369739	0.0306139	0.0258381	0.0218614	0.00948799	0.0154131	0.0161298	0.0362911	0.0309647	0.0266318	0.0208095	0.0310299	0.0312242	0.0204416	0.0186511	0.017106	0.016376	0.0198527	0.0185884	0.0340658	0.0206302	0.0139632	0.0162184	0.015993
train	0.0416471	0.0366972	0.0260733	0.0265918	0.0209056	0.0322908	0.0385187	0.0387544	0.0354276	0.031944	0.039569	0.0341765	0.0413572	0.0457947	0.0444246	0.0413313	0.0374477	0.0331837	0.0366758	0.034133	0.0295272	0.0271512	0.0377067	0.0412388	0.0347281	0.0206293	0.0211765	0.0148266	0.00997131	0.0225295	0.0235706
de	0.0122228	0.0148324	0.0223221	0.0247677	0.0190695	0.0194403	0.041668	0.0514758	0.086439	0.0828024	0.0277971	0.0555967	0.0672678	0.0714842	0.0350205	0.0300556	0.0299672	0.0367937	0.0288656	0.024419	0.0226443	0.0213841	0.0177004	0.00743172	0.00863534	0.00788283	0.00802137	0.0101243	0.0112742	0.0250042	0.0775895
moudre	0.0341305	0.0329677	0.0339101	0.0223023	0.0270624	0.027291	0.0493896	0.0346427	0.0615954	0.0803585	0.0447921	0.0525365	0.0885446	0.0574634	0.0500707	0.0411016	0.0497873	0.0413683	0.0234814	0.0186058	0.0112255	0.00696227	0.0104382	0.00957781	0.00768989	0.00959865	0.0122794	0.0127893	0.0123444	0.0143574	0.0213351
le	0.0488424	0.0408098	0.0370868	0.033582	0.0226636	0.0263804	0.0327215	0.0260726	0.0132497	0.0111259	0.0144505	0.0129541	0.0123944	0.0386845	0.039386	0.0443178	0.0455618	0.0670051	0.0602066	0.0509388	0.0315222	0.0201591	0.0196129	0.0141774	0.0192264	0.0209686	0.0164452	0.0191209	0.0293855	0.0327579	0.0981897
sésame	0.0259545	0.0197114	0.0129309	0.0105209	0.00779863	0.00901739	0.00934265	0.00646721	0.00873205	0.0115705	0.0126807	0.0151386	0.0146316	0.0184775	0.0252561	0.0393142	0.0393681	0.0538559	0.0596491	0.0614408	0.0469576	0.0348752	0.0386776	0.0379177	0.042274	0.0526895	0.0517386	0.0490724	0.0430539	0.0609252	0.0799593
avec	0.195747	0.0736485	0.0324707	0.0128692	0.00608305	0.00571707	0.00745392	0.00432585	0.00489076	0.00506031	0.00415895	0.00620117	0.00623217	0.0167801	0.0269791	0.0259277	0.033193	0.0441224	0.0463275	0.0543931	0.0353653	0.0372216	0.0299186	0.0222916	0.0237981	0.03089	0.0255092	0.0321074	0.0468336	0.033587	0.0698957
la	0.0840304	0.0434881	0.027476	0.0316297	0.0299366	0.0229603	0.0208023	0.0155225	0.0116261	0.00987173	0.0113916	0.00964583	0.00636117	0.007332	0.0132029	0.0168535	0.0216863	0.0291058	0.032368	0.0393043	0.0318946	0.0227321	0.0320485	0.0217449	0.0335275	0.0375472	0.0318861	0.0437491	0.0443594	0.0674857	0.14843
pierre	0.0229522	0.0182319	0.0202763	0.022187	0.0172802	0.0112168	0.00784075	0.00846038	0.00917778	0.00934529	0.012256	0.00798929	0.00785535	0.00624683	0.00696874	0.00668194	0.00986905	0.0158899	0.0204148	0.033375	0.0263949	0.0484243	0.0496601	0.0638154	0.0556905	0.0539406	0.0441421	0.0575999	0.0739729	0.0971672	0.154677
noire	0.134977	0.0724708	0.0408889	0.034543	0.0288157	0.0289026	0.0409297	0.0169644	0.0147447	0.0117871	0.0127532	0.0241999	0.0220492	0.035419	0.0371703	0.0353885	0.0456347	0.0336391	0.0170775	0.0253953	0.0259237	0.0199476	0.0330606	0.0169484	0.0211626	0.0169388	0.0156096	0.0202732	0.0176145	0.0315797	0.0671909
</S>	0.0766724	0.030039	0.0232747	0.0208708	0.0151817	0.00970198	0.00534303	0.00487325	0.0061472	0.00919803	0.015596	0.0119218	0.0115055	0.0110519	0.0173442	0.0280092	0.0589347	0.0741697	0.0638497	0.0596245	0.0315673	0.0256387	0.0248256	0.0307264	0.0306322	0.0360515	0.0267192	0.0343487	0.0409364	0.0556852	0.109559
