 	m	v	u	á	á	m	i	b	h	í	n	d	í	s	á	i	k	o	ó	</S>
le	0.0125024	0.0138258	0.0223885	0.0280989	0.045007	0.0659655	0.0884668	0.0563377	0.109525	0.114567	0.121024	0.065625	0.0614111	0.0750564	0.0357408	0.0177145	0.0180002	0.0125954	0.0153288	0.0208187
ciel	0.0286856	0.040205	0.0524601	0.101079	0.0682785	0.0798981	0.0879795	0.10975	0.11058	0.0727661	0.0635806	0.0631593	0.0308192	0.0439565	0.0165588	0.0106976	0.0103267	0.00559363	0.00199961	0.00162572
est	0.0496439	0.0614987	0.0896279	0.12978	0.126102	0.0992638	0.0806869	0.0838527	0.0537714	0.0211487	0.014393	0.0239405	0.0234103	0.0483873	0.0199804	0.0168502	0.0131886	0.0119043	0.0177787	0.0147903
devenu	0.0723459	0.0895411	0.0977767	0.109589	0.10047	0.0769194	0.0415004	0.0277839	0.0209772	0.0450052	0.0356015	0.0394925	0.0367758	0.0356072	0.033071	0.0258552	0.0186567	0.0207552	0.0265145	0.0457619
noir	0.0466783	0.0380955	0.0357197	0.0353876	0.0359935	0.0357441	0.0480405	0.0438799	0.0384801	0.0443213	0.0169907	0.0303489	0.04941	0.129004	0.104819	0.0603922	0.0465107	0.0466386	0.0462991	0.0672463
à	0.0711483	0.0752866	0.0463228	0.0331556	0.0340782	0.0269239	0.0265283	0.0253452	0.0395587	0.0297091	0.0356173	0.0408667	0.0348109	0.0555089	0.0285281	0.045685	0.0364069	0.0672161	0.0859868	0.161317
cause	0.113683	0.0758358	0.0674276	0.0581645	0.0475973	0.0369023	0.0305838	0.0180497	0.0133816	0.00852055	0.00891925	0.0124713	0.0209717	0.0705	0.0382422	0.0563862	0.0394694	0.0663998	0.0887042	0.127789
de	0.0991994	0.099516	0.0927099	0.0660805	0.049238	0.0377541	0.0252678	0.0110102	0.010684	0.0140482	0.0139505	0.0169254	0.0194893	0.0280626	0.0326171	0.0562508	0.0504505	0.0616255	0.0780151	0.137105
la	0.149974	0.0865333	0.0545695	0.0232988	0.0190471	0.012562	0.00706277	0.00439617	0.00352753	0.00476019	0.00422224	0.00393382	0.00896619	0.0334051	0.0537024	0.064987	0.0792188	0.0960588	0.13397	0.155804
pluie	0.164078	0.0916012	0.0436491	0.0196581	0.0116773	0.00687368	0.00424782	0.00228079	0.00178298	0.00318558	0.00154792	0.00310408	0.00697104	0.0251895	0.0479598	0.0525498	0.0750499	0.120143	0.137839	0.180612
</S>	0.144716	0.130419	0.103497	0.0429169	0.015188	0.0120814	0.00842611	0.00463454	0.00523353	0.00413051	0.00261461	0.00328778	0.0109653	0.0234079	0.0306523	0.0478641	0.042407	0.0685722	0.111457	0.187529
