 	b	á	a	á	p	a	s	á	p	o	o	m	o	n	g	ó	o	y	a	k	ó	ó	</S>
ils	0.179359	0.216274	0.179748	0.104748	0.106393	0.034752	0.0111211	0.011016	0.0137507	0.0138366	0.015423	0.0148329	0.0145807	0.0154331	0.0113802	0.0165961	0.00847918	0.00766653	0.00630375	0.00485849	0.00511306	0.00388225	0.00445199
avaient	0.00515547	0.0062882	0.00922248	0.0128344	0.0202918	0.0245266	0.0466585	0.0673358	0.0529748	0.0769891	0.130926	0.126365	0.135255	0.107791	0.037917	0.051464	0.0275748	0.0263852	0.0148574	0.00672427	0.00500864	0.0042478	0.00320641
implanté	0.035886	0.020997	0.0258677	0.0356205	0.0465019	0.04938	0.0400239	0.0511093	0.0443992	0.0520971	0.0636827	0.0618856	0.0673641	0.0711395	0.0526777	0.0453523	0.0505208	0.0358605	0.0305173	0.0347426	0.031508	0.0239631	0.0289032
un	0.0327715	0.0231219	0.0238831	0.0264054	0.0335952	0.0317325	0.0489076	0.0702496	0.0528259	0.0420114	0.024045	0.020816	0.0404802	0.0495291	0.0825463	0.0461557	0.0433133	0.0381917	0.0259911	0.0284126	0.0497644	0.0770554	0.0881952
village	0.0517192	0.0298966	0.0348259	0.0240817	0.0259821	0.0307189	0.0373711	0.0434847	0.0469403	0.040655	0.0419445	0.0359949	0.0293009	0.0265774	0.0302348	0.0355352	0.0688817	0.0784929	0.0655523	0.0645607	0.0622296	0.03335	0.0616696
sur	0.0170111	0.0128526	0.0218284	0.021672	0.0240172	0.0258173	0.0294545	0.0324784	0.0342545	0.0300592	0.0261707	0.0233929	0.0267099	0.0243694	0.0290596	0.026698	0.0504644	0.0735282	0.090997	0.0890828	0.0894038	0.0894654	0.111213
la	0.0315356	0.0131811	0.0106829	0.016309	0.0132166	0.023727	0.0436897	0.0454406	0.0581059	0.0538893	0.0612612	0.0582732	0.0541746	0.0400965	0.0443618	0.0288638	0.0301123	0.0391343	0.0609694	0.0741129	0.0650669	0.0718545	0.0619409
grande	0.028136	0.0283762	0.0344423	0.0328895	0.0238943	0.0288651	0.0375144	0.0353373	0.0323671	0.0318565	0.0331591	0.0262754	0.0374437	0.0299881	0.0314483	0.0373469	0.0489093	0.0482808	0.0623087	0.0689123	0.0739487	0.0741805	0.114119
route	0.0278783	0.0313753	0.031395	0.0340836	0.0365985	0.0325926	0.0327983	0.025124	0.0188359	0.0188561	0.00895094	0.00817278	0.0127978	0.00742375	0.00953069	0.0143934	0.0419369	0.038788	0.0579944	0.0641749	0.102177	0.106485	0.237637
</S>	0.0564278	0.0200741	0.0184374	0.0286062	0.027268	0.0505938	0.0392141	0.0487884	0.0408173	0.0238013	0.0163135	0.0140035	0.0203886	0.0190738	0.0250661	0.0186276	0.0211589	0.0284724	0.0284653	0.0348641	0.0776145	0.117518	0.224405
