 	n	ω	ó	w	ú	r	u	b	y	ó	é	y	é	n	g	í	o	t	ω	m	b	í	l	i	o	d	z	a	r	á	n	ω	</S>
ta	0.0178972	0.0158164	0.011734	0.0314451	0.0336062	0.0270303	0.0268155	0.0331118	0.029847	0.0341523	0.0389769	0.068069	0.0743577	0.0637504	0.0554139	0.0390306	0.0230015	0.0285753	0.0332504	0.0156631	0.0162298	0.0240712	0.0300931	0.025299	0.0283105	0.0324228	0.0240696	0.0176376	0.0181679	0.0189397	0.0156305	0.025549	0.0220346
vie	0.0537097	0.168311	0.0984842	0.0677018	0.0950568	0.037418	0.0188116	0.0159965	0.0113119	0.0111324	0.0062847	0.0061561	0.0352213	0.0318049	0.0287299	0.0306444	0.0429257	0.0230291	0.0116742	0.00264545	0.00735725	0.0106921	0.00771054	0.0187881	0.033737	0.0379275	0.0405413	0.0145145	0.0157113	0.00855662	0.00498543	0.00135498	0.00107354
était	0.042451	0.0412327	0.0318611	0.017379	0.0215482	0.0288713	0.0172087	0.0207886	0.0210563	0.0190449	0.0284302	0.0496491	0.0661905	0.0663918	0.0765353	0.0481296	0.0265324	0.0173133	0.0367094	0.0313485	0.0337443	0.0395677	0.0343588	0.0361205	0.0205	0.0260561	0.0253936	0.0162599	0.0141345	0.0151212	0.0122575	0.0100509	0.00776292
en	0.0292821	0.0496847	0.0532748	0.0495712	0.0501066	0.0679669	0.0410225	0.0223835	0.0248011	0.0209025	0.0327804	0.0431559	0.0226919	0.0337336	0.031562	0.0411019	0.0445257	0.0377825	0.0340876	0.0296198	0.0241015	0.0253632	0.0128886	0.0201987	0.015849	0.0221826	0.0223322	0.0184512	0.0128512	0.0134313	0.0069179	0.0112456	0.0341498
péril	0.0213808	0.0154035	0.0153472	0.0188216	0.0204566	0.0197465	0.0129567	0.0152779	0.0185243	0.0140398	0.0158753	0.0175742	0.0281192	0.0457929	0.0610339	0.0445207	0.0429611	0.0279007	0.0308765	0.022525	0.0261071	0.040969	0.0235995	0.0431273	0.0349806	0.0466585	0.0516472	0.046607	0.0431589	0.0396458	0.0292736	0.0255666	0.0395249
lorsque	0.0334984	0.0239401	0.0306154	0.0331729	0.0312288	0.029247	0.0225369	0.020767	0.0224079	0.018601	0.0160132	0.0134746	0.00597735	0.00973916	0.00985109	0.0221003	0.0407044	0.0627599	0.0406774	0.0585311	0.0859947	0.0525163	0.0250867	0.0387282	0.0260395	0.02287	0.0222302	0.0190107	0.019457	0.0159965	0.016609	0.026383	0.0832345
la	0.0201456	0.0153195	0.0165516	0.0149631	0.0233249	0.0177295	0.0146528	0.0200478	0.0164354	0.0186272	0.0166973	0.0180396	0.0156139	0.0164381	0.0346579	0.0433967	0.0828899	0.091042	0.0490512	0.0460868	0.0721389	0.0573326	0.0433023	0.0520316	0.0279209	0.0240093	0.0243065	0.0245585	0.0208981	0.0146146	0.0110351	0.011391	0.0247497
voiture	0.0397886	0.0340253	0.0344074	0.0254819	0.0336114	0.0269979	0.0161735	0.0134829	0.0145882	0.0137346	0.0160186	0.0184178	0.0189201	0.0321492	0.0364875	0.0417084	0.0382113	0.0392701	0.0320762	0.0314238	0.0538852	0.0440133	0.0338498	0.0290263	0.0306035	0.0237769	0.0218493	0.0208399	0.0242822	0.0214927	0.0227782	0.0270861	0.0895419
a	0.0628349	0.0380246	0.0323591	0.0165842	0.0150942	0.0125328	0.0158282	0.0184247	0.0122692	0.0145582	0.0130523	0.0189922	0.0177868	0.0255006	0.050051	0.0440821	0.0829789	0.0816635	0.0447466	0.0223343	0.0519482	0.0452984	0.0227744	0.0230434	0.0216744	0.0158798	0.0119026	0.0122149	0.0127594	0.0143748	0.0189626	0.0209376	0.0885309
failli	0.148456	0.0772537	0.0519756	0.0190868	0.013994	0.00960901	0.00776224	0.00799596	0.0106579	0.0113351	0.0124124	0.0134321	0.013663	0.0207123	0.0216806	0.0423996	0.0414857	0.0356768	0.0208534	0.0154799	0.0169866	0.0160717	0.0137697	0.011962	0.0185515	0.0166321	0.0167507	0.0149406	0.0219941	0.0191339	0.0421473	0.0567623	0.138375
te	0.0763015	0.0603684	0.0477402	0.0244399	0.0219595	0.0214543	0.0176743	0.0163182	0.0187158	0.0191904	0.0186121	0.0175361	0.0106455	0.0174593	0.0258964	0.0531597	0.0493515	0.0412717	0.0263666	0.0179488	0.032581	0.0261077	0.0188072	0.0250783	0.025793	0.0200662	0.014734	0.0164626	0.0135513	0.0147434	0.0263322	0.0415915	0.121742
heurter	0.0764054	0.0425005	0.0377297	0.0245377	0.0178683	0.0131926	0.00951028	0.00620926	0.00769028	0.00729575	0.00901072	0.00741237	0.00603348	0.00933504	0.0108271	0.0151436	0.0298629	0.0445856	0.0326283	0.0348519	0.0468022	0.0361851	0.0412145	0.0347809	0.0308096	0.0266655	0.0258956	0.0302867	0.0291713	0.0413811	0.0485316	0.0559818	0.109663
</S>	0.0867837	0.0514137	0.0481662	0.0307191	0.0193827	0.0137125	0.00833463	0.00569804	0.00525127	0.00491392	0.00571077	0.00573581	0.00515602	0.00853974	0.0127826	0.0213084	0.0475349	0.0627066	0.0344909	0.0281428	0.0365908	0.028981	0.0267184	0.0261031	0.0275385	0.0225911	0.0183302	0.0226881	0.0221352	0.0272467	0.0461273	0.0666993	0.121766
