 	e	n	g	u	s	u	é	w	ú	n	d	z	u	a	k	ω	s	á	n	g	o	n	d	a	</S>
la	0.0100941	0.00787507	0.0116993	0.0104806	0.0104428	0.0103482	0.0147615	0.0353302	0.0429088	0.0440001	0.0441566	0.0491419	0.0413891	0.0492489	0.0428388	0.0519522	0.0499463	0.0551299	0.0488625	0.0592929	0.0570638	0.0761859	0.0660733	0.0612607	0.0495166
tornade	0.101379	0.289237	0.158558	0.12634	0.0405085	0.0229079	0.0272485	0.0707299	0.0346796	0.0485246	0.0261856	0.00603689	0.0050032	0.00438601	0.00345025	0.0071142	0.00679312	0.00560367	0.00483893	0.0050592	0.001677	0.00222128	0.00111184	0.000270692	0.00013562
a	0.0292693	0.0370011	0.0386356	0.0526812	0.0571384	0.0670344	0.0406274	0.0386946	0.0298917	0.0279843	0.0451961	0.0221737	0.0430412	0.034194	0.089596	0.0672706	0.0743827	0.0670366	0.0453231	0.0275125	0.0180919	0.0123042	0.0133739	0.0123048	0.00924099
fait	0.0924958	0.0808892	0.117948	0.0925142	0.0469815	0.0421452	0.0338079	0.0172611	0.0276685	0.0276695	0.018749	0.0286882	0.035101	0.040119	0.0383466	0.0448617	0.0241951	0.021884	0.0167426	0.018606	0.0106257	0.00946577	0.0155639	0.0307165	0.0669538
tomber	0.116366	0.0588299	0.0657001	0.0461437	0.0374235	0.0399122	0.0327338	0.0263069	0.0263067	0.0242704	0.028244	0.0176695	0.0236727	0.0211699	0.0220666	0.0224547	0.039726	0.0378262	0.028857	0.0293206	0.0382488	0.0339619	0.0449251	0.0529271	0.0849367
les	0.0286833	0.0182409	0.0142451	0.0166474	0.0154649	0.0186387	0.0175833	0.0238062	0.0240343	0.0234854	0.0239837	0.016189	0.0176467	0.0319781	0.027702	0.04238	0.0440555	0.0500429	0.055633	0.0704971	0.078477	0.0914263	0.0852608	0.0768327	0.0870657
bananiers	0.026861	0.0204049	0.0214189	0.019213	0.0189072	0.018363	0.0121087	0.012561	0.0100581	0.0114979	0.0108099	0.0154236	0.0199392	0.0178751	0.0275399	0.0497846	0.0623529	0.0660348	0.0721801	0.0680159	0.0740996	0.0792642	0.0662373	0.0781397	0.12091
dans	0.0314103	0.0248658	0.0281545	0.0228709	0.0170018	0.0141473	0.00882751	0.0138952	0.0147785	0.0165267	0.0228062	0.0258883	0.0469696	0.057012	0.0520742	0.0574584	0.0547069	0.0445203	0.0389351	0.0579425	0.0419011	0.0583881	0.0527234	0.0821862	0.114009
le	0.0707197	0.0450573	0.0432022	0.0448735	0.0500301	0.0539646	0.0210351	0.0198991	0.0191484	0.0186838	0.0113014	0.0185957	0.0195986	0.0241887	0.0267416	0.0313883	0.0390364	0.0472334	0.0471165	0.0604662	0.0491702	0.0450921	0.0530218	0.0587321	0.0817033
champ	0.0835058	0.0557674	0.0613509	0.0436152	0.0304297	0.0148317	0.00515275	0.00783714	0.00680355	0.00520006	0.00462493	0.00984682	0.0148439	0.0101157	0.0247062	0.0263923	0.0339285	0.0385625	0.0414852	0.0630897	0.0687272	0.0709294	0.0657638	0.0934304	0.119059
</S>	0.108229	0.104234	0.0778046	0.0545706	0.0237252	0.0196949	0.0116098	0.0125902	0.0168535	0.0181966	0.0193685	0.0166536	0.0182688	0.0260773	0.0225568	0.0278061	0.0221783	0.023354	0.0175526	0.0381255	0.0261565	0.0220172	0.0306916	0.0818578	0.159827
