 	n	g	á	i	d	i	l	a	p	ó	s	á	o	d	z	á	e	l	o	a	y	ó	k	a	n	d	á	</S>
je	0.073543	0.286357	0.159872	0.113051	0.0876939	0.0773389	0.019873	0.0106476	0.00637569	0.0101558	0.0079837	0.00848582	0.0225561	0.0157071	0.0172624	0.0155443	0.0127016	0.00783976	0.00618142	0.0052249	0.00447826	0.00488558	0.00389008	0.00386512	0.00427654	0.00479062	0.00496468	0.00445409
voudrais	0.0358335	0.0317384	0.0706648	0.0788655	0.0493449	0.0603379	0.0574312	0.0727912	0.0971403	0.101615	0.112184	0.0508652	0.0365532	0.0261166	0.0142166	0.0124705	0.0120262	0.010945	0.0052939	0.00560618	0.00500098	0.00456626	0.00537958	0.00605301	0.00619561	0.00739978	0.00853848	0.014826
manger	0.00964914	0.0174033	0.0314509	0.0343049	0.0392231	0.0297393	0.021893	0.0220741	0.0278022	0.0198016	0.0143518	0.0188873	0.0229102	0.0273856	0.0345513	0.0326168	0.0369896	0.031592	0.0530995	0.0420933	0.0410381	0.0432882	0.0582084	0.0687447	0.0780196	0.0614855	0.0513842	0.0300122
la	0.0424543	0.0462945	0.0320652	0.020549	0.0182043	0.00852952	0.00726377	0.00848817	0.0123583	0.0127381	0.0188493	0.0223902	0.0353159	0.0260329	0.0425456	0.0565951	0.0488754	0.0723356	0.0683072	0.0514118	0.0505518	0.0407308	0.0497484	0.0358122	0.0517272	0.0378035	0.0377202	0.0443019
partie	0.00565619	0.00683562	0.00624772	0.00539348	0.00568787	0.00981092	0.0141661	0.0122708	0.0136099	0.0117907	0.0178089	0.0259253	0.0205826	0.0261758	0.0330372	0.0437867	0.0525644	0.0512958	0.0674041	0.056078	0.0734366	0.0528324	0.0523013	0.0554705	0.0428509	0.0553302	0.0654066	0.116243
molle	0.0144941	0.00455866	0.00390412	0.00392632	0.00392888	0.00514359	0.0179947	0.0210305	0.0312705	0.0242518	0.0345497	0.0333785	0.0249853	0.0211833	0.0299588	0.0342888	0.024623	0.026767	0.0392126	0.0331697	0.050865	0.0614601	0.0684143	0.0559825	0.0658716	0.0987957	0.0638602	0.102131
de	0.0285638	0.0225771	0.0171922	0.0140176	0.014731	0.0171089	0.0207844	0.017869	0.0281651	0.0202806	0.0238656	0.0305249	0.0178684	0.0141424	0.0166034	0.0222872	0.0282821	0.0345596	0.040935	0.0347805	0.0504607	0.0477272	0.0525495	0.0450221	0.0519456	0.0849805	0.069137	0.133039
l'	0.0505011	0.0357965	0.0317422	0.0214573	0.0217016	0.0262981	0.0145013	0.0118166	0.010454	0.00751748	0.00890904	0.0144544	0.0156524	0.0254349	0.0330263	0.0346592	0.0418426	0.0399334	0.0269223	0.026692	0.0310108	0.0288035	0.0536322	0.0595218	0.0762934	0.0746265	0.0774583	0.0993407
asperge	0.0190207	0.0198081	0.0200448	0.0165486	0.016856	0.0147248	0.0120022	0.0165394	0.0133694	0.0094223	0.0145774	0.0175445	0.0236115	0.0316104	0.0426548	0.0606433	0.0715219	0.0694774	0.0558201	0.055638	0.052073	0.0397677	0.0346528	0.0382477	0.0389855	0.0424021	0.0465159	0.10592
</S>	0.0234738	0.0109665	0.0109955	0.0180596	0.0217004	0.0237982	0.0237199	0.019059	0.0108936	0.00677844	0.0110253	0.0104814	0.0136046	0.0124835	0.0224414	0.039679	0.0498476	0.0429375	0.036385	0.0359624	0.0494274	0.0418563	0.0600636	0.0690429	0.0710684	0.0687968	0.075129	0.120323
