 	a	m	b	é	b	h	á	l	á	n	y	ω	s	í	b	á	a	d	z	á	á	m	í	b	v	ú	ú	g	h	á	</S>
les	0.0542969	0.045353	0.0452781	0.0384086	0.0605184	0.0505783	0.0426609	0.0351716	0.0203647	0.0295042	0.0342799	0.0180682	0.0284673	0.0240832	0.0284417	0.0347624	0.0454837	0.0452327	0.0504837	0.0415035	0.0448399	0.0561704	0.0299021	0.0197342	0.0153491	0.0114767	0.0107362	0.0112748	0.00779082	0.0114027	0.00838202
hérissons	0.0201441	0.0169486	0.0279435	0.0346944	0.0278244	0.0452338	0.065072	0.145094	0.0998979	0.0835918	0.0687129	0.036645	0.0529593	0.0165048	0.0362104	0.0408815	0.0153619	0.0116555	0.0128914	0.0146274	0.0182732	0.0172577	0.0157887	0.0158484	0.0170518	0.010116	0.0111843	0.00853126	0.00639055	0.00380503	0.00285787
et	0.00742093	0.00759543	0.0128446	0.013301	0.0161305	0.0196501	0.0236836	0.0342281	0.0384374	0.0415938	0.0548068	0.0476308	0.0519332	0.0464147	0.0590303	0.0484498	0.0475338	0.0413911	0.0480622	0.055071	0.0366527	0.0315046	0.0445421	0.0443533	0.0362552	0.0197462	0.0176297	0.0157763	0.0147991	0.0165735	0.00695821
les	0.0142387	0.0297144	0.0393134	0.0451997	0.0459802	0.0504038	0.0576521	0.0642909	0.0601501	0.077454	0.073178	0.0751425	0.0661462	0.0643221	0.0526855	0.0335732	0.0153872	0.0175064	0.0137002	0.0147198	0.0080432	0.00433326	0.00308088	0.00320369	0.00338446	0.00504732	0.00570285	0.00854971	0.00959261	0.0115714	0.0267323
oiseaux	0.0284256	0.0290016	0.0243653	0.0282524	0.0258962	0.0259658	0.0212911	0.0205892	0.0353337	0.025672	0.0363796	0.0377577	0.019331	0.0377948	0.0480498	0.0483829	0.0565587	0.0438833	0.0221182	0.0349031	0.0354906	0.0366146	0.0387077	0.0414933	0.0361291	0.025301	0.0234812	0.0237963	0.0250258	0.0261582	0.0378503
se	0.0131814	0.0172625	0.0147375	0.0175352	0.0186665	0.0264814	0.0297062	0.0321947	0.0446114	0.0445636	0.0563103	0.0547797	0.0317439	0.0619145	0.0578374	0.0541578	0.0543306	0.0591287	0.0307373	0.0238019	0.0175705	0.0102447	0.0120555	0.0095341	0.00886632	0.0182862	0.023239	0.0341429	0.0361192	0.0392033	0.0470557
nourrissent	0.0213429	0.019826	0.0169688	0.0159745	0.0138618	0.0181136	0.0214054	0.0245556	0.0489814	0.0319959	0.0474537	0.0511981	0.0295892	0.0441381	0.0480087	0.0399034	0.0375478	0.0420911	0.0300789	0.0391296	0.0418182	0.03618	0.0275858	0.0259049	0.0283472	0.0293851	0.0317021	0.0276726	0.0276231	0.0293718	0.0522445
des	0.0776855	0.0778322	0.0597855	0.0495654	0.0480169	0.046027	0.0387447	0.0304121	0.0449208	0.0326535	0.0243035	0.0253806	0.0230655	0.0236029	0.0249454	0.0283175	0.0223351	0.0241759	0.0122852	0.0162509	0.00806073	0.00678169	0.0063803	0.00533561	0.00522309	0.0144031	0.0211631	0.0409981	0.0402223	0.0487935	0.0723325
arachides	0.0277562	0.0338434	0.0331961	0.0372831	0.0302008	0.0237298	0.0142911	0.0159808	0.0139376	0.0102072	0.0119266	0.0124715	0.00901421	0.011449	0.0141439	0.0156513	0.0141097	0.0118909	0.00578055	0.00952733	0.0121177	0.0157639	0.0205248	0.0262613	0.0206538	0.0572593	0.0613282	0.079848	0.100823	0.0913832	0.157646
tardives	0.0224655	0.0231783	0.0244837	0.0349255	0.0277055	0.0288383	0.0267486	0.0344245	0.025773	0.0192148	0.0191822	0.0189812	0.0129854	0.0142461	0.0192269	0.0239129	0.0168333	0.0150308	0.00612131	0.0101733	0.00913901	0.0105023	0.0168675	0.0168003	0.00930303	0.0346561	0.0442001	0.0604529	0.0918058	0.07709	0.204732
</S>	0.033418	0.0370584	0.0375601	0.041358	0.03078	0.0292963	0.0216151	0.0205123	0.0200988	0.0126073	0.014365	0.0107127	0.0145237	0.0100992	0.0117484	0.0104438	0.00622022	0.00547644	0.0026004	0.00742918	0.00833037	0.0129471	0.0217694	0.0309786	0.020858	0.0455526	0.0612417	0.0864404	0.0925226	0.0942871	0.147149
