 	t	á	á	y	a	b	á	a	á	s	ó	m	b	i	m	w	á	s	í	i	p	f	ú	t	a	</S>
leur	0.00869735	0.0446744	0.0575126	0.0343403	0.0390937	0.0210406	0.017192	0.0368924	0.0289001	0.0646183	0.0731597	0.0731119	0.0790501	0.0732269	0.0381603	0.0441502	0.0149603	0.0100242	0.0125034	0.0191637	0.0250452	0.0431196	0.0444504	0.0419599	0.030615	0.0243374
père	0.0898781	0.0955719	0.111925	0.130215	0.0998392	0.0973862	0.066054	0.0457115	0.0280212	0.0299732	0.0378529	0.0178602	0.0161487	0.0168102	0.0108931	0.0128548	0.00926726	0.0173249	0.0135528	0.0155853	0.00550279	0.00763011	0.0148359	0.00367661	0.00397168	0.00165764
a	0.0361931	0.0119342	0.0226291	0.0185426	0.02917	0.053099	0.095505	0.0856315	0.0942684	0.0531019	0.0802018	0.0663922	0.0762368	0.0498491	0.0294069	0.0174589	0.0294594	0.0297852	0.0187839	0.0165871	0.0146862	0.0183003	0.0143839	0.014687	0.0172212	0.00648539
acheté	0.0783275	0.0427686	0.0407755	0.0293098	0.0234274	0.0307453	0.045159	0.044321	0.0529948	0.041844	0.0375403	0.0429565	0.0510656	0.0395521	0.0305177	0.0444559	0.0283962	0.0311437	0.0358305	0.038659	0.0178803	0.0224596	0.0394109	0.0259337	0.0398088	0.0447165
un	0.119002	0.0527271	0.0310892	0.0288327	0.0304578	0.0424227	0.0354389	0.0460301	0.0484884	0.0520711	0.054931	0.0471843	0.0349991	0.0178712	0.0200318	0.0164052	0.0251161	0.0205593	0.0232096	0.025356	0.024878	0.0248789	0.0273783	0.0252068	0.0316416	0.0937931
pagne	0.0702391	0.0324711	0.0226643	0.0193601	0.0191428	0.0288024	0.0287554	0.04222	0.0582177	0.0802625	0.0935149	0.0701491	0.0326651	0.0152484	0.0264178	0.0227084	0.0535882	0.0420625	0.0233386	0.0238048	0.0266451	0.0256243	0.0244807	0.0245663	0.031322	0.0617283
pour	0.0686896	0.0552089	0.051334	0.0453841	0.0368585	0.0355347	0.0329322	0.0355039	0.034763	0.0317695	0.0397756	0.0372655	0.0280657	0.0168983	0.0236436	0.0120488	0.0302058	0.046083	0.0336564	0.026271	0.0228791	0.0242601	0.049763	0.0291524	0.0607941	0.0912592
sa	0.0797275	0.040686	0.0387041	0.0381278	0.0347394	0.0348728	0.0263143	0.025354	0.0217681	0.0183085	0.0189753	0.0211905	0.0176623	0.011607	0.010439	0.0212919	0.032549	0.0269267	0.0440155	0.0387529	0.0324558	0.0439155	0.0693002	0.0613465	0.0813849	0.109584
femme	0.119286	0.0852823	0.0767035	0.0477293	0.0327129	0.0251379	0.0177829	0.017948	0.0120714	0.0106246	0.0133528	0.0190957	0.0146052	0.0101401	0.00964729	0.0205768	0.0251917	0.0317372	0.031037	0.0163862	0.0132358	0.0184525	0.0701258	0.0232599	0.081089	0.156788
</S>	0.0770486	0.0524423	0.0508258	0.039449	0.0315208	0.0256742	0.0154886	0.0147737	0.0143082	0.0166383	0.0153477	0.0155147	0.0123585	0.00799048	0.00793691	0.0102632	0.0181361	0.0435742	0.0475453	0.037569	0.0374976	0.0468725	0.0838227	0.0515928	0.105802	0.120007
