 	m	w	á	n	a	y	a	l	e	k	ώ	ώ	l	i	w	ó	á	l	á	r	i	e	k	ω	t	i	m	í	d	u	m	a	l	á	m	w	é	s	é	</S>
cet	0.00369694	0.00860876	0.011232	0.00657044	0.00326396	0.00115342	0.00284049	0.00361196	0.0103889	0.0172528	0.0222303	0.0218674	0.0135342	0.0303187	0.0440957	0.0917939	0.0618788	0.127683	0.0560118	0.0275328	0.0208681	0.0305247	0.0430392	0.0256364	0.0223336	0.0180765	0.01833	0.0131235	0.0191605	0.0183909	0.0182462	0.0194402	0.0156628	0.0196294	0.0139099	0.0196965	0.0194953	0.0200834	0.0257286	0.0330578
élève	0.0438038	0.0352785	0.0582911	0.0868492	0.148407	0.233468	0.167115	0.0996298	0.0209863	0.0123234	0.0112992	0.00913577	0.00714807	0.00386366	0.00306483	0.000744221	0.000443609	0.000535355	0.000583794	0.00124814	0.00244351	0.000752338	0.000889612	0.0036668	0.00128935	0.00579086	0.00909806	0.00512344	0.00344854	0.00319446	0.00214437	0.00402179	0.00225213	0.00204309	0.0044141	0.000856098	0.00125738	0.00147947	0.000962134	0.000654844
a	0.0297514	0.0320761	0.0242947	0.0243409	0.0323542	0.0305837	0.0142432	0.0126358	0.0217941	0.0261248	0.032966	0.0305869	0.0191364	0.0193963	0.0268913	0.0286878	0.0357381	0.0313343	0.0185239	0.0211399	0.0183896	0.0175129	0.029542	0.0284277	0.0259569	0.0285106	0.0236618	0.0176434	0.0260907	0.045353	0.0260024	0.0452671	0.0236853	0.0188668	0.021561	0.0162253	0.0199015	0.0175907	0.0219442	0.0152672
porté	0.0364295	0.0104039	0.00801017	0.00621873	0.00600454	0.0100846	0.00584995	0.00962947	0.00972958	0.0169604	0.0194608	0.0221198	0.0238122	0.0180401	0.017626	0.010366	0.0158094	0.0221303	0.0166598	0.0441292	0.0180123	0.0255187	0.05046	0.102414	0.0504096	0.0823292	0.050074	0.0553965	0.0286042	0.025265	0.0201374	0.0282215	0.0157592	0.0204301	0.0143792	0.014486	0.0136948	0.0120834	0.0174124	0.0254385
un	0.0777514	0.0229516	0.0180887	0.0134467	0.0142096	0.0136472	0.0084914	0.00963114	0.015516	0.0153202	0.0167246	0.0218247	0.0194723	0.0209964	0.0191644	0.0204451	0.0186405	0.0219387	0.0305841	0.0338857	0.0496334	0.0641046	0.0316443	0.0671537	0.0413685	0.053845	0.0241788	0.0221062	0.0129621	0.0138083	0.0132589	0.0176882	0.0114754	0.0133931	0.0142918	0.0125524	0.0108748	0.0181739	0.0298675	0.0448888
chapeau	0.0464458	0.0174267	0.0162284	0.0132258	0.0124623	0.00901972	0.00886638	0.00949972	0.0156879	0.0147011	0.0154313	0.0202137	0.0194352	0.022627	0.015312	0.0140642	0.0101796	0.0146028	0.0144747	0.0312903	0.0348792	0.0358069	0.03013	0.0501298	0.0256536	0.0395634	0.0333765	0.0379819	0.0290788	0.0280024	0.0327454	0.037023	0.0276361	0.0312031	0.0353096	0.0187372	0.0220952	0.0277455	0.0341738	0.047534
pour	0.0345847	0.0263808	0.0318669	0.0235116	0.0234419	0.0197642	0.0125251	0.0115308	0.0105521	0.00903227	0.00956451	0.0108907	0.0102758	0.00969772	0.00840468	0.0111928	0.00942321	0.0120113	0.00817068	0.0156472	0.0338241	0.0396586	0.030949	0.0645159	0.0350269	0.0469643	0.033893	0.0537608	0.0280197	0.0312148	0.0173476	0.0244109	0.026843	0.0242096	0.0378158	0.0205347	0.0190472	0.0340672	0.0467706	0.0426574
se	0.0707501	0.020463	0.0267573	0.0166494	0.0152281	0.0135011	0.015042	0.0156245	0.015691	0.0129447	0.0136595	0.0179127	0.018264	0.0156554	0.0109209	0.0131817	0.0135995	0.014149	0.00934601	0.0130859	0.03368	0.0293621	0.025388	0.0504021	0.0327463	0.0236775	0.0183037	0.0217477	0.019674	0.019543	0.0129596	0.0186792	0.0284292	0.0285782	0.0344392	0.0266411	0.0270394	0.0364644	0.060836	0.0889835
protéger	0.0429712	0.0202708	0.0248776	0.0143268	0.0110306	0.00783764	0.00750338	0.00823645	0.0103137	0.0126354	0.0127207	0.0146178	0.0137877	0.0147723	0.0170069	0.0245078	0.0244958	0.0265269	0.027523	0.0383824	0.0556281	0.0375225	0.0352405	0.0428216	0.0447392	0.0172786	0.020737	0.0179295	0.0188968	0.0151919	0.0110285	0.0117583	0.00862821	0.0129241	0.0287347	0.0105946	0.0137233	0.0516637	0.0624108	0.108203
contre	0.0670749	0.0318209	0.0209956	0.0194371	0.0203608	0.0204321	0.0112866	0.0104309	0.0108204	0.00872178	0.00768087	0.0109701	0.00887521	0.00705767	0.00609806	0.00912084	0.00858952	0.010297	0.012798	0.0163791	0.0268296	0.0382772	0.0243385	0.0601157	0.062319	0.0496232	0.028112	0.0328087	0.0199302	0.0237518	0.0232717	0.0219507	0.0244433	0.0204696	0.0205782	0.0208765	0.0194159	0.0283304	0.0570035	0.0783068
