 	a	n	d	é	e	m	á	p	o	o	y	é	á	t	s	ω	á	b	h	i	a	t	u	m	b	ú	</S>
toutes	0.131952	0.112739	0.129813	0.0944	0.0478537	0.0249535	0.0287399	0.0324388	0.0252818	0.0225299	0.0300552	0.0271363	0.0299272	0.0388739	0.0254867	0.0285542	0.0128079	0.0128389	0.0156469	0.0185264	0.0147056	0.0166016	0.0145086	0.01586	0.0166755	0.01671	0.0143831
les	0.0531428	0.0306033	0.0441519	0.0371082	0.0431546	0.0398699	0.0373055	0.0209967	0.0183451	0.0148947	0.0242236	0.0353116	0.121245	0.148359	0.113728	0.0440975	0.0351876	0.0209762	0.0126459	0.0109187	0.0146471	0.0150355	0.0131852	0.0167529	0.0089786	0.0100998	0.0150354
maisons	0.0166188	0.0228189	0.0182569	0.0224076	0.0426063	0.0854288	0.083091	0.119838	0.0751031	0.0660592	0.0716127	0.0643985	0.0369962	0.0356875	0.0313335	0.0192043	0.0179618	0.014839	0.016033	0.0229892	0.0303265	0.0355017	0.0168718	0.0130956	0.00816387	0.00669358	0.00606296
de	0.0817522	0.0515829	0.0846686	0.0553882	0.0467216	0.0504297	0.0478069	0.0354647	0.0660896	0.0574178	0.0459803	0.0329607	0.0286862	0.0191115	0.0259232	0.0257944	0.0202851	0.0199195	0.0201114	0.0153706	0.0163556	0.013995	0.0141162	0.0215414	0.021626	0.0368337	0.0440671
ce	0.0133825	0.0183341	0.0115346	0.0269253	0.0426934	0.0405894	0.0294231	0.0454528	0.0483334	0.0446623	0.0394899	0.0334758	0.0253709	0.0215406	0.0244374	0.0274154	0.0246354	0.0351905	0.0364853	0.0324252	0.0268371	0.0271818	0.0266557	0.0482642	0.0531741	0.0633592	0.132731
village	0.0162724	0.0177165	0.0136159	0.0266367	0.0413093	0.0376506	0.0315425	0.0432756	0.0425209	0.0453541	0.0496973	0.0518933	0.0383307	0.0338308	0.0426429	0.0429155	0.0447622	0.0465454	0.0407297	0.0257565	0.0224485	0.022476	0.01807	0.0278347	0.0307852	0.0351834	0.110204
sont	0.020884	0.021735	0.0174185	0.0241245	0.0325276	0.0360234	0.0315465	0.0208654	0.0324438	0.0303234	0.0297142	0.0319017	0.033893	0.027335	0.0328517	0.036749	0.0422214	0.0449546	0.042018	0.0326077	0.0339023	0.0357979	0.0408923	0.054137	0.0588903	0.0656433	0.0885985
devenues	0.0358989	0.0357911	0.0340169	0.0280766	0.0234712	0.0187187	0.0162699	0.0157303	0.0114649	0.0107043	0.00888583	0.00785364	0.0101331	0.0111002	0.013192	0.016233	0.0148984	0.0198131	0.0268343	0.0247834	0.0368385	0.0548533	0.0618533	0.100054	0.100068	0.128095	0.134368
délabrées	0.0168392	0.0173509	0.014702	0.0143355	0.0135504	0.00834862	0.00556011	0.00474758	0.00478264	0.00362287	0.00373669	0.00400408	0.00882987	0.00874438	0.0104658	0.0206923	0.0260858	0.0332862	0.0607647	0.0456756	0.0751459	0.0746645	0.0870694	0.103417	0.0971747	0.101848	0.134555
</S>	0.0369202	0.0366717	0.0271285	0.0296987	0.0277403	0.0144777	0.0102784	0.00882983	0.0113804	0.0103242	0.0101475	0.00940276	0.0127451	0.0133344	0.0165425	0.0223878	0.0220687	0.0263445	0.0258517	0.0228145	0.0375999	0.0425089	0.0566133	0.0801061	0.100623	0.12361	0.163849
