 	e	k	u	m	ú	l	ú	y	é	é	k	u	m	ú	w	a	n	d	é	e	y	é	e	s	ε	r	έ	i	b	h	ώ	ω	</S>
la	0.0177809	0.0316456	0.030429	0.0287575	0.0308797	0.0189846	0.0176147	0.0174049	0.0374021	0.0532964	0.0766274	0.0624632	0.0721175	0.0466023	0.0125053	0.0305483	0.0361027	0.0346634	0.0355436	0.0204908	0.0249687	0.0250022	0.0227983	0.0227399	0.0277487	0.0252973	0.0260156	0.0196721	0.0140673	0.0150816	0.0157844	0.0181827	0.0307817
manière	0.0121786	0.0184318	0.0744697	0.0371671	0.0485684	0.0449607	0.0361512	0.061498	0.0557166	0.0431542	0.0945548	0.0788931	0.11451	0.0544706	0.0232797	0.0615796	0.0174462	0.0180777	0.00646156	0.0120681	0.008878	0.0105524	0.00538377	0.00489758	0.0120293	0.0101736	0.00922188	0.00714679	0.00483199	0.00593315	0.0042281	0.00141814	0.00166757
dont	0.190338	0.0493933	0.0305495	0.00572339	0.00557876	0.00737117	0.0071108	0.0144477	0.0145555	0.017079	0.0265526	0.0241757	0.0327459	0.0649387	0.0784991	0.107906	0.0449654	0.0527868	0.0318513	0.0310523	0.0162959	0.0143928	0.0140728	0.0156117	0.0140168	0.0130032	0.01092	0.00937141	0.0106708	0.0090294	0.011997	0.00790946	0.0150876
il	0.0431472	0.0527789	0.065204	0.05157	0.0716887	0.0383641	0.0298856	0.0236417	0.0375204	0.0467226	0.0572262	0.0603305	0.0528283	0.0533565	0.0724795	0.0574098	0.0305814	0.0225556	0.00534417	0.00542475	0.00353385	0.0031702	0.00406297	0.00453339	0.00624406	0.00428081	0.00887217	0.00657891	0.00548275	0.00772321	0.010616	0.0152101	0.0416315
a	0.0560663	0.0371484	0.0346467	0.035486	0.0274212	0.0239052	0.0165896	0.0197945	0.0141537	0.0245162	0.0309933	0.0402489	0.0381959	0.0647453	0.0885705	0.124044	0.0522681	0.0847352	0.0187621	0.0162917	0.0158142	0.00991524	0.0124217	0.0105482	0.00913779	0.00817528	0.00798849	0.00681856	0.0069683	0.00716282	0.0119541	0.0144044	0.0301078
quitté	0.0232018	0.0327497	0.0398899	0.0501122	0.0396439	0.0414295	0.0276286	0.0238188	0.0274846	0.0250295	0.0193815	0.0209035	0.0222497	0.0434695	0.0342233	0.0399031	0.0335884	0.041327	0.0239575	0.0271982	0.0282502	0.0206955	0.0199085	0.0178345	0.0205134	0.0168729	0.0180688	0.0193488	0.0185203	0.0204834	0.0298144	0.0351179	0.0973811
la	0.0252051	0.0134263	0.00901756	0.00663822	0.00546982	0.00540646	0.00533659	0.0125786	0.0119258	0.0184509	0.0176726	0.0126836	0.0146755	0.0217853	0.0200005	0.023143	0.0266635	0.0336051	0.0265356	0.0300624	0.032928	0.0344059	0.0337146	0.0343472	0.0355959	0.0323775	0.0339758	0.0467895	0.0498555	0.053123	0.0657028	0.0719515	0.13495
maison	0.0292168	0.0287382	0.0307658	0.029113	0.02051	0.0191328	0.0141975	0.0144363	0.0141477	0.0121553	0.0106854	0.00862184	0.00954668	0.0180692	0.00435808	0.00703847	0.010576	0.00644223	0.0181719	0.0175833	0.0213357	0.0283214	0.0293082	0.0312392	0.0391514	0.0403491	0.0419937	0.0543573	0.0608474	0.0669991	0.0711706	0.0689336	0.122487
cache	0.0249845	0.0283081	0.0304067	0.0317057	0.0425355	0.0664769	0.0744069	0.0651207	0.0432905	0.0133704	0.00780345	0.00496386	0.00594989	0.0110118	0.00618914	0.00399993	0.00637479	0.0048165	0.00974712	0.0114668	0.0110656	0.0115739	0.0144743	0.0195729	0.0248902	0.0233449	0.0323572	0.0350086	0.0361627	0.0364552	0.0440199	0.0590391	0.159106
quelque	0.0589766	0.0485772	0.0413735	0.0357269	0.0357721	0.0367674	0.0205184	0.0155743	0.0137403	0.0101024	0.00426236	0.00300696	0.00457997	0.00632255	0.00790916	0.00531314	0.00480689	0.00297819	0.00700596	0.0107989	0.0166094	0.0191344	0.01963	0.0212474	0.0298277	0.0306558	0.028783	0.0427504	0.0334699	0.0594123	0.0680171	0.102964	0.153385
chose	0.152188	0.0890504	0.0638143	0.0362572	0.0473322	0.0443146	0.0346936	0.0207157	0.0168328	0.00875808	0.00550129	0.00371065	0.00615779	0.00864485	0.0125913	0.0109939	0.00993378	0.00560379	0.00619092	0.0144196	0.0158559	0.018256	0.0152646	0.0162107	0.0262718	0.0215456	0.0174292	0.0343825	0.0311594	0.0395692	0.0542872	0.0519704	0.0600921
</S>	0.121152	0.062588	0.0398795	0.0125589	0.0127702	0.0128713	0.0173172	0.0173045	0.0189726	0.0109769	0.0055528	0.00323005	0.00573527	0.0115212	0.0124546	0.00861182	0.00932178	0.0100242	0.00848402	0.0166011	0.0201559	0.0204849	0.0204024	0.0166888	0.0189596	0.0190659	0.0151187	0.0325439	0.032392	0.0581226	0.0722612	0.0907955	0.165081
