 	o	n	i	n	g	i	m	á	w	a	l	a	n	g	ó	o	ó	p	é	n	d	í	m	á	o	d	i	m	í	</S>
sa	0.0118086	0.0152842	0.0132163	0.00717288	0.0320369	0.0158354	0.0216431	0.0286685	0.0214662	0.0506951	0.0613226	0.0430072	0.051937	0.0344474	0.0307689	0.0317089	0.0304652	0.0264953	0.0320191	0.0523097	0.0282999	0.0264166	0.0539057	0.0480217	0.0396508	0.0430276	0.0425903	0.0347711	0.043534	0.0274735
mère	0.0305225	0.0276194	0.0664223	0.116717	0.0974193	0.163594	0.0997966	0.0795823	0.0619074	0.0375257	0.0165235	0.0338167	0.0300567	0.0301531	0.0167086	0.0184767	0.0175353	0.00958866	0.00544711	0.00542446	0.00437457	0.00160004	0.00711119	0.00681102	0.00373582	0.00751083	0.00222132	0.000816783	0.000557013	0.000424675
a	0.0947215	0.0302065	0.0248302	0.0168086	0.020853	0.0388599	0.0792466	0.0592102	0.0979904	0.0343017	0.0192937	0.0339427	0.0293911	0.0284262	0.0227423	0.0180525	0.0224596	0.0249621	0.0342424	0.0468645	0.0226174	0.0367983	0.0468461	0.0235585	0.0203071	0.0148409	0.0180651	0.0138678	0.0133388	0.0123543
plus	0.0141763	0.015567	0.0119019	0.0128161	0.00816204	0.0189475	0.0130777	0.0173738	0.0134148	0.00660044	0.0152829	0.0108094	0.0231618	0.00815185	0.012963	0.03291	0.0348473	0.0292345	0.046879	0.0886297	0.0503664	0.0810452	0.125422	0.0483682	0.0649358	0.0299139	0.045524	0.0564022	0.02969	0.033425
d'	0.0458694	0.0366064	0.0392971	0.0290927	0.0192346	0.0247195	0.0341852	0.0197956	0.0127473	0.0142664	0.0130243	0.0140777	0.0110176	0.0139569	0.0134704	0.0242629	0.0257224	0.0339501	0.0261109	0.0338187	0.0528498	0.0457736	0.0392377	0.0501148	0.0578021	0.0502349	0.0472895	0.0444059	0.0513781	0.0756875
amour	0.0454421	0.0441021	0.0599161	0.0380351	0.0394935	0.0324548	0.0200972	0.0138072	0.0067893	0.015771	0.019322	0.0130156	0.0166756	0.0166559	0.0166089	0.0180949	0.0218709	0.0210176	0.0156515	0.0266836	0.0417752	0.0649496	0.0412378	0.0446779	0.0647376	0.0705836	0.0428831	0.0335425	0.0338362	0.0602716
pour	0.0393163	0.0219696	0.0248951	0.0145736	0.0157985	0.0197969	0.0234167	0.0184755	0.014659	0.0198991	0.0217986	0.0275105	0.0251285	0.0446643	0.0417698	0.0330915	0.0393627	0.0433091	0.03279	0.0295784	0.0507766	0.0822118	0.043206	0.0376142	0.0432935	0.0418773	0.0361903	0.0340084	0.0347385	0.0442797
lui	0.0420796	0.0299635	0.024434	0.0219851	0.0188715	0.0194253	0.01838	0.0175653	0.0107736	0.0141366	0.0126115	0.0110487	0.0115553	0.0140318	0.0163943	0.0307039	0.0348561	0.0401038	0.0350225	0.0276251	0.0382801	0.0335638	0.0266657	0.052946	0.0407407	0.0483746	0.0694726	0.0671418	0.0736063	0.0976407
que	0.0565315	0.0185609	0.0131454	0.0141494	0.0121878	0.00974581	0.0095325	0.00526591	0.00482902	0.00446977	0.00651191	0.00755648	0.00837625	0.0106749	0.0120201	0.0229398	0.0286836	0.0418292	0.0328587	0.0219676	0.0558567	0.0736685	0.0414583	0.0656545	0.059832	0.0430702	0.0788891	0.0772565	0.0749483	0.0875293
pour	0.0607513	0.0400752	0.0274506	0.0278931	0.0237612	0.0113681	0.0125909	0.00640688	0.00452383	0.00500366	0.00872915	0.00490203	0.0105721	0.00627486	0.00733425	0.0164116	0.0212773	0.0213118	0.0192132	0.0187895	0.0479317	0.0848079	0.0409327	0.0628227	0.0517644	0.0431609	0.0738222	0.0764785	0.0780751	0.0855632
son	0.118642	0.0499388	0.0322132	0.0172221	0.016931	0.0104286	0.00982379	0.00694921	0.00583463	0.00802042	0.0170773	0.0114256	0.014999	0.020701	0.0217986	0.0372737	0.0335691	0.0471819	0.0241781	0.0225055	0.0371961	0.043216	0.0292991	0.0261334	0.0285507	0.0295356	0.0571859	0.0438604	0.0531299	0.125179
frère	0.0721776	0.0238368	0.0184547	0.0123946	0.0144603	0.00905733	0.0087187	0.00704136	0.0171991	0.0227972	0.0279352	0.0253418	0.0308764	0.0781276	0.0623001	0.0671873	0.0548688	0.061789	0.0282692	0.0236467	0.0271114	0.0238734	0.0218039	0.0251618	0.0172134	0.024014	0.0339916	0.0248959	0.0406452	0.0948096
</S>	0.0400483	0.0294611	0.0235815	0.0303039	0.0288766	0.0150544	0.0178972	0.0114625	0.0136616	0.0136813	0.0157742	0.0130377	0.0155621	0.0196178	0.0193028	0.0276044	0.0401048	0.0416726	0.0351206	0.0167928	0.032603	0.0402955	0.0188914	0.0338777	0.0343703	0.0291244	0.0530414	0.0643968	0.0756324	0.149149
