 	o	d	z	w	e	e	s	i	b	a	r	e	p	ó	r	ó	s	á	b	í	n	í	n	d	a	</S>
quel	0.014676	0.0245761	0.0239887	0.0213582	0.0356261	0.0231256	0.0222211	0.036078	0.0286361	0.0405126	0.0325149	0.026559	0.0303888	0.0265874	0.0265228	0.023805	0.0188978	0.0192156	0.0401229	0.0700687	0.0779215	0.0601826	0.0798474	0.070558	0.0768096	0.0491996
est	0.0593052	0.0920793	0.0539843	0.0445188	0.0524097	0.0410301	0.0344307	0.046152	0.0399343	0.0394658	0.0267877	0.0478235	0.0298945	0.0396152	0.0242565	0.0502277	0.0159136	0.0169642	0.0509984	0.0979675	0.0382528	0.0297893	0.0116248	0.00586681	0.00281627	0.00789094
parmi	0.0318797	0.0279516	0.0215422	0.0292182	0.0256801	0.0117513	0.00814155	0.0149733	0.0125778	0.0157824	0.0149207	0.0186314	0.0308271	0.0935539	0.0691896	0.102811	0.0510069	0.0299888	0.0499694	0.0633362	0.0898724	0.0689142	0.0592984	0.0296746	0.0185097	0.00999784
vous	0.0310085	0.0413079	0.0423055	0.0372815	0.0323097	0.0256803	0.0125417	0.0319113	0.022596	0.0375548	0.0371794	0.0588463	0.0565199	0.0727852	0.042067	0.0786288	0.0644028	0.0328113	0.0173824	0.0120393	0.0328433	0.0158056	0.0281094	0.0270844	0.0363916	0.072606
la	0.0153942	0.0272421	0.0361663	0.0401473	0.0253939	0.0246767	0.0261842	0.0272811	0.0210097	0.0175708	0.017212	0.0427917	0.0344419	0.0388754	0.05484	0.0839289	0.0723221	0.0416858	0.0418578	0.0479158	0.0691311	0.0261051	0.0675512	0.0256081	0.0345216	0.0401453
personne	0.0453121	0.0727549	0.116419	0.0744096	0.0370457	0.020079	0.0230396	0.0144072	0.0174259	0.0129218	0.0132755	0.0200487	0.0192371	0.0245206	0.0275651	0.0490972	0.0432943	0.0243497	0.0292142	0.0332013	0.0360077	0.0177479	0.0316799	0.0369749	0.0506169	0.109355
qui	0.0430581	0.0246147	0.0242126	0.0177409	0.0120889	0.00991638	0.0181933	0.0138413	0.0131889	0.0103198	0.00899524	0.0176372	0.0157614	0.022184	0.0398482	0.0529197	0.0394312	0.0254615	0.0348097	0.0550962	0.060596	0.0535986	0.0846385	0.0667062	0.0744186	0.160723
fait	0.0865757	0.0782424	0.0614576	0.0370943	0.0326918	0.0151309	0.0145162	0.0107261	0.012711	0.0119048	0.00897148	0.0172049	0.0122234	0.0220846	0.0372123	0.0349827	0.0128491	0.0125606	0.0228829	0.0365888	0.0334798	0.0319599	0.0412616	0.0489751	0.0729203	0.192791
partir	0.142064	0.0768493	0.0593627	0.0456738	0.0360912	0.0151624	0.0139398	0.00773168	0.00463404	0.00465303	0.00516587	0.0120574	0.00857442	0.0120471	0.0212186	0.019923	0.0145036	0.0119073	0.0188174	0.0365217	0.0532641	0.0487556	0.0670171	0.075073	0.0707828	0.118208
les	0.0748567	0.0553775	0.049158	0.0383831	0.0324364	0.0203583	0.0156788	0.00774289	0.00483386	0.00451057	0.00393666	0.00709388	0.00523651	0.00568368	0.0137917	0.0178363	0.014527	0.00834611	0.0105909	0.044257	0.0614648	0.0372283	0.0773771	0.0872748	0.1188	0.183219
gens	0.142094	0.100052	0.0815371	0.0550535	0.0383259	0.015371	0.0159585	0.00809664	0.00528098	0.00464196	0.00507221	0.00500424	0.00308225	0.00303909	0.00665999	0.00748145	0.00870525	0.00745229	0.00671882	0.0200899	0.0339831	0.0244085	0.0415172	0.0479778	0.114093	0.198303
en	0.143104	0.073323	0.0498923	0.0305464	0.0249034	0.0224297	0.0111993	0.0068834	0.00349278	0.00289907	0.00354244	0.00633325	0.00558404	0.00581431	0.0183034	0.0126849	0.00862384	0.0106306	0.0176293	0.0495166	0.077797	0.0543656	0.0827285	0.0817351	0.0748942	0.121144
europe	0.189947	0.115333	0.0912476	0.0743002	0.050309	0.0242106	0.0169388	0.0104066	0.00495365	0.00440077	0.00499739	0.00497563	0.00340094	0.00261199	0.00495642	0.00551475	0.00549943	0.00495992	0.00519134	0.0177644	0.0271409	0.0169291	0.0302689	0.0273442	0.0792082	0.177189
</S>	0.0710552	0.0349175	0.0285041	0.0218214	0.0231692	0.0213209	0.0288583	0.0174732	0.0121343	0.0092377	0.00870204	0.0106968	0.0105227	0.013212	0.0193932	0.0457883	0.0514924	0.0366525	0.0379559	0.0372295	0.0587856	0.0543199	0.0799887	0.0760432	0.0857923	0.104933
