 	n	g	á	i	d	i	p	ó	s	á	n	ω	l	ó	o	d	z	e	e	m	á	b	ε	έ	b	ε	έ	l	a	n	g	á	k	a	á	t	s	í	n	a	n	ω	o	d	í	l	o	t	i	i	</S>
je	0.204767	0.153798	0.10063	0.0905584	0.0622039	0.0463658	0.0208752	0.0113458	0.00760181	0.00747076	0.00591183	0.00497254	0.0051037	0.00549808	0.00718265	0.00863881	0.00658228	0.0054089	0.00738314	0.00678576	0.0065754	0.00595655	0.00703747	0.00490483	0.00646814	0.00758574	0.00569886	0.00495646	0.00717701	0.00415958	0.00742905	0.00869947	0.00641479	0.0084782	0.00730339	0.00940055	0.00987906	0.00856709	0.00980909	0.00652935	0.00893983	0.00700399	0.00558545	0.00891392	0.00949235	0.0078002	0.00818217	0.00854	0.00673098	0.00815622	0.00854026
ne	0.0487147	0.026188	0.017088	0.0217019	0.019133	0.0261362	0.0375372	0.0345487	0.0560934	0.0354955	0.0420189	0.0458884	0.0370257	0.0283062	0.0248842	0.0200226	0.0133083	0.0070184	0.0119813	0.0106681	0.0157323	0.0134716	0.0158201	0.0165368	0.0245411	0.0265747	0.0216142	0.0298424	0.0270487	0.0246131	0.0261476	0.0262587	0.0188699	0.0233495	0.0260913	0.0165978	0.0179344	0.0117213	0.00607571	0.00525021	0.00286423	0.00336674	0.0028774	0.00216177	0.00247086	0.00557138	0.00337154	0.00371589	0.00458867	0.00469816	0.00646316
veux	0.0254771	0.022115	0.0136993	0.0320995	0.0293093	0.0264672	0.0297297	0.018698	0.0184392	0.0145789	0.0289715	0.0184409	0.0271911	0.0234429	0.0185542	0.0245154	0.0310035	0.0299825	0.018045	0.0447396	0.0343183	0.0384505	0.0460534	0.0417998	0.0415253	0.0291105	0.0270775	0.015344	0.00997866	0.0120663	0.00925446	0.0115362	0.0119791	0.0136227	0.0109598	0.0105309	0.0118186	0.0164251	0.00777488	0.00794662	0.00840982	0.0141044	0.0127392	0.00950798	0.00880932	0.00862645	0.00828518	0.00726936	0.00687458	0.00639194	0.00590956
pas	0.0264762	0.0236093	0.0180399	0.0198238	0.0115839	0.0203701	0.0165841	0.00736769	0.0142619	0.00767947	0.00688453	0.0162581	0.0111754	0.00654823	0.00775268	0.0170783	0.0202017	0.0260062	0.0254839	0.0163045	0.00963956	0.018684	0.0269622	0.0255711	0.0369082	0.041301	0.0409853	0.0460731	0.0216446	0.0456533	0.032824	0.0511556	0.0319206	0.0294576	0.0442791	0.0197754	0.017219	0.0189731	0.00837536	0.0119616	0.00961522	0.0145568	0.0100635	0.00956594	0.00861069	0.0044007	0.00833745	0.0103581	0.00885416	0.00881165	0.0079723
que	0.00786714	0.00239064	0.0015448	0.00202796	0.00226778	0.0138398	0.0111756	0.00846353	0.0224569	0.00656314	0.00741876	0.0197112	0.00796499	0.00574835	0.00699749	0.0123392	0.0205297	0.0323544	0.0216346	0.0177233	0.0101017	0.0226864	0.0442942	0.0369534	0.0400072	0.086032	0.056387	0.0534217	0.0228608	0.0292514	0.0193412	0.0176498	0.0191136	0.019014	0.0276057	0.0153753	0.0162896	0.0179685	0.0113247	0.0131001	0.00821407	0.0112396	0.00811677	0.00994892	0.0139903	0.01156	0.0198156	0.0301766	0.0270559	0.0233995	0.0266852
tu	0.0128821	0.01058	0.00751239	0.0093767	0.00466369	0.00527864	0.0079427	0.0154538	0.0144409	0.0103594	0.0176921	0.0171267	0.0124695	0.0107929	0.0108252	0.0151102	0.0165104	0.0167953	0.0189456	0.0175665	0.0145497	0.0184429	0.0255115	0.022003	0.025846	0.0307209	0.0321508	0.027805	0.028331	0.0290733	0.0391707	0.0199958	0.0245789	0.0239712	0.0277008	0.0170414	0.020204	0.020174	0.0124464	0.0141026	0.0104392	0.0102795	0.00883556	0.0141385	0.0187532	0.0172517	0.0234666	0.0393775	0.0399504	0.0368827	0.054481
restes	0.00918183	0.00681411	0.00336756	0.00381829	0.00327819	0.00545148	0.00713771	0.00991263	0.0102966	0.00732625	0.00826911	0.00821927	0.00608827	0.00565833	0.00582625	0.00820695	0.0109441	0.0118432	0.0131326	0.0180337	0.0106112	0.0143046	0.0252154	0.0235567	0.0220264	0.0362456	0.0440186	0.0471949	0.0309685	0.0514815	0.0526949	0.0374185	0.0415343	0.0303172	0.0445201	0.0359758	0.0279441	0.0337585	0.0207012	0.0226837	0.00951801	0.0126116	0.00895889	0.00988914	0.0121827	0.0137847	0.0173574	0.020575	0.0171789	0.0204829	0.0414828
près	0.0134667	0.0156919	0.00836262	0.011272	0.0127585	0.00797657	0.00691117	0.00846798	0.00820867	0.00709007	0.0128143	0.0135438	0.0121256	0.00997662	0.0100592	0.0150267	0.0177079	0.0174903	0.0184495	0.0206144	0.0175679	0.024163	0.0302847	0.0274015	0.0289798	0.0339006	0.0355398	0.0332174	0.0282184	0.0331229	0.0385017	0.0270499	0.0262166	0.0222992	0.0256523	0.022861	0.0213827	0.0181211	0.0155856	0.0146201	0.0136419	0.0122725	0.0112058	0.0137795	0.0139919	0.01733	0.0175825	0.0257222	0.0273693	0.0263444	0.0480596
de	0.00924153	0.0145411	0.00760413	0.00905679	0.0107686	0.00698972	0.00585443	0.00686718	0.00683095	0.00533569	0.00677552	0.00738981	0.00452849	0.00426006	0.00481443	0.0103835	0.0172757	0.0229332	0.0228412	0.0233346	0.014724	0.0199432	0.035733	0.0241962	0.0282277	0.0444618	0.0381047	0.032624	0.0366655	0.0309631	0.0443537	0.0308347	0.0243007	0.0227084	0.0221584	0.022124	0.0154585	0.0227714	0.016865	0.0128642	0.0095548	0.0106463	0.0106775	0.012044	0.0136207	0.0184875	0.0239615	0.0230081	0.0234282	0.0377654	0.0690973
moi	0.0136579	0.0154616	0.00968284	0.0102154	0.013604	0.00932287	0.00610051	0.00565922	0.00590335	0.00484051	0.00683856	0.00633378	0.00631812	0.00540923	0.00568482	0.00691747	0.00871633	0.00919534	0.00950146	0.0137102	0.00977512	0.0123956	0.0176893	0.0167863	0.0161632	0.027595	0.0334964	0.0347995	0.0245949	0.0362275	0.0398176	0.0310416	0.036663	0.0231732	0.0314321	0.0392352	0.0269787	0.0294385	0.0236828	0.0225417	0.0173666	0.0187355	0.0160523	0.0164106	0.0180785	0.0225925	0.0252551	0.0306522	0.0353302	0.0351177	0.0578079
parce	0.0196734	0.010618	0.0101637	0.01125	0.0103813	0.0140624	0.0113691	0.00856056	0.0125326	0.00538227	0.00561095	0.00811301	0.00576426	0.00496013	0.00506664	0.00576882	0.00791394	0.0106864	0.00909908	0.00757038	0.00645417	0.00988139	0.0142318	0.0157887	0.0176347	0.0519999	0.0312853	0.0349938	0.0296891	0.0308767	0.0389598	0.0346535	0.0309534	0.0291371	0.0319967	0.0318576	0.0276153	0.0284055	0.0196688	0.0215861	0.0139973	0.0167369	0.0123002	0.0135584	0.0135994	0.0197634	0.0221831	0.0365483	0.0438066	0.0409223	0.0443677
