 	e	k	y	é	n	í	l	í	y	á	b	v	ú	a	y	é	y	é	e	b	é	b	h	í	s	á	d	z	w	é	m	b	é	</S>
cette	0.0104156	0.0107005	0.0105518	0.00469231	0.00389162	0.00430489	0.00847253	0.0257135	0.0467223	0.0694349	0.0820196	0.0700622	0.0512957	0.0268291	0.0238499	0.0220842	0.019421	0.0194601	0.0196874	0.0184661	0.0197251	0.023231	0.030076	0.0276169	0.0318024	0.0203211	0.0253006	0.0261396	0.0242548	0.0370677	0.034313	0.0471734	0.0595539	0.0453491
manière	0.0152542	0.0215183	0.0379635	0.0287375	0.017628	0.0217998	0.0264171	0.0358113	0.0568756	0.125511	0.155709	0.185832	0.0611127	0.0436548	0.0251872	0.0210253	0.0164555	0.0111787	0.014073	0.0115211	0.00788291	0.00551906	0.00369939	0.00502965	0.0105914	0.00254921	0.00570261	0.00484302	0.00411337	0.0062674	0.00548255	0.00238709	0.00113736	0.00153006
de	0.145982	0.0547899	0.0325395	0.0378649	0.0458743	0.0340249	0.0221433	0.0198547	0.0353401	0.0291266	0.0324708	0.0490875	0.0505809	0.0603597	0.0568977	0.0434201	0.0294478	0.0344524	0.022787	0.0186901	0.0148627	0.0112476	0.00978244	0.012595	0.00862231	0.0100302	0.0112061	0.0107477	0.00697037	0.00556387	0.0101022	0.0101792	0.012652	0.00970429
couper	0.0670448	0.0428691	0.0395111	0.0366948	0.0459313	0.0226191	0.0384892	0.032075	0.031366	0.0289939	0.0195882	0.0390109	0.0351854	0.0328767	0.0385724	0.0294745	0.0510626	0.0535839	0.0536068	0.038149	0.0341295	0.0248646	0.0118851	0.0126086	0.00867273	0.00557938	0.00691628	0.00634471	0.00535725	0.00576771	0.0104009	0.0173062	0.0175661	0.0558963
les	0.0376074	0.0293128	0.0344415	0.0293954	0.0320129	0.0217667	0.0226279	0.0184099	0.015404	0.0131916	0.0116154	0.0189113	0.0149754	0.0137866	0.0246323	0.0201631	0.0393776	0.064072	0.0789727	0.0676383	0.0656014	0.0581204	0.040843	0.0296402	0.018866	0.0147206	0.0142492	0.0118473	0.00765336	0.00741402	0.0164955	0.0234899	0.029054	0.0536901
arbres	0.0230005	0.0353645	0.0366668	0.0633566	0.0775499	0.0586634	0.0468843	0.0429991	0.0368645	0.0233395	0.0163606	0.0131769	0.0144358	0.0162163	0.0225519	0.022234	0.0198102	0.032489	0.0329731	0.0312076	0.0303027	0.0275746	0.0291161	0.0221119	0.0247303	0.0128704	0.0164383	0.0181563	0.016349	0.0137501	0.0227116	0.02389	0.0288644	0.0469899
détruit	0.0320516	0.0230609	0.0170542	0.017077	0.0259567	0.040799	0.0427253	0.0354778	0.0222595	0.0173629	0.00667071	0.00550618	0.0061792	0.00956804	0.0210464	0.0219499	0.0347349	0.0275387	0.053216	0.0392322	0.0524724	0.0430958	0.0189254	0.0339239	0.0300376	0.0213753	0.0415515	0.0314129	0.00482554	0.0306833	0.0274981	0.0382923	0.0423033	0.0841355
la	0.0276471	0.0258646	0.0255834	0.019573	0.0214929	0.0168028	0.0145478	0.0135165	0.00988477	0.00584389	0.00362196	0.00452483	0.00838331	0.00877893	0.0145802	0.0169469	0.0245355	0.0215803	0.0293935	0.0269697	0.0292836	0.0333922	0.0252461	0.024965	0.0305879	0.0349876	0.0458879	0.0598608	0.0181521	0.0439848	0.0547536	0.0670564	0.0740418	0.117728
hache	0.0310972	0.0353119	0.0319199	0.00739547	0.00636691	0.00201835	0.0027662	0.00518836	0.00470677	0.00460418	0.00454138	0.00460135	0.00505667	0.00619998	0.0184389	0.0188038	0.030032	0.0228997	0.0402548	0.0292367	0.0397471	0.028307	0.0163664	0.0259289	0.0239249	0.0179228	0.0512824	0.0539082	0.00621934	0.0472985	0.0485411	0.0797712	0.0421161	0.207225
</S>	0.0521625	0.0321394	0.0368845	0.0340424	0.0471773	0.0386522	0.0454318	0.0390647	0.0202691	0.0135846	0.0101997	0.0139026	0.0145773	0.0133913	0.0174868	0.014095	0.0255443	0.0211921	0.0307964	0.02478	0.0306803	0.0370256	0.0249665	0.0257924	0.0247904	0.0213313	0.0317086	0.0299435	0.0100128	0.014259	0.0184786	0.0338103	0.0312548	0.120572
