 	m	w	á	n	a	o	y	u	r	u	w	ó	a	d	í	l	e	f	u	l	u	l	a	n	ω	t	s	í	n	a	n	ω	l	a	t	ó	n	á	o	b	a	n	d	á	w	a	</S>
cette	0.00272184	0.00731769	0.00651209	0.004015	0.00275981	0.00204452	0.00197969	0.00211845	0.00187439	0.00276467	0.00326334	0.00650159	0.0110996	0.0127172	0.0142388	0.0259032	0.019974	0.0316441	0.0298894	0.031423	0.0597092	0.0786282	0.105899	0.0411943	0.0298547	0.045055	0.0285494	0.0280734	0.0273317	0.0278505	0.0161408	0.0200745	0.0177399	0.00922853	0.0109338	0.0125463	0.013555	0.0129567	0.0168474	0.0221098	0.0222562	0.0189613	0.0263561	0.0306318	0.019222	0.0139607	0.0235708
jeune	0.0414383	0.00931198	0.0142908	0.0625126	0.281002	0.27213	0.120028	0.0344247	0.00975239	0.0126823	0.0149357	0.0249787	0.0226902	0.0252629	0.0185969	0.0035182	0.00592486	0.00416717	0.00139879	0.000592525	0.00069632	0.000681593	0.000307078	0.000213443	0.000220066	8.94782e-05	0.000190884	0.000307977	0.000290921	0.000128003	0.000108707	0.000542835	0.000382438	0.00141384	0.00130279	0.00115737	0.00494045	0.00118315	0.0019467	0.00174974	0.000756297	0.000547646	0.00053366	0.000213802	0.000234862	0.000121671	9.95532e-05
fille	0.0325402	0.00867818	0.043373	0.0609548	0.0516799	0.06442	0.0554196	0.032237	0.0230794	0.0135456	0.0459817	0.0226362	0.03121	0.0249625	0.0223023	0.00907465	0.0107354	0.0179756	0.0187034	0.0148734	0.018727	0.0146074	0.0243365	0.0116919	0.0138931	0.00993853	0.0143052	0.0151871	0.0163049	0.0179552	0.0119912	0.0184269	0.0172829	0.0264357	0.0180865	0.0249559	0.0221931	0.018918	0.0168296	0.0103391	0.00795668	0.00968078	0.0106103	0.00721295	0.0042749	0.00604094	0.00743504
garde	0.0218354	0.0159423	0.0109834	0.0156666	0.0170318	0.0276168	0.0171682	0.0156055	0.0154332	0.0164919	0.0160957	0.0146864	0.0130137	0.0105995	0.00926444	0.0108736	0.017026	0.0173142	0.0214572	0.0164853	0.016087	0.0186761	0.0181887	0.0231003	0.0251551	0.0293766	0.030198	0.0282069	0.0258865	0.0241871	0.0196329	0.0237566	0.0193042	0.0245713	0.0308536	0.0256659	0.0262378	0.0366674	0.0222731	0.0263628	0.0263908	0.015771	0.0232617	0.0281967	0.0209457	0.0294704	0.0409847
rancune	0.0376704	0.00933872	0.0117124	0.00609388	0.0115866	0.0195405	0.0166555	0.0114135	0.00825106	0.00743606	0.00964236	0.010044	0.00930207	0.0104624	0.0124077	0.0174265	0.022316	0.0239545	0.0271522	0.0288492	0.0253112	0.0268979	0.0221724	0.0265397	0.032511	0.0342406	0.0336417	0.0352425	0.0282694	0.0325583	0.0396594	0.0293027	0.0294729	0.0456338	0.0322721	0.0283508	0.0157873	0.0191642	0.00952305	0.0121614	0.0115427	0.00998721	0.0124875	0.017172	0.0180673	0.0189152	0.0418602
contre	0.0148641	0.00694957	0.00927243	0.00993334	0.0228178	0.0310475	0.0356571	0.0262099	0.016651	0.0215061	0.0287848	0.0298442	0.0275244	0.0211873	0.0266442	0.0229099	0.0281168	0.0315173	0.0508987	0.02462	0.0247991	0.0315023	0.00960974	0.0113534	0.0291363	0.00947356	0.00916908	0.0129855	0.0128945	0.0111231	0.00863316	0.0175777	0.00833147	0.0145866	0.0226808	0.0141363	0.0397275	0.0248551	0.0270698	0.0354937	0.027476	0.0198431	0.0184136	0.014327	0.0155254	0.0147455	0.0275741
toi	0.0138164	0.0104511	0.0143329	0.00801601	0.00763223	0.00744549	0.00747027	0.00721451	0.00571861	0.00647234	0.00683158	0.00561952	0.00457352	0.00472292	0.00549705	0.00441505	0.0057859	0.0064381	0.0137913	0.00849096	0.00490385	0.00843812	0.00770767	0.00736327	0.0175745	0.0150311	0.0166787	0.0200058	0.0180395	0.0281786	0.0365452	0.0322031	0.0340914	0.0609178	0.0634384	0.0606235	0.0655347	0.0521906	0.0577643	0.0354166	0.0381839	0.0482195	0.0301474	0.0108983	0.0153925	0.0247604	0.0350155
parce	0.0164504	0.0122939	0.0124932	0.0101123	0.00846096	0.00790557	0.00717387	0.0072157	0.00356619	0.00448872	0.00671752	0.00631799	0.00654727	0.00464201	0.00611574	0.00365219	0.0046699	0.00697371	0.0214466	0.00992239	0.00993116	0.0132826	0.00871374	0.00806399	0.0189298	0.014838	0.0187371	0.0199009	0.017474	0.0214494	0.0252185	0.0206429	0.0246282	0.0298733	0.0245303	0.0301296	0.0306799	0.0283652	0.0656912	0.0452272	0.0533711	0.0621146	0.0552828	0.0463117	0.0448572	0.0399981	0.0545915
que	0.0363697	0.0244485	0.0143473	0.0221803	0.0119836	0.0211196	0.0148196	0.0137959	0.0100646	0.00941702	0.00625775	0.00735823	0.00537796	0.0044337	0.00347227	0.0046059	0.00732864	0.00648645	0.00819933	0.00920413	0.00628698	0.0062803	0.0105428	0.00980387	0.0229947	0.0157608	0.016739	0.019502	0.013357	0.0247245	0.0257313	0.0223162	0.0175372	0.0282631	0.0348813	0.0316738	0.0589151	0.0451451	0.0512022	0.0388003	0.0395302	0.0445442	0.0444597	0.0343695	0.0192729	0.0265939	0.0495012
tu	0.0530086	0.0373158	0.029829	0.0256534	0.0139712	0.0174572	0.0164829	0.0107622	0.00635387	0.00668245	0.00808897	0.00695032	0.006713	0.00559373	0.00653174	0.00599872	0.00854394	0.0109819	0.00950117	0.00976912	0.00842723	0.0101312	0.0100062	0.00805671	0.0121292	0.0141224	0.0166187	0.0147549	0.0117818	0.0146222	0.0179305	0.0150067	0.0138372	0.0264242	0.0270469	0.0226725	0.0252751	0.0288919	0.0449983	0.0420994	0.0565522	0.0375928	0.0409033	0.0412611	0.0236011	0.0408862	0.078181
avais	0.0362662	0.0303748	0.0289757	0.0182373	0.00982959	0.00993001	0.00932072	0.00873088	0.00748739	0.00684083	0.0103598	0.00991005	0.00974502	0.00892972	0.0107849	0.00837282	0.0117695	0.0132849	0.0140086	0.0129372	0.0103363	0.0127179	0.0131327	0.0134536	0.0220699	0.0250212	0.0345663	0.0324808	0.029572	0.0324741	0.0273548	0.0310967	0.0196252	0.0301333	0.0363693	0.0239934	0.0192375	0.0155744	0.0178511	0.012484	0.0288859	0.0304692	0.0336906	0.0284149	0.0217034	0.0470253	0.0741703
refusé	0.0829479	0.0241149	0.0287672	0.0339496	0.0352354	0.0197266	0.0120865	0.015835	0.0119822	0.00977226	0.00909522	0.0207465	0.0144481	0.0295515	0.0567257	0.0162893	0.0249567	0.0256285	0.0254318	0.0179321	0.023047	0.02825	0.0155629	0.0210308	0.0231637	0.0217031	0.0279654	0.0171485	0.0180007	0.0142628	0.0183118	0.0150742	0.0141219	0.0185255	0.0192142	0.0118684	0.00955838	0.00895655	0.0101143	0.00900091	0.0161081	0.0145797	0.0168787	0.0146349	0.0131426	0.0254954	0.0390566
de	0.0483881	0.0177245	0.017232	0.0202984	0.0276464	0.0328526	0.0166656	0.0217817	0.0193116	0.0133668	0.0108263	0.0209832	0.0150259	0.0131814	0.0140536	0.00679249	0.0133799	0.00921989	0.0103626	0.00977313	0.00933112	0.0129884	0.0117352	0.0158243	0.0133475	0.0160017	0.0169698	0.0177791	0.0182088	0.01941	0.0238675	0.0215462	0.0208461	0.0291347	0.0382332	0.0262868	0.0286384	0.0298924	0.0291376	0.0262019	0.0311193	0.0265364	0.0243168	0.0228304	0.0212439	0.0343469	0.0553595
l'	0.0802787	0.0360299	0.031252	0.0230109	0.0235974	0.0305841	0.0186433	0.0119713	0.00870459	0.0101421	0.00968832	0.00854278	0.00609353	0.00882172	0.0193127	0.0122835	0.0197674	0.0266475	0.0352887	0.0262478	0.0240926	0.0355018	0.0195267	0.0194505	0.030721	0.0259699	0.0267094	0.0169255	0.0192942	0.0159612	0.0167855	0.0147076	0.0129051	0.0173153	0.0231819	0.0131055	0.0127568	0.0120202	0.0122374	0.0137807	0.0141195	0.0153581	0.015519	0.0193445	0.0145226	0.0191155	0.0721637
épouser	0.044957	0.0159755	0.020889	0.0184007	0.0167455	0.0133863	0.00839187	0.00638598	0.00485479	0.00551165	0.00446218	0.00627949	0.00495715	0.00762121	0.00988463	0.00833635	0.0132924	0.0118579	0.0170061	0.013269	0.0144792	0.0165276	0.0118841	0.017112	0.0223719	0.0297173	0.0287763	0.0219412	0.023626	0.0195113	0.0245432	0.0215189	0.0235596	0.0185422	0.0267039	0.014913	0.0112443	0.0105408	0.0180261	0.0155615	0.0222246	0.0269857	0.0273069	0.0300205	0.0464024	0.065473	0.138022
</S>	0.0410849	0.0123896	0.0204425	0.0154835	0.0145382	0.0161135	0.0124437	0.0104126	0.00762988	0.00886235	0.00613547	0.00619969	0.00472094	0.00573328	0.00694438	0.00554137	0.00930768	0.0085229	0.0109642	0.00931577	0.00748993	0.0129225	0.00968871	0.0119933	0.0165032	0.0325133	0.0323771	0.0241081	0.0253629	0.0231142	0.0215263	0.0247052	0.0216957	0.0206534	0.0340893	0.0146713	0.0163639	0.0123971	0.0190303	0.0119777	0.0154939	0.0274603	0.0281096	0.0188911	0.0317237	0.0642915	0.18806
