 	n	g	á	l	í	i	y	w	o	o	s	á	n	ω	m	o	b	v	έ	b	ó	ó	k	y	e	n	ω	l	a	n	g	á	</S>
je	0.0930314	0.37348	0.180917	0.0914243	0.0583018	0.0613038	0.0259875	0.00750854	0.0064929	0.00217857	0.00337453	0.00203517	0.00342119	0.00540032	0.00548064	0.00573411	0.00525913	0.00550991	0.00572017	0.00451508	0.00473785	0.00402549	0.00414564	0.00306458	0.00239817	0.0019882	0.00340951	0.00361539	0.00494877	0.00475712	0.00508356	0.00500197	0.00574761
te	0.0218944	0.0112235	0.0289991	0.0257583	0.0279017	0.0298713	0.054921	0.100186	0.146066	0.0778838	0.138679	0.0846704	0.0308328	0.0163635	0.0135303	0.0104247	0.00838161	0.00366055	0.00392592	0.00386768	0.00309363	0.00377353	0.00616726	0.00567433	0.0148467	0.0125166	0.0101125	0.015595	0.0115443	0.010795	0.0234728	0.0196473	0.023719
remercie	0.027905	0.0262784	0.0146314	0.0131196	0.0183703	0.0180257	0.0284875	0.0331813	0.0363775	0.0185073	0.0345913	0.042024	0.0469993	0.0593559	0.0773041	0.0748137	0.0826025	0.0374804	0.0450524	0.0386556	0.0282588	0.0256937	0.0215784	0.0146499	0.0123612	0.00962831	0.0129035	0.0149789	0.0189668	0.0170278	0.0176892	0.0181878	0.0143126
pour	0.0455328	0.0325454	0.0265767	0.0309901	0.0173291	0.0256041	0.0233624	0.048445	0.0402495	0.0218547	0.0338113	0.0259549	0.0338837	0.0571974	0.0369313	0.0229596	0.0157843	0.0208152	0.0209371	0.0200985	0.0218674	0.0365442	0.0331563	0.0182935	0.0224679	0.0291408	0.0300612	0.0363161	0.0237558	0.035767	0.0329353	0.0267569	0.0520746
le	0.0152961	0.0159988	0.0105099	0.00827438	0.0102799	0.0119553	0.0137225	0.0184811	0.01953	0.0199207	0.0232258	0.035891	0.0319002	0.0315597	0.0319033	0.050327	0.0705711	0.0812583	0.0467016	0.0446564	0.0359507	0.0321717	0.0294695	0.0251979	0.0160326	0.0210598	0.024533	0.0279063	0.0398208	0.0344894	0.038967	0.0393345	0.0431037
bien	0.00663872	0.00723661	0.00525552	0.00448025	0.00774793	0.0122368	0.0172937	0.0238743	0.0270041	0.0333426	0.0421682	0.0469521	0.0437894	0.0334938	0.0326883	0.0345256	0.0350089	0.0293622	0.0315341	0.0224391	0.0179133	0.016304	0.0162963	0.0171982	0.0240455	0.030164	0.032711	0.038615	0.0431278	0.0486225	0.0484646	0.0548305	0.114635
que	0.0194005	0.0244973	0.0138602	0.0100897	0.00919516	0.01049	0.0122037	0.0181839	0.0178932	0.0244994	0.0428857	0.0339151	0.0298146	0.0344506	0.0238779	0.0271994	0.025422	0.0416172	0.0296835	0.0342846	0.0285895	0.0324108	0.0346614	0.0352495	0.0378023	0.0392968	0.03889	0.0377645	0.0354689	0.0404185	0.0350401	0.0370651	0.0838788
tu	0.0891779	0.0500085	0.0375307	0.0411187	0.0113412	0.0117942	0.0130207	0.0131925	0.016486	0.0167671	0.0206306	0.0174832	0.0146837	0.018576	0.014104	0.0140102	0.0142006	0.0315662	0.0365266	0.0389876	0.0302701	0.0313077	0.0188316	0.0202959	0.030385	0.0318342	0.032466	0.0376933	0.038208	0.0436244	0.0451664	0.0506488	0.0680622
m'	0.0539137	0.049049	0.0544435	0.0454736	0.01435	0.0144634	0.0150201	0.0169623	0.026212	0.0223142	0.0203982	0.0148131	0.00891522	0.0108459	0.00926881	0.0120422	0.0142787	0.0152209	0.0240735	0.0272573	0.0237093	0.0254055	0.0300352	0.0361838	0.0427919	0.0419783	0.0438958	0.0431522	0.0446155	0.0466419	0.0497099	0.0480036	0.0545617
as	0.060747	0.0481727	0.0405357	0.0440804	0.0141368	0.0136538	0.014309	0.0178178	0.025646	0.0410902	0.0495451	0.0202871	0.0254132	0.0224899	0.0472019	0.035213	0.0462844	0.0228897	0.0390089	0.0364055	0.0330525	0.0204362	0.0175346	0.0123408	0.0166375	0.0137829	0.0160108	0.0216251	0.0159006	0.0281204	0.0305433	0.0340991	0.0749882
fait	0.0738008	0.0803203	0.0301151	0.018122	0.0161211	0.0264926	0.0273609	0.0484183	0.0325116	0.0190174	0.0317525	0.0271028	0.0274023	0.0201892	0.0399466	0.0307667	0.0392114	0.0297323	0.0413549	0.0413883	0.0308826	0.0215649	0.0157872	0.0151391	0.0185554	0.0221637	0.0183146	0.0222348	0.0211757	0.0241228	0.0253239	0.0283708	0.0352374
</S>	0.0761411	0.0360841	0.0212315	0.0225473	0.0634817	0.109307	0.0972135	0.0824875	0.0871654	0.0346685	0.0125484	0.0110559	0.00951791	0.00795262	0.015622	0.0106991	0.0177266	0.0187387	0.0166833	0.0135917	0.00891297	0.0087919	0.00957077	0.0115467	0.0145484	0.0124997	0.0134623	0.0234498	0.0179615	0.021174	0.0228443	0.0287661	0.0420076
