 	e	b	h	ó	a	é	p	í	m	b	i	w	á	i	b	v	ú	a	s	í	b	o	ó	</S>
le	0.011483	0.0204607	0.019535	0.0222873	0.0203545	0.0102209	0.0285826	0.0368638	0.0594556	0.0643391	0.0720537	0.0913953	0.0688956	0.0664219	0.0751559	0.0582277	0.078035	0.0416897	0.0333093	0.0212098	0.0205255	0.0174626	0.0229005	0.0391351
fou	0.0268394	0.0601092	0.0482412	0.0524099	0.0804527	0.0697188	0.0767912	0.0790982	0.0454584	0.0387819	0.0448175	0.0587219	0.0794716	0.0555054	0.0389945	0.0284244	0.022248	0.0217773	0.0320692	0.022642	0.00834767	0.00403073	0.00314947	0.0018993
lui	0.117475	0.0906271	0.0596901	0.0409192	0.0426835	0.0412462	0.0354261	0.0247562	0.0185168	0.0333312	0.0217477	0.0256985	0.0355364	0.0673322	0.0729971	0.0620129	0.0612633	0.0495734	0.0426408	0.0233994	0.0135423	0.00683231	0.00839361	0.00435841
a	0.0559714	0.0676744	0.0781008	0.0743034	0.0948891	0.109487	0.0637832	0.0507119	0.0369523	0.098719	0.0442197	0.0266627	0.0375778	0.020297	0.0264418	0.0204939	0.0175723	0.00921094	0.00737956	0.00691759	0.00604305	0.0112103	0.012655	0.0227261
donné	0.109823	0.0677474	0.0541102	0.0566554	0.0811214	0.0764291	0.0649989	0.0588905	0.0541301	0.0689881	0.0524448	0.0162925	0.015894	0.0146355	0.0149867	0.0179586	0.0162287	0.0146137	0.0148985	0.0163107	0.0164028	0.0192047	0.0218854	0.0553497
un	0.0588578	0.0479506	0.046722	0.0553991	0.0634634	0.0663066	0.0750583	0.0740679	0.0734716	0.0612482	0.0578448	0.02529	0.0206114	0.0166588	0.0161993	0.0213074	0.0271359	0.015208	0.0100568	0.0118141	0.0129476	0.014808	0.0445086	0.0830637
coup	0.0611373	0.0592869	0.0526868	0.046937	0.0494104	0.0371834	0.0386553	0.0343448	0.028112	0.015838	0.0129137	0.00618069	0.00570767	0.0182764	0.0325997	0.04536	0.0652661	0.0549065	0.039837	0.0362516	0.0390201	0.0406673	0.0707183	0.108703
de	0.0620171	0.0469244	0.052388	0.0435981	0.0377938	0.0298325	0.0271963	0.0231339	0.0191218	0.0102471	0.00992857	0.00881241	0.00935741	0.0272089	0.0527257	0.0507356	0.0608894	0.0438561	0.0483389	0.0443214	0.0349948	0.0748135	0.0794381	0.102326
bâton	0.0496396	0.0385248	0.0330405	0.0287726	0.017366	0.0101578	0.00827201	0.00626476	0.00774073	0.00764335	0.00604233	0.00411159	0.00504806	0.00991225	0.0165477	0.0236984	0.0566046	0.0619091	0.0788397	0.0816964	0.0646021	0.119995	0.124234	0.139337
sur	0.143154	0.0838735	0.0589043	0.0361604	0.0270081	0.0170785	0.013199	0.0148275	0.0120303	0.0112927	0.00950199	0.00452195	0.00493487	0.00760783	0.00976361	0.0133444	0.0314707	0.0259124	0.0308353	0.0376736	0.0366868	0.094022	0.0946659	0.18153
la	0.134048	0.0562941	0.0306647	0.0195575	0.0108882	0.00823628	0.00580397	0.00483624	0.00560651	0.00673045	0.00568152	0.00333845	0.00315051	0.00373587	0.0063546	0.011135	0.020318	0.0259144	0.0726171	0.0613275	0.0446722	0.119813	0.120503	0.218773
tête	0.116319	0.0591309	0.0376947	0.0241364	0.0163596	0.0148922	0.00680432	0.0046695	0.00553569	0.00846273	0.00886911	0.00559986	0.0090688	0.00693986	0.00587182	0.00584094	0.0140962	0.0278548	0.0782761	0.0618197	0.0429349	0.133316	0.132421	0.173085
</S>	0.149056	0.0472981	0.0474775	0.0305327	0.0328434	0.0255921	0.0132391	0.0114308	0.00804511	0.0109245	0.00857874	0.00363683	0.0045336	0.00660218	0.011711	0.0162722	0.0291821	0.0322172	0.0643972	0.0473901	0.0424054	0.101551	0.0793723	0.175711
