 	o	d	í	n	g	á	k	a	á	o	b	h	é	m	b	i	a	b	ó	n	d	i	y	á	n	g	a	l	á	a	s	ó	r	í	o	k	á	n	d	á	m	á	p	y	é	b	h	i	</S>
au	0.00797404	0.0131334	0.0161473	0.0199255	0.0513663	0.0479645	0.0358393	0.0363286	0.0483273	0.0548247	0.0293038	0.0193332	0.0218113	0.0263712	0.0262797	0.0217381	0.0166642	0.0173645	0.00893168	0.00629477	0.006394	0.00540829	0.00478415	0.00551882	0.0049226	0.00848703	0.0105726	0.011906	0.00875569	0.0119642	0.0121816	0.00926109	0.0144138	0.0147639	0.0228693	0.0232406	0.021501	0.0249275	0.0237558	0.0283742	0.0252133	0.0235756	0.0228081	0.0214816	0.0247428	0.0202443	0.0241782	0.0212356	0.0165951
bout	0.027715	0.0747589	0.0634886	0.058617	0.0251261	0.0261906	0.0125372	0.00887094	0.0316481	0.0582868	0.0208749	0.0337436	0.0706013	0.142323	0.0587391	0.0640206	0.0449037	0.0382419	0.0135857	0.0153423	0.0108726	0.00718972	0.00287285	0.0058818	0.00441826	0.0106857	0.0149942	0.00636534	0.00273966	0.00306691	0.00213704	0.00229163	0.00126732	0.00103098	0.00138033	0.000858576	0.00233782	0.00294407	0.00182017	0.0019569	0.00236705	0.00411136	0.0038523	0.00437537	0.00262165	0.00198695	0.00134304	0.00199888	0.000615604
d'	0.0456348	0.0194439	0.0103456	0.0180828	0.00808326	0.00684122	0.00798157	0.00687977	0.00333228	0.00394993	0.004819	0.00723593	0.0088251	0.0118869	0.0173835	0.0212084	0.0303428	0.0378509	0.0407895	0.044974	0.043821	0.0541502	0.0445702	0.0435013	0.0430788	0.0419716	0.0269242	0.0222886	0.0205547	0.0130237	0.0157593	0.0150694	0.013806	0.0215274	0.0211548	0.0270542	0.0158753	0.0199731	0.0255896	0.0181981	0.0216461	0.0247163	0.0108147	0.0106137	0.00806117	0.00452708	0.00360955	0.00831666	0.00391201
un	0.0164884	0.0163007	0.0196771	0.0195476	0.0129617	0.0169937	0.0140108	0.0121909	0.00698952	0.00754932	0.00901824	0.00715241	0.00796654	0.0111527	0.00959111	0.0125586	0.0148709	0.0192276	0.0367442	0.0473598	0.0264949	0.0388068	0.0495761	0.0362912	0.0608837	0.0417034	0.0327815	0.0519584	0.0506578	0.0418965	0.0280955	0.0391642	0.0276043	0.0260017	0.0156767	0.0171668	0.0106083	0.00549762	0.00636235	0.00474963	0.00414292	0.00497581	0.00532259	0.00635037	0.00670205	0.00727828	0.00825599	0.0116959	0.0149465
moment	0.0155695	0.0135416	0.0124289	0.0184007	0.00824968	0.0180422	0.0157517	0.0121862	0.0113148	0.0111291	0.0125396	0.0100932	0.0130476	0.0132204	0.0169212	0.0132937	0.0189866	0.0174541	0.0211037	0.0342491	0.0270693	0.0550259	0.0372126	0.109656	0.0524286	0.135026	0.0552477	0.036848	0.0248214	0.0154827	0.0113386	0.0127625	0.0100929	0.00886593	0.00555784	0.005463	0.00618191	0.00529222	0.00412727	0.00412648	0.00389365	0.00469346	0.00388761	0.00497754	0.00463857	0.00729918	0.00823992	0.0124261	0.0197938
le	0.0399698	0.0358298	0.0304238	0.0163281	0.00907792	0.0108084	0.0174686	0.0170776	0.0137287	0.0158051	0.0196644	0.0156188	0.0114167	0.0102932	0.0155256	0.0241083	0.0208748	0.0337236	0.0299251	0.0364167	0.0260163	0.0216414	0.0384204	0.0157603	0.0300483	0.0172787	0.0124928	0.0214594	0.0192532	0.0159291	0.0126581	0.0174288	0.0123692	0.0148268	0.0111844	0.0157073	0.0155727	0.0094018	0.0113589	0.0106808	0.00846467	0.00867886	0.0102672	0.0123113	0.0163707	0.0185386	0.0171562	0.0368756	0.0977633
voyageur	0.0105301	0.0128503	0.00840519	0.00704028	0.00456058	0.00654921	0.00857943	0.0114703	0.00775111	0.00689767	0.00902945	0.00966372	0.0102732	0.00728351	0.0150278	0.0134003	0.0309985	0.0114802	0.0272078	0.0291196	0.0209846	0.0470232	0.0348226	0.0462118	0.0512918	0.0587887	0.0415631	0.0299766	0.0281258	0.0288399	0.0196245	0.0324997	0.0327613	0.0249627	0.0220002	0.0241261	0.0284973	0.0216559	0.015088	0.0145459	0.0143158	0.0111894	0.0137973	0.0124958	0.0129036	0.012983	0.0128709	0.0148243	0.0231121
a	0.0366858	0.0223742	0.0142553	0.0121339	0.0124195	0.0116952	0.0197929	0.0194216	0.0133995	0.0149292	0.0182583	0.0213813	0.0186135	0.0190592	0.0175187	0.0204705	0.0170733	0.0280844	0.0332947	0.0293585	0.0322239	0.0254381	0.0420544	0.0220287	0.0402134	0.0225959	0.0210036	0.0331764	0.0273822	0.0266618	0.0217427	0.0282816	0.0258443	0.0249635	0.0194199	0.0225728	0.0271663	0.0227678	0.0155718	0.00971446	0.0102353	0.00617697	0.00737728	0.00356189	0.00674402	0.00593547	0.00458063	0.0145416	0.0298041
eu	0.0359714	0.0136305	0.00832701	0.00816912	0.00703227	0.00727792	0.00638522	0.00672314	0.00551395	0.00782934	0.00952734	0.0130138	0.00852259	0.00772336	0.00994902	0.0115091	0.0176407	0.0158659	0.0262416	0.0243	0.0265584	0.0283785	0.0385155	0.0268301	0.0328559	0.0283362	0.0283987	0.029893	0.025227	0.0254641	0.0224065	0.0279217	0.0286387	0.0257047	0.0300939	0.037784	0.0396318	0.027532	0.0233458	0.0214636	0.0187975	0.0142859	0.0157218	0.014183	0.0162799	0.0196552	0.0218592	0.0248692	0.0282146
chaud	0.0389212	0.0227767	0.0174023	0.0140707	0.00981086	0.00699335	0.00575934	0.00720476	0.00600304	0.0100314	0.0130662	0.0145826	0.00983284	0.00926459	0.00859786	0.0111185	0.00921756	0.0173093	0.0199437	0.0216727	0.0236973	0.0172307	0.029199	0.0164762	0.0258876	0.0165882	0.014402	0.0221595	0.0183213	0.0191361	0.0159307	0.0190502	0.01637	0.0164027	0.0153737	0.0185128	0.0199879	0.0167847	0.0183909	0.0200664	0.0177977	0.0219187	0.0260107	0.0308395	0.0391424	0.0427155	0.0406538	0.0592845	0.0680896
