 	n	g	á	í	k	w	e	r	i	o	t	s	á	n	y	i	i	s	á	n	g	o	n	d	a	</S>
j'	0.10592	0.119813	0.402579	0.0572741	0.0375113	0.024993	0.00769947	0.00816299	0.00906377	0.0179808	0.0236885	0.012021	0.0156923	0.0120774	0.00994585	0.0124347	0.0126205	0.00899726	0.00999193	0.00934277	0.0130709	0.0133179	0.0144044	0.0146208	0.0132374	0.0135383
ai	0.110961	0.0394431	0.0326816	0.0457409	0.0651574	0.0949036	0.0649337	0.097202	0.108672	0.0699298	0.0421542	0.0189758	0.0190782	0.0181609	0.0111184	0.00962028	0.00672925	0.00814633	0.0103801	0.00826223	0.00513151	0.00869089	0.00611545	0.0130468	0.0288249	0.0559394
abattu	0.0352937	0.0276933	0.0125381	0.0328234	0.0366683	0.0383985	0.0336531	0.0319165	0.0381803	0.0509213	0.0438247	0.0445247	0.0512519	0.0637841	0.0693958	0.0558875	0.0338328	0.0384342	0.0365504	0.0444422	0.0340804	0.0316312	0.0307495	0.0314585	0.0337754	0.0182902
l'	0.0439309	0.0268804	0.0137822	0.0196821	0.0241915	0.0267299	0.0503583	0.0530725	0.0318094	0.0325434	0.0285494	0.0228767	0.0390818	0.0372988	0.0424219	0.0394809	0.0446875	0.0383011	0.0442623	0.0466147	0.0504475	0.030272	0.0421394	0.0374903	0.0593161	0.073779
arbre	0.0133034	0.00661055	0.00730428	0.0138252	0.0158988	0.0241296	0.0412561	0.0580276	0.0523742	0.0491431	0.0418257	0.0325762	0.0343767	0.0334123	0.029863	0.0415002	0.0367428	0.0450138	0.045427	0.0521461	0.04539	0.0477888	0.0554784	0.0565498	0.0535492	0.066487
otsányii	0.00401395	0.00348967	0.00389845	0.00663093	0.00784125	0.00910204	0.0107285	0.0139423	0.0148115	0.0154315	0.0170802	0.0268153	0.0347085	0.0378968	0.0389456	0.0559433	0.0494007	0.0722165	0.067301	0.0794951	0.0717964	0.0708283	0.0725575	0.0693062	0.068764	0.0770544
dans	0.0197657	0.00939514	0.00975252	0.0100766	0.010258	0.010838	0.0168698	0.0153542	0.0136286	0.0113889	0.0125504	0.0189365	0.0239392	0.0263041	0.0372067	0.0534981	0.0407631	0.0532676	0.057473	0.0932951	0.0647802	0.0776284	0.079003	0.075261	0.0694863	0.0892798
mon	0.0248596	0.0209874	0.0202423	0.0197029	0.017739	0.0172455	0.0306417	0.0281933	0.0254267	0.0224118	0.0256653	0.0296913	0.0318909	0.0282528	0.0338156	0.0388296	0.0338362	0.0359777	0.0476817	0.0565728	0.0532748	0.0594342	0.0698194	0.0715552	0.074408	0.0818445
champ	0.0352438	0.027196	0.0245654	0.0337025	0.0229408	0.0140775	0.0125303	0.0148428	0.0148516	0.0194023	0.0237721	0.0251106	0.0285961	0.0280759	0.0280429	0.0386299	0.0261204	0.0380375	0.0428783	0.0568537	0.0626863	0.0529292	0.0690977	0.066506	0.0863795	0.106931
</S>	0.0533334	0.0371453	0.0235505	0.0297977	0.0191482	0.0132033	0.0278117	0.0301929	0.0253568	0.0265878	0.0261843	0.0277725	0.0162777	0.012243	0.0165549	0.0231847	0.0321177	0.0304286	0.038225	0.0442673	0.0427884	0.0464451	0.0562629	0.0682742	0.09371	0.139136
