 	o	y	ú	r	u	y	o	k	w	é	é	l	é	w	ó	á	m	i	k	y	ε	m	b	έ	o	b	v	u	l	ú	s	é	l	é	n	g	é	</S>
cette	0.0173149	0.0118803	0.0109548	0.0136953	0.00907614	0.00541819	0.00890047	0.020689	0.0202798	0.0251896	0.0409403	0.0533885	0.0515271	0.0298229	0.0224062	0.0305704	0.0152357	0.027353	0.0199618	0.0208223	0.0294694	0.0264376	0.0304641	0.0185485	0.0239245	0.0169546	0.0147879	0.0186405	0.01417	0.0177261	0.0198435	0.0211222	0.0230551	0.051027	0.0458483	0.0567012	0.0714349	0.044418
veuve	0.0324696	0.0680837	0.129934	0.133286	0.192218	0.0815875	0.0583579	0.0565487	0.0341756	0.0260482	0.0143713	0.0125079	0.00849883	0.0177048	0.0369792	0.0236617	0.0207793	0.00575812	0.00395593	0.0048617	0.00679605	0.00199648	0.00101069	0.00179073	0.00106593	0.00115544	0.0025976	0.00256645	0.00348305	0.00463922	0.00132253	0.00214386	0.00241033	0.00281139	0.000555911	0.000704476	0.000931607	0.000229784
a	0.0425029	0.065023	0.0562549	0.0420501	0.0545762	0.0394456	0.0268066	0.0198007	0.0114594	0.0121883	0.0190616	0.0395779	0.0380504	0.0325391	0.0338409	0.0364997	0.0291629	0.0145632	0.0180314	0.0147069	0.0174072	0.0197513	0.0199661	0.0248975	0.0223591	0.0329203	0.0423037	0.0229479	0.0295051	0.0289394	0.0207443	0.0176536	0.00713583	0.00990878	0.00915402	0.00972356	0.0126464	0.00589427
mis	0.0695824	0.0769411	0.0558579	0.051886	0.0386855	0.0223067	0.0128362	0.0131065	0.0148075	0.0190356	0.00870576	0.0232598	0.0234358	0.0551503	0.0514228	0.042662	0.0733486	0.0529802	0.0435354	0.0402798	0.0274369	0.0212193	0.0153861	0.0104615	0.0111196	0.00923007	0.0113877	0.00969083	0.00888579	0.00939557	0.00478338	0.00667759	0.00458363	0.00584265	0.00654179	0.0108411	0.0171406	0.01955
de	0.142595	0.0897542	0.0436796	0.033442	0.0311585	0.0291024	0.0248204	0.0217401	0.0122296	0.0142673	0.00963348	0.024665	0.0182119	0.0382377	0.0244035	0.0272513	0.0270829	0.0375259	0.0277771	0.0241586	0.0188933	0.0185757	0.0203578	0.0176662	0.0170694	0.0175551	0.0134777	0.0133889	0.0171921	0.0102322	0.00913426	0.00851568	0.00887766	0.00973373	0.0116879	0.0197452	0.0215856	0.0445751
la	0.0261455	0.0152621	0.0139113	0.013302	0.0208172	0.0139202	0.00924399	0.0111022	0.0129116	0.0136324	0.0152562	0.0190107	0.0245827	0.0351338	0.0214576	0.0371037	0.0374804	0.0375165	0.0312637	0.0433457	0.0332142	0.0289154	0.0241832	0.0219781	0.0258047	0.0203779	0.0237566	0.0277875	0.0252685	0.026701	0.0332453	0.0351891	0.0363815	0.0362421	0.0357923	0.0396787	0.0334896	0.0395949
cendre	0.0237488	0.0161228	0.0133855	0.0107893	0.0145654	0.0115646	0.01108	0.0130496	0.0125978	0.0127132	0.012147	0.0156154	0.0110634	0.0151277	0.0126392	0.0279771	0.0230929	0.0204813	0.0149856	0.0252228	0.0319576	0.0212775	0.0239118	0.0210678	0.0314149	0.0217504	0.0420305	0.0346641	0.0302468	0.0490493	0.0367288	0.0397126	0.051995	0.0614506	0.0413354	0.0498563	0.0431804	0.0504006
sur	0.026434	0.0187295	0.0125179	0.0100696	0.0116399	0.0109447	0.00870716	0.00897612	0.00753678	0.00948624	0.00491434	0.00913514	0.0119342	0.0245657	0.0182645	0.0362125	0.0490294	0.0790606	0.0520359	0.0624754	0.0464366	0.0496919	0.0484683	0.0320631	0.0455281	0.0404914	0.0267295	0.0328838	0.0173302	0.0170795	0.0249243	0.0190763	0.0173848	0.0171365	0.0132801	0.0199492	0.0194761	0.039401
son	0.117473	0.0678204	0.0370943	0.0206462	0.0184689	0.015646	0.012215	0.011459	0.014058	0.0131236	0.00979987	0.0191269	0.0255305	0.0324436	0.0133859	0.016388	0.0184477	0.0338047	0.0197497	0.0178505	0.0176319	0.0152157	0.0171266	0.0153191	0.0179894	0.0163651	0.0117199	0.0146756	0.0124198	0.0105554	0.0153831	0.0153462	0.0217383	0.0234139	0.0325093	0.0474524	0.0511677	0.109438
visage	0.0374751	0.0354495	0.0145151	0.0111845	0.00811905	0.00510893	0.00388391	0.00376714	0.00289938	0.00323888	0.00270793	0.00753528	0.00656583	0.013467	0.0111357	0.0188341	0.021551	0.0394167	0.0238709	0.0195514	0.0219723	0.0212842	0.0266668	0.0260724	0.0267984	0.0378487	0.0293953	0.0369876	0.0284367	0.0332174	0.0377726	0.036202	0.0401074	0.0396511	0.0464307	0.0629563	0.0627785	0.0951442
</S>	0.0753165	0.053276	0.0313261	0.0203083	0.0248071	0.00845646	0.00564318	0.0042687	0.00182594	0.00208036	0.00128915	0.00593705	0.00293747	0.00869539	0.00964134	0.0110552	0.0154781	0.0227262	0.0168122	0.011673	0.0147029	0.0166477	0.021013	0.0244095	0.0223389	0.0395922	0.0561494	0.044163	0.0457015	0.0586477	0.0503646	0.0446912	0.0259371	0.0192451	0.0241641	0.0331286	0.0333186	0.0922312
