 	m	ó	n	d	i	e	m	á	l	e	k	á	a	b	a	r	e	b	á	a	p	i	á	a	s	w	é	m	ó	m	a	n	d	e	</S>
pendant	0.00734653	0.00783403	0.00417184	0.00485161	0.00657692	0.0080777	0.00950517	0.0176731	0.0233083	0.0354222	0.0354616	0.0344322	0.0417134	0.0622162	0.077219	0.0649589	0.0528357	0.0526995	0.0360514	0.0412032	0.0402633	0.0256169	0.0296262	0.0295818	0.037479	0.0352007	0.0226674	0.0194847	0.0242985	0.0197559	0.0111191	0.0108346	0.0117872	0.0204686	0.0382574
la	0.0198869	0.0189791	0.0157647	0.0138192	0.015102	0.0108851	0.0125887	0.0104257	0.0198793	0.0301911	0.0401782	0.0373172	0.0351266	0.0549223	0.0652635	0.0762274	0.0626041	0.0940505	0.0435393	0.0376269	0.0432949	0.0429298	0.0294589	0.0343229	0.0177855	0.0208838	0.0117166	0.0198608	0.0148405	0.0125703	0.00775992	0.00750934	0.0107188	0.00522496	0.00674527
période	0.0293692	0.0184456	0.0215838	0.0229434	0.0301817	0.0510531	0.0561663	0.0575274	0.0570598	0.0387035	0.0317644	0.0224153	0.0252026	0.0138372	0.0175164	0.0298425	0.0334761	0.016799	0.0199719	0.0142505	0.0225055	0.0217689	0.0516572	0.0659161	0.0383882	0.0161492	0.026747	0.0372388	0.0232224	0.0248768	0.0164829	0.0114165	0.0129793	0.0122633	0.010278
de	0.0382732	0.0485861	0.0498291	0.0485664	0.0495386	0.0519827	0.0488725	0.0539671	0.0452952	0.0451088	0.0399267	0.0370345	0.0460246	0.0343697	0.022068	0.0210156	0.0151103	0.0166688	0.0128293	0.0108103	0.0116799	0.0126108	0.0070779	0.0108036	0.0113985	0.0114395	0.0117586	0.0191456	0.0156394	0.0210145	0.0198435	0.0188325	0.0211772	0.0314714	0.0402294
pluies	0.0172287	0.0263374	0.0364354	0.0407593	0.0467431	0.0549362	0.0550339	0.048809	0.04561	0.0395029	0.0317634	0.0309665	0.0298522	0.0283734	0.0369568	0.0436544	0.0432556	0.0370848	0.0318948	0.0189996	0.0167948	0.0136112	0.00824135	0.0113943	0.00785044	0.0127803	0.00977359	0.0138632	0.00947413	0.0134983	0.00586977	0.00723874	0.0279156	0.0301469	0.0673498
les	0.0441916	0.0360567	0.0332091	0.0274324	0.0303032	0.0267551	0.0252494	0.0234313	0.0195226	0.018625	0.0176795	0.0161116	0.012127	0.010389	0.014819	0.0235904	0.0287205	0.0296363	0.037444	0.0404866	0.0428756	0.0557791	0.0528903	0.0368313	0.0321176	0.0305665	0.027291	0.0251177	0.0193541	0.018263	0.0161491	0.0215457	0.029208	0.024219	0.0520115
gens	0.0806857	0.0538055	0.044996	0.0315803	0.0372272	0.0322312	0.0282488	0.0264416	0.0176735	0.0147629	0.0118218	0.0104323	0.0108775	0.0111457	0.0116708	0.0128903	0.0147137	0.0194131	0.0218673	0.021247	0.0198846	0.0204278	0.0200962	0.0211107	0.032163	0.0339805	0.0311577	0.0374309	0.0330307	0.0327094	0.0263588	0.027841	0.0445076	0.0468274	0.0587414
attrapent	0.0313957	0.0188447	0.0183524	0.0162214	0.0134494	0.00942957	0.0136839	0.0201096	0.0209376	0.0200374	0.015204	0.0100079	0.00960614	0.00923177	0.00927573	0.00986011	0.0113808	0.0142616	0.0220829	0.0254745	0.0373343	0.0462949	0.0496566	0.0571014	0.0573257	0.0663763	0.0470543	0.0493806	0.0424339	0.0371079	0.030564	0.0323202	0.0406987	0.0339114	0.0535925
des	0.0558653	0.0330998	0.0243643	0.0185395	0.0142453	0.00999951	0.0127536	0.0125272	0.0112998	0.00941781	0.00870546	0.00590452	0.00547344	0.00457674	0.00421055	0.00510286	0.00449107	0.00882815	0.0138404	0.0163864	0.0235165	0.0310712	0.0378075	0.0294458	0.0386791	0.0440985	0.031115	0.0401014	0.0467388	0.0455214	0.0498631	0.0606513	0.0669123	0.0889396	0.085907
poissons	0.0533487	0.03212	0.023625	0.0177035	0.0109757	0.0062242	0.00424497	0.00352116	0.0029596	0.00266392	0.00286307	0.00308156	0.00347798	0.00331911	0.00358882	0.0048257	0.00517475	0.00986014	0.0125353	0.0151882	0.0200382	0.0196014	0.0186203	0.0190478	0.023224	0.0384163	0.0323333	0.0417458	0.0488597	0.0529082	0.0544093	0.0616608	0.107577	0.112108	0.128149
dans	0.0471385	0.0402197	0.0361698	0.0311054	0.0136639	0.00585103	0.00785217	0.00830869	0.00902911	0.00929074	0.00944226	0.0089854	0.00777183	0.00660884	0.00746486	0.00834827	0.00936484	0.0100467	0.00834455	0.00966919	0.0123103	0.0171784	0.026871	0.0269161	0.0387308	0.035036	0.0303935	0.0358048	0.0427912	0.0473287	0.0562077	0.0719608	0.0697186	0.0624907	0.131586
les	0.0556724	0.0430533	0.0361811	0.026713	0.0118501	0.00693273	0.0104658	0.0137971	0.015003	0.0144421	0.0151044	0.0128456	0.0113695	0.00849609	0.0101135	0.0113198	0.0145991	0.0163219	0.0155846	0.0164227	0.0183325	0.0227829	0.0253684	0.0273895	0.035716	0.0294588	0.0284787	0.0296121	0.0384641	0.0373255	0.0452784	0.0630905	0.0617595	0.0649464	0.105709
barrages	0.0438702	0.0246211	0.0193191	0.0153721	0.0128127	0.0101527	0.0108775	0.0120666	0.00935737	0.00748401	0.00610531	0.0055326	0.00582987	0.00550219	0.00558838	0.0058814	0.00701624	0.0121918	0.0151948	0.0184001	0.018449	0.0223635	0.0264754	0.0273837	0.044468	0.0471668	0.0413582	0.0497504	0.0549609	0.0466692	0.0515226	0.0606499	0.0685397	0.0946413	0.0924253
à	0.031444	0.0372193	0.0481685	0.0406544	0.0284072	0.0255878	0.0312075	0.0369758	0.0325752	0.0339282	0.0275501	0.0267537	0.0257628	0.0189525	0.0205106	0.023933	0.0212772	0.0193882	0.0168143	0.0165302	0.0219736	0.0250965	0.0251805	0.027764	0.0279051	0.0264947	0.0283428	0.0302633	0.0304578	0.0261739	0.0325427	0.0364142	0.0325039	0.0343723	0.0308741
nasses	0.0215333	0.0204211	0.0231989	0.0197832	0.0129485	0.0094342	0.00930276	0.0114106	0.00933523	0.00846527	0.00770704	0.00755353	0.00950234	0.00891589	0.00965981	0.0103553	0.0130782	0.0163112	0.0169154	0.0168197	0.0156216	0.0155885	0.010594	0.0155781	0.0252313	0.0430974	0.0526572	0.0742617	0.0923334	0.0619664	0.0535188	0.0483728	0.0812941	0.0623822	0.0848511
