 	l	é	b	h	ó	y	á	a	y	ú	r	u	b	á	a	b	h	i	r	á	a	s	w	é	</S>
pendant	0.0687488	0.0217858	0.040076	0.0419605	0.026058	0.0301649	0.0336183	0.0456077	0.0405456	0.0474774	0.0344804	0.0400907	0.0355037	0.043873	0.0343082	0.0394708	0.0553657	0.0458474	0.0467637	0.0540763	0.0529699	0.0451112	0.0362546	0.021812	0.0180296
la	0.0418125	0.039687	0.0125789	0.00748532	0.00597985	0.00921355	0.0133533	0.0167756	0.0414182	0.0880193	0.129372	0.106969	0.100386	0.0467315	0.0395115	0.0338571	0.0434995	0.0281615	0.0312596	0.0349189	0.0326979	0.0259959	0.031039	0.0155836	0.023693
grande	0.045342	0.0400279	0.0591015	0.0450771	0.0572291	0.0482087	0.0794452	0.0436671	0.0753611	0.0843571	0.0583437	0.0743255	0.0361369	0.061512	0.0248932	0.0199166	0.0183935	0.00749292	0.0130694	0.0177394	0.0248324	0.0221265	0.0178926	0.0125033	0.013005
saison	0.0131876	0.0147116	0.0141215	0.0186452	0.0203827	0.0198942	0.0256885	0.0258321	0.0392329	0.069455	0.0648051	0.100988	0.110204	0.0874262	0.0816347	0.0530294	0.0635994	0.0193919	0.0211416	0.0141452	0.0130109	0.0181131	0.0173744	0.0280054	0.0459793
sèche	0.0317177	0.0326682	0.0296744	0.0342052	0.0388429	0.0399095	0.0425612	0.0416833	0.0423718	0.0511239	0.0578076	0.0550892	0.0325597	0.0198694	0.0150717	0.0139199	0.0303061	0.0180782	0.0425635	0.03273	0.0315492	0.0387706	0.0541848	0.0610808	0.111662
les	0.0386118	0.0226943	0.0179863	0.0169039	0.0226555	0.0224758	0.0321593	0.0295431	0.0294065	0.0408911	0.0443068	0.0431391	0.0390138	0.0329599	0.0359141	0.0334122	0.0362021	0.0367163	0.0537743	0.0536794	0.055207	0.0544246	0.0681121	0.0620143	0.0777967
femmes	0.0249052	0.01962	0.0182748	0.0190013	0.0230093	0.0237743	0.0226492	0.0164495	0.017189	0.0216409	0.0267708	0.0346315	0.0401575	0.0383989	0.0460076	0.0395218	0.0524513	0.0561961	0.0649777	0.0650205	0.0649017	0.0651357	0.0653369	0.0660961	0.0678823
sèchent	0.0279099	0.0246446	0.0232346	0.0216342	0.0186309	0.012744	0.0144392	0.0144336	0.0179958	0.0209464	0.0214923	0.023731	0.0251272	0.0252266	0.028374	0.0265063	0.0463294	0.0465857	0.0711675	0.077192	0.0802504	0.0824456	0.083099	0.0828228	0.083037
du	0.0456248	0.0338668	0.0325524	0.0306561	0.030747	0.020708	0.019975	0.0181257	0.0159147	0.0198224	0.0171814	0.0214457	0.0157766	0.0104999	0.0107257	0.00802769	0.0179321	0.0215075	0.0457744	0.0614844	0.0716304	0.0974328	0.0870734	0.114613	0.130902
poisson	0.0272569	0.0238003	0.0161535	0.0145917	0.0126235	0.0118863	0.0118269	0.0113259	0.0107338	0.0114196	0.0111708	0.0133901	0.0102083	0.0102309	0.0134332	0.0122506	0.0192945	0.0285887	0.0424716	0.0725925	0.095879	0.123792	0.116116	0.111765	0.167199
</S>	0.0692524	0.0414257	0.0316711	0.0267578	0.0299747	0.0183876	0.016853	0.0114834	0.0102038	0.0125123	0.0134759	0.0173719	0.0125242	0.00930386	0.0115079	0.00965221	0.0222405	0.0254646	0.0402118	0.054873	0.0657278	0.100307	0.0960371	0.116505	0.136276
