 	e	k	ó	n	g	í	s	í	l	í	y	á	k	ó	n	y	i	y	é	y	á	m	o	r	o	y	e	e	d	i	l	á	a	b	h	i	r	á	a	s	w	é	</S>
cette	0.00702072	0.00838052	0.00906459	0.0102426	0.0151076	0.0073679	0.00799379	0.00952869	0.0261386	0.0340908	0.08632	0.0926727	0.0755114	0.0519348	0.0364403	0.0210161	0.0200808	0.0183784	0.0145323	0.0120229	0.0108336	0.0123495	0.0138842	0.00705836	0.00667403	0.00580688	0.00610617	0.00488786	0.00675888	0.00872918	0.0120973	0.01459	0.0183453	0.0160476	0.0210159	0.0301894	0.0314387	0.0361335	0.0394029	0.0436543	0.0370734	0.0295989	0.0234788
manière	0.0585035	0.0314914	0.0460511	0.0365026	0.0393376	0.0387554	0.0436689	0.0379629	0.0306835	0.0329693	0.101384	0.087857	0.0543629	0.0379725	0.0231313	0.0317992	0.010026	0.0137709	0.0101174	0.0119624	0.0121578	0.0150266	0.0639951	0.00912806	0.00621232	0.00369127	0.00423518	0.00538627	0.00865851	0.00763055	0.00763711	0.00509584	0.0108901	0.00471598	0.0090772	0.0170281	0.00511877	0.00247234	0.0124818	0.00467	0.0033219	0.001727	0.00133256
d'	0.130232	0.0611107	0.0460149	0.0141561	0.0183631	0.037243	0.0349701	0.015334	0.0230824	0.0114453	0.0162245	0.0120635	0.0131205	0.0133343	0.0162804	0.0187828	0.0195042	0.0217189	0.0213039	0.0295081	0.0218548	0.0400739	0.0611266	0.0417171	0.0326024	0.0265753	0.0306117	0.0312049	0.0161157	0.0150343	0.0123962	0.0131992	0.00827353	0.00740917	0.00704374	0.00699299	0.0063015	0.00391854	0.00466414	0.00604407	0.00875097	0.0104992	0.0137973
entasser	0.0673465	0.046343	0.0510845	0.0426337	0.0201634	0.0156843	0.0109854	0.0138178	0.0142305	0.00799351	0.0104849	0.010893	0.0103107	0.010598	0.0208365	0.0133073	0.0249551	0.0323891	0.0350987	0.0320683	0.0235113	0.0365514	0.0490734	0.0376297	0.0476331	0.0269128	0.0470672	0.0673384	0.0460691	0.0201375	0.0212074	0.00880024	0.0073519	0.00730306	0.0031768	0.00289902	0.00313075	0.00227442	0.00337794	0.0044975	0.00493583	0.00657598	0.0313213
le	0.0134003	0.0106542	0.0132741	0.00789701	0.00574135	0.00731287	0.00572572	0.00566957	0.00403576	0.00322276	0.00380793	0.00253801	0.0035663	0.00555869	0.0132693	0.0119953	0.0278771	0.0290199	0.0269662	0.04982	0.0323321	0.0775121	0.0388985	0.0499551	0.097007	0.0510822	0.0939287	0.140932	0.0576805	0.0243363	0.0201322	0.0128681	0.00916315	0.0100329	0.0034089	0.00204947	0.00209001	0.00143993	0.0018708	0.00236363	0.00304591	0.00535286	0.0111657
bois	0.0107438	0.0149273	0.0264894	0.0325017	0.036752	0.0364666	0.0262811	0.0272355	0.0207284	0.0219188	0.0131431	0.0230288	0.0160276	0.0313332	0.0284078	0.0467586	0.0257684	0.0279151	0.0265373	0.0244369	0.0249897	0.0245384	0.0231918	0.0215366	0.0326592	0.0215013	0.0287552	0.0448311	0.0363007	0.0300611	0.0343638	0.0234898	0.0192471	0.0203144	0.0152163	0.0103649	0.0108133	0.007198	0.00860432	0.00864271	0.00712328	0.011378	0.0174778
est	0.0317313	0.0179268	0.013482	0.0109198	0.0123409	0.0202387	0.0190205	0.0234247	0.0135556	0.00939601	0.00576621	0.00836043	0.00721437	0.0141389	0.0132167	0.0177439	0.0137712	0.0131527	0.0204381	0.0182137	0.0229503	0.0291172	0.0314138	0.0294589	0.051743	0.0420219	0.0576935	0.057594	0.0567982	0.0453158	0.029038	0.0204711	0.021446	0.0259623	0.00538229	0.00587441	0.00622645	0.00570426	0.0121623	0.0160392	0.0128146	0.0392236	0.0714963
celle	0.0162335	0.0223927	0.0283473	0.0279907	0.022289	0.023299	0.0223709	0.0227896	0.0205061	0.0137641	0.0153346	0.0150319	0.0111109	0.0149863	0.0129129	0.0209647	0.0136026	0.0206605	0.0299416	0.0292947	0.0254996	0.0261659	0.032595	0.0393736	0.044709	0.0479487	0.0498529	0.0662156	0.0377014	0.0234046	0.0162985	0.014573	0.00926069	0.0121169	0.00884292	0.00975409	0.0125108	0.00917444	0.0120168	0.0121597	0.0122069	0.0216819	0.0521134
de	0.0274572	0.024474	0.019068	0.0175347	0.0112989	0.0149765	0.0159276	0.0179386	0.0196936	0.0141027	0.0118592	0.00991621	0.00862832	0.00833916	0.00999006	0.00808238	0.0122694	0.0144153	0.01791	0.0121508	0.0183773	0.0193717	0.0258193	0.0288034	0.042087	0.0448962	0.0503683	0.0871153	0.0461694	0.0374732	0.0312558	0.0227935	0.0157544	0.0211782	0.00616375	0.0121692	0.0140863	0.00934456	0.013824	0.0238019	0.0258909	0.0386088	0.0686149
celui	0.0354315	0.0317817	0.022407	0.0163886	0.0127857	0.0153077	0.0173237	0.0179474	0.0138454	0.00920932	0.00872697	0.00784906	0.00593042	0.00510383	0.00579362	0.00566804	0.00716413	0.0107245	0.0118486	0.00900994	0.0101317	0.0106515	0.0148782	0.0230008	0.024265	0.0223178	0.0280587	0.0309564	0.0277239	0.0321239	0.0336797	0.0289454	0.0204185	0.0279128	0.0288588	0.0334958	0.0375389	0.0409327	0.0393446	0.0455695	0.0473841	0.0481729	0.0733911
qui	0.0221752	0.0166287	0.0131405	0.0120827	0.0108985	0.011166	0.0115904	0.012363	0.012427	0.0106762	0.00905455	0.00766953	0.00554562	0.00506404	0.00917721	0.00988523	0.00881944	0.0128583	0.0234293	0.0174865	0.0200336	0.0184109	0.0283646	0.0361421	0.0348958	0.03612	0.0389506	0.0492225	0.0372801	0.0310388	0.026506	0.0243862	0.0249336	0.029067	0.0325609	0.031542	0.0344571	0.0340912	0.0313517	0.0369983	0.0362655	0.0386934	0.04655
