 	e	d	z	á	á	g	h	á	y	é	é	s	ó	m	b	í	n	ω	y	é	é	d	í	p	o	l	ó	o	l	ó	</S>
l'	0.011328	0.0176939	0.0267697	0.0374597	0.0281481	0.0207543	0.0217132	0.0213551	0.0301627	0.0395238	0.0471163	0.0517461	0.0540114	0.0603088	0.0529782	0.0549194	0.0508054	0.0505413	0.0433293	0.0414069	0.0375575	0.0263933	0.0319451	0.0200341	0.0208298	0.0161899	0.0135795	0.0132653	0.0189596	0.0216839	0.0174903
espèce	0.0206213	0.0292386	0.0479729	0.0297578	0.0142276	0.0114669	0.0268802	0.031523	0.0918351	0.142743	0.0504683	0.0830189	0.0653576	0.0431876	0.0250385	0.032433	0.0463764	0.0183024	0.0126376	0.0070225	0.0128298	0.0118064	0.0156389	0.02503	0.0337853	0.0283517	0.0204205	0.0115782	0.00543307	0.00290761	0.00210945
d'	0.0899553	0.029119	0.0191558	0.0154577	0.0167106	0.022301	0.0533075	0.0480971	0.0416916	0.0357871	0.0239563	0.0231852	0.0202828	0.0390182	0.0682069	0.0710668	0.0491992	0.0462086	0.0415613	0.0597979	0.052853	0.0359516	0.0245408	0.0267388	0.0135805	0.00868237	0.00768161	0.00480084	0.00385985	0.00308184	0.00416284
igname	0.0722249	0.051766	0.11557	0.195081	0.100339	0.0795947	0.0367071	0.0262217	0.0337744	0.0507291	0.0470665	0.0296793	0.0188499	0.00934813	0.00674577	0.00699615	0.0167326	0.0159141	0.0144186	0.0133492	0.00951441	0.00362364	0.00569937	0.00326223	0.00251648	0.00287226	0.00273655	0.00280411	0.00429186	0.00485251	0.0167174
que	0.0620611	0.0580306	0.0574593	0.0529894	0.0164475	0.0179257	0.0123605	0.0119815	0.0124878	0.0101859	0.0103047	0.0225318	0.0545483	0.0550734	0.0830968	0.119601	0.0655532	0.0460658	0.0363079	0.0154946	0.0336202	0.0118099	0.016419	0.0144694	0.00747063	0.00672978	0.0095091	0.00701843	0.0120157	0.00827463	0.0521562
tu	0.0611519	0.0721077	0.104145	0.122783	0.0646895	0.0564683	0.039941	0.0411133	0.0313485	0.0158636	0.0140198	0.0128532	0.0102497	0.00989359	0.0132932	0.0183024	0.0193006	0.0174712	0.0284664	0.0191205	0.0267593	0.0138598	0.020593	0.0109825	0.00696092	0.00761819	0.0129551	0.0103372	0.0146824	0.0149969	0.0876728
as	0.0459827	0.0634105	0.0666316	0.0673206	0.0277915	0.01572	0.0202047	0.0195878	0.0178029	0.00981432	0.00835686	0.00685246	0.00692395	0.00617781	0.00509854	0.00519946	0.0097776	0.0141216	0.0165845	0.00985923	0.0148831	0.0213782	0.0259119	0.0157171	0.0183445	0.0290657	0.0302346	0.0434056	0.0596564	0.0800284	0.218156
acheté	0.0854353	0.0978138	0.0679626	0.0612204	0.0257145	0.0201806	0.0177129	0.0176761	0.0193474	0.0114152	0.0109663	0.0105374	0.0127454	0.0085423	0.00817922	0.00881785	0.00762242	0.00669681	0.010188	0.00880676	0.0128401	0.009976	0.0204642	0.0091698	0.0102187	0.0124435	0.0176169	0.0205493	0.0372998	0.0565266	0.275314
s'	0.0568857	0.0366116	0.0218679	0.033192	0.0193031	0.0230922	0.0301831	0.0487271	0.0450443	0.0241827	0.0146964	0.00984824	0.012263	0.0086215	0.00734214	0.00712606	0.00909471	0.011171	0.0283048	0.0307487	0.0379937	0.0346444	0.0398574	0.0217577	0.0242222	0.0226426	0.0295097	0.0313393	0.0522745	0.0634655	0.163987
appelle	0.103712	0.0562065	0.041669	0.0317232	0.0231598	0.0206306	0.020049	0.0137841	0.0167008	0.0115545	0.0119209	0.0097548	0.00804681	0.00372053	0.00317941	0.00376278	0.00640396	0.00720825	0.0176376	0.0181092	0.0307661	0.0206564	0.0413681	0.0209567	0.0272904	0.0313716	0.0322328	0.05585	0.0563719	0.0952955	0.158907
porooro	0.134451	0.0597805	0.046791	0.0324082	0.0197354	0.0143836	0.0108003	0.00674288	0.00789537	0.00518521	0.00692736	0.00884426	0.00902324	0.00536753	0.00293666	0.00303928	0.00804602	0.0105937	0.0125686	0.0100019	0.0238975	0.0265392	0.0604168	0.023167	0.0321134	0.0314238	0.0317641	0.0558857	0.0490452	0.0814853	0.16874
</S>	0.175219	0.0611404	0.036328	0.0335588	0.0193513	0.0115175	0.0203663	0.0155321	0.0219813	0.0132769	0.00830682	0.00572836	0.00495662	0.00397986	0.00277052	0.00311589	0.00569926	0.00952516	0.0151592	0.00853562	0.0161023	0.0176494	0.0224431	0.0106873	0.0122213	0.0173561	0.0155327	0.0483154	0.0372139	0.105848	0.220582
