 	m	v	á	n	d	é	b	á	a	l	o	m	b	v	w	έ	l	ε	á	d	i	í	o	k	a	a	n	a	k	a	á	</S>
le	0.00533118	0.00786875	0.00746033	0.00613015	0.00970421	0.0146577	0.0242082	0.0342341	0.0417095	0.0604462	0.10388	0.0919088	0.0821155	0.0964061	0.0580399	0.0222991	0.028511	0.00847196	0.0130389	0.014831	0.00618941	0.012328	0.0118697	0.0160572	0.0138637	0.0216337	0.0309903	0.0327693	0.0360538	0.0332413	0.0339557	0.0197957
chien	0.0243584	0.0517999	0.0636336	0.0885598	0.0687536	0.0690474	0.0534147	0.050738	0.112441	0.079615	0.0568882	0.0317918	0.0471418	0.036843	0.057547	0.0104541	0.0132925	0.00781174	0.0158084	0.0146892	0.00274916	0.0165634	0.00366554	0.00464366	0.00423935	0.00250242	0.00312266	0.00202829	0.00226987	0.00110354	0.000806902	0.00167648
et	0.0795465	0.0585746	0.0659574	0.0649629	0.0426567	0.0511002	0.0366255	0.0532802	0.0245316	0.0176162	0.00667171	0.00686084	0.00698285	0.0070721	0.0321953	0.0301774	0.0139994	0.0283419	0.0268805	0.0414474	0.0593146	0.0344645	0.0241286	0.0166209	0.0201226	0.0238831	0.0315604	0.0434677	0.0158319	0.01032	0.0116388	0.0131656
le	0.0207081	0.0260344	0.0404956	0.0485502	0.0605819	0.0333952	0.0168417	0.0159125	0.0173345	0.0243028	0.0420546	0.0307433	0.0310835	0.0357128	0.0341292	0.0452143	0.0351938	0.0358394	0.027748	0.0388595	0.0689237	0.0312362	0.046966	0.0116235	0.0228812	0.0258814	0.0165972	0.0196297	0.0160985	0.0221711	0.0199761	0.0372801
chat	0.031226	0.020407	0.0149729	0.0179873	0.0167873	0.020109	0.0184855	0.0150954	0.0189039	0.0113938	0.025765	0.034234	0.0235369	0.0373734	0.0298477	0.0405899	0.0415022	0.0645484	0.0511529	0.0643161	0.0614936	0.0774097	0.0720035	0.030157	0.0332396	0.024479	0.0152086	0.0130785	0.0146543	0.0106155	0.0175952	0.0318309
ne	0.122246	0.0829397	0.065906	0.0567455	0.0473479	0.0328865	0.0229958	0.025947	0.0153996	0.0141165	0.0149028	0.014349	0.010093	0.0187544	0.0103809	0.0400129	0.0503221	0.0392367	0.0224651	0.0424914	0.046835	0.0202851	0.0154505	0.00953507	0.0110245	0.0142547	0.00944759	0.010988	0.0186499	0.0277372	0.0216379	0.0446157
s'	0.0363656	0.0220135	0.0242717	0.0226496	0.0229837	0.0243309	0.0311194	0.0284427	0.0240444	0.0259124	0.0164241	0.00970712	0.00811327	0.0106284	0.0128491	0.0500097	0.040566	0.0459188	0.0687865	0.0510877	0.0720348	0.0639516	0.0532925	0.0289616	0.0335099	0.0277772	0.0249728	0.0259154	0.0187502	0.0176101	0.0178278	0.0391716
entendent	0.0874467	0.0437999	0.0328552	0.033046	0.0322161	0.0311262	0.0267448	0.0216593	0.0131613	0.0155308	0.0209132	0.0234791	0.0194629	0.0153537	0.0155166	0.0250316	0.0332682	0.0326362	0.0214679	0.0331724	0.0199511	0.0151362	0.0144001	0.00776073	0.0242851	0.0320063	0.0293311	0.0273257	0.0473208	0.0602783	0.0507996	0.0935168
pas	0.101028	0.0573811	0.0380998	0.0351917	0.0302812	0.0254997	0.0142679	0.00892313	0.00562995	0.00657999	0.00665579	0.00769987	0.0100618	0.0111467	0.0235843	0.0284261	0.0818831	0.0476277	0.052938	0.0599012	0.0459254	0.0377531	0.0412987	0.0147865	0.0213627	0.0222217	0.018302	0.0195363	0.0234707	0.0208999	0.0231815	0.0584542
=	0.0447606	0.0328823	0.0281782	0.0303329	0.0291295	0.0265018	0.014932	0.011274	0.0103291	0.00980905	0.0107411	0.0105477	0.0104003	0.0105136	0.0138233	0.0209116	0.0431284	0.0251483	0.034087	0.0214442	0.0229925	0.0319085	0.0241057	0.0167297	0.0249796	0.0308602	0.0289706	0.0452123	0.0719925	0.0816297	0.0703845	0.111359
-bondima	0.0402236	0.0263867	0.0236561	0.0307085	0.0246212	0.0173197	0.00997734	0.00877036	0.00941125	0.00880148	0.0137174	0.00979675	0.01388	0.0149282	0.0269722	0.0375583	0.0464098	0.0189783	0.0333405	0.0335384	0.0340538	0.0368735	0.0137462	0.0107624	0.016973	0.0198645	0.0227792	0.0345107	0.0645198	0.0998932	0.0767834	0.120244
</S>	0.106474	0.058432	0.0497269	0.0439862	0.040969	0.02876	0.0167402	0.0156742	0.0055877	0.00787685	0.00696145	0.00794767	0.00646158	0.00696578	0.00518854	0.0115991	0.0124255	0.0162614	0.00834308	0.015094	0.0266088	0.0169973	0.0195275	0.012994	0.0272564	0.0343497	0.0309349	0.0334385	0.0564053	0.105054	0.0659119	0.0990462
