 	o	k	y	é	m	b	á	á	s	i	l	i	m	w	á	s	í	e	k	i	n	d	i	</S>
okyemba	0.011313	0.0131033	0.0105634	0.00811569	0.0114634	0.0254918	0.0396501	0.0561143	0.0952388	0.0850117	0.073036	0.0458132	0.0465788	0.0471109	0.041167	0.0509224	0.0439799	0.0629418	0.0416705	0.0425912	0.0284917	0.0354833	0.0490912	0.0350566
a	0.136348	0.0764581	0.0887745	0.0611784	0.0450008	0.0453646	0.0480689	0.0545209	0.0699222	0.0666139	0.0612924	0.0471351	0.0514405	0.0264141	0.0114202	0.0140367	0.0135579	0.017179	0.017271	0.00616858	0.0113151	0.0101147	0.00742788	0.0129768
donné	0.0491006	0.0440875	0.0344794	0.0320632	0.0523712	0.0491822	0.0518714	0.0547278	0.0667598	0.0533829	0.0579655	0.0251027	0.0422353	0.0513662	0.0908768	0.0904771	0.0349281	0.0271063	0.0204966	0.0142496	0.0178401	0.0158249	0.0148629	0.008642
un	0.018647	0.0161392	0.0233317	0.0244905	0.044011	0.0319528	0.0279165	0.0278206	0.0271676	0.0352417	0.0390797	0.031164	0.0668512	0.0390326	0.117274	0.146679	0.0513646	0.0418622	0.0368647	0.0229475	0.0335028	0.0323977	0.0248193	0.0394423
coup	0.0423549	0.0495784	0.0509336	0.0468422	0.0395553	0.0279091	0.0217231	0.0148966	0.0153448	0.0159729	0.0239414	0.0214047	0.0334025	0.049178	0.0905776	0.054178	0.0538486	0.0389353	0.0468878	0.0406959	0.0521194	0.0424044	0.0439874	0.0833283
de	0.0689383	0.0580249	0.0524222	0.0528775	0.0492296	0.047338	0.0368787	0.0208769	0.0189708	0.0144209	0.0182105	0.0292139	0.0411581	0.0747124	0.0836539	0.04446	0.0344505	0.0208378	0.0275484	0.0213354	0.0346367	0.03702	0.0391039	0.0736806
pied	0.0711917	0.0683061	0.0613441	0.066431	0.0452995	0.0262657	0.0157071	0.01576	0.0191798	0.0161983	0.0172054	0.0179433	0.0198578	0.0279035	0.0253695	0.0358691	0.0426879	0.0309249	0.0393603	0.0399195	0.0511663	0.0641807	0.0634819	0.118447
à	0.0814782	0.0619928	0.0465664	0.0425582	0.026092	0.0204298	0.0183789	0.0211988	0.0264289	0.028459	0.0315937	0.0289328	0.0203279	0.0218967	0.0250087	0.0196247	0.0333249	0.0286852	0.0376018	0.0553671	0.0586794	0.0856901	0.0840218	0.0956622
sa	0.0739807	0.0442811	0.0340083	0.025944	0.00923924	0.00564851	0.00538716	0.00679164	0.00900561	0.0138544	0.0110457	0.0117814	0.00975018	0.0126777	0.0158882	0.0268912	0.0410715	0.0493959	0.063038	0.0845153	0.0937297	0.110539	0.114869	0.126667
femme	0.042321	0.0310399	0.0285575	0.0252477	0.0225363	0.0194152	0.0148109	0.0129463	0.0144895	0.0151188	0.0150703	0.0160563	0.0252514	0.0586321	0.0611783	0.0390802	0.0243537	0.053095	0.0377403	0.0604251	0.0678156	0.0962776	0.107147	0.111394
</S>	0.0606816	0.0373418	0.0332684	0.0225341	0.0140763	0.00984695	0.0087987	0.00939295	0.0131807	0.018477	0.016744	0.013548	0.0161126	0.0281104	0.025597	0.0165893	0.0160756	0.0538302	0.0478816	0.0700328	0.086173	0.114523	0.124618	0.142566
