 	n	g	á	i	d	i	p	ó	s	á	o	d	z	e	e	m	á	e	b	é	e	e	p	ω	ώ	l	a	n	ω	k	a	á	t	s	í	n	a	n	ω	o	d	í	l	a	l	e	b	h	ώ	m	b	ώ	s	ώ	</S>
je	0.148554	0.133758	0.0764322	0.0946325	0.113677	0.06078	0.0294297	0.0176321	0.0121702	0.00746034	0.00723867	0.00706281	0.00384246	0.00597213	0.00910636	0.012841	0.0123763	0.00912165	0.00824981	0.00749573	0.00667356	0.00595421	0.00625893	0.00658197	0.00588402	0.00668509	0.00395503	0.00448272	0.00516865	0.0051577	0.00459766	0.00611873	0.0057439	0.00560231	0.00617572	0.007845	0.00717774	0.00723808	0.00559192	0.00395504	0.00733575	0.00702131	0.00658181	0.00679538	0.00666579	0.00598195	0.00635046	0.0062986	0.00634865	0.00750511	0.00765952	0.0072276	0.00732695	0.00766766	0.00855215
ne	0.0408774	0.01674	0.0202029	0.0301322	0.038552	0.0445958	0.0548833	0.0474097	0.0459064	0.0451811	0.0446873	0.0392914	0.0334014	0.0302832	0.0298259	0.026472	0.0216636	0.0176796	0.0159423	0.0156377	0.0129708	0.0112585	0.00630516	0.00424138	0.0136912	0.00860019	0.00751948	0.00820451	0.0202967	0.0232084	0.0289509	0.0160797	0.0117809	0.0130796	0.0175756	0.0119038	0.0115671	0.00631599	0.0060391	0.00735977	0.00702025	0.00753637	0.0050576	0.0048476	0.00530329	0.00699101	0.00845809	0.00518739	0.00653195	0.00791762	0.0041451	0.00394765	0.00370157	0.00395316	0.0130874
veux	0.0148227	0.0286245	0.0308047	0.0431738	0.0331369	0.0220115	0.0167325	0.0211433	0.0229164	0.0276204	0.022562	0.025041	0.0314321	0.030152	0.0324003	0.0286025	0.0257312	0.0216484	0.0298531	0.0352413	0.0511062	0.0401034	0.029347	0.0289264	0.0153113	0.0131791	0.0120041	0.0107653	0.0110554	0.0140951	0.0104784	0.0105448	0.0137113	0.0121821	0.0127948	0.0161588	0.0138458	0.0161012	0.0141106	0.00953631	0.00806902	0.0154196	0.00910692	0.0084044	0.00953744	0.0076932	0.0047784	0.00476266	0.00302729	0.00491156	0.00373228	0.00462523	0.0046412	0.00504255	0.00724034
pas	0.0155343	0.0171575	0.0111101	0.00926502	0.00452539	0.0065033	0.0144825	0.0274094	0.0184145	0.0182236	0.015324	0.0213593	0.0235562	0.0203023	0.0327746	0.0297392	0.027098	0.0207458	0.024134	0.030695	0.0431438	0.0402792	0.0460749	0.0319169	0.0212239	0.0297596	0.024469	0.0210758	0.030034	0.0411582	0.0304708	0.0315875	0.0192046	0.0127824	0.0141326	0.00954958	0.010553	0.00758964	0.0134991	0.0187749	0.00713298	0.00795236	0.00707403	0.00633718	0.0123174	0.0072511	0.00759113	0.00612684	0.00571832	0.00952883	0.00611982	0.00758513	0.0070409	0.00879521	0.00779534
cohabiter	0.00388573	0.00162914	0.000879999	0.00122097	0.00240196	0.00230552	0.00631796	0.0247303	0.0167415	0.0178383	0.0209916	0.0236458	0.0280342	0.0188675	0.0334429	0.0234749	0.0243001	0.0272079	0.0173904	0.0212996	0.0269498	0.0333751	0.0346472	0.0278154	0.0253643	0.04361	0.0270508	0.02792	0.0397128	0.0242906	0.0220473	0.0329429	0.0219635	0.0183463	0.0197517	0.0158154	0.0143657	0.0129953	0.014328	0.0138725	0.0100381	0.0132612	0.00976753	0.00753408	0.00815262	0.00843045	0.00913523	0.00881393	0.00910324	0.0105749	0.0123937	0.0133894	0.0165403	0.0227484	0.0263461
avec	0.00444117	0.00249486	0.00230944	0.00307946	0.00359747	0.00433643	0.00412828	0.00551592	0.00763767	0.0127927	0.011643	0.0170335	0.017732	0.0104029	0.011989	0.0109215	0.0110635	0.0116046	0.0104743	0.010585	0.0163642	0.0188021	0.0182843	0.0171622	0.0158431	0.0153521	0.0188281	0.0134657	0.0139707	0.0199841	0.0196687	0.0216714	0.0213853	0.0241838	0.0297195	0.0280861	0.0251439	0.0244861	0.0288958	0.0223829	0.0219563	0.0242165	0.0273726	0.0295257	0.0258208	0.0302274	0.0223911	0.0246399	0.0236723	0.0216237	0.0210852	0.0278802	0.032434	0.0385255	0.0411662
toi	0.0122126	0.00829315	0.00608973	0.00967992	0.00889222	0.0111011	0.0111401	0.0138987	0.0116775	0.0122317	0.0130788	0.018898	0.0145693	0.00969639	0.0086725	0.00746646	0.00747934	0.0099785	0.00855423	0.00918525	0.0152338	0.0164449	0.0180564	0.0215218	0.0179849	0.0155894	0.0150467	0.0140778	0.0154511	0.0193137	0.0156307	0.0178114	0.0233763	0.0249589	0.032186	0.028923	0.0245888	0.025453	0.0273738	0.0184786	0.0193704	0.0234166	0.0205988	0.0212288	0.0259777	0.0225787	0.0232279	0.0220072	0.0223847	0.027623	0.023815	0.0258714	0.0283675	0.0322043	0.0410312
parce	0.0134984	0.00803097	0.00674453	0.00731491	0.00942274	0.0113357	0.00971337	0.0109311	0.0103664	0.0097338	0.0103233	0.012465	0.0139507	0.00872378	0.00972356	0.00862982	0.00806584	0.00798134	0.00860564	0.00807434	0.0146748	0.0148074	0.0171804	0.0213998	0.0196823	0.0175119	0.0219186	0.0199539	0.0177396	0.0224747	0.019845	0.0222428	0.027615	0.0306916	0.0347694	0.0269921	0.0249382	0.0224364	0.0213266	0.0133962	0.0137448	0.0167204	0.0165846	0.0175973	0.0191353	0.020749	0.0241642	0.0215062	0.0237891	0.030054	0.0222687	0.027219	0.0336489	0.037986	0.0496006
que	0.0385118	0.0180053	0.0088721	0.0126118	0.0122143	0.0105262	0.0115318	0.0151495	0.0150348	0.0111955	0.0114059	0.0110451	0.0109647	0.00808191	0.0133317	0.0113066	0.0129764	0.0128724	0.0105336	0.011615	0.0154474	0.0174051	0.0207119	0.0191419	0.0254682	0.0215183	0.0210112	0.0175234	0.0248217	0.0327139	0.0350884	0.0342744	0.0249631	0.027021	0.0326851	0.0215598	0.0214171	0.0170166	0.020128	0.019632	0.0172656	0.017688	0.0137496	0.011173	0.0105018	0.0102473	0.0109398	0.0106872	0.0107713	0.0114874	0.0146601	0.0170806	0.024957	0.0318179	0.0496384
tu	0.023837	0.0181201	0.0125708	0.0137037	0.0126296	0.0114752	0.0117493	0.0131996	0.0110937	0.00884922	0.00890617	0.0081447	0.00810408	0.00634664	0.0086033	0.00726183	0.00862058	0.00839323	0.00679758	0.00670701	0.00875464	0.0113885	0.0139642	0.0123478	0.0168478	0.016619	0.0156109	0.0133469	0.0189764	0.0215572	0.0266895	0.0268079	0.0216861	0.0221369	0.0260431	0.0168009	0.0173234	0.0165062	0.0220357	0.0247312	0.0235053	0.0258674	0.0230565	0.0196443	0.0193549	0.019827	0.0226867	0.0216359	0.0226464	0.0235199	0.0291958	0.032533	0.0386677	0.0438372	0.0487344
