 	m	v	ú	á	á	k	y	ε	l	i	s	i	i	k	y	ε	s	í	</S>
la	0.0165456	0.022573	0.0246764	0.0290493	0.0781345	0.0620843	0.0712066	0.0554634	0.0492494	0.0679317	0.0846653	0.0548613	0.0444196	0.0369067	0.0341825	0.0371395	0.0634512	0.064808	0.102652
pluie	0.00596512	0.0106269	0.0338961	0.0244789	0.142019	0.0952436	0.137931	0.134878	0.0987088	0.112429	0.127534	0.0276343	0.0165291	0.00970542	0.0112655	0.00474897	0.0034674	0.000917139	0.00202098
a	0.196159	0.108402	0.105962	0.0804885	0.0575429	0.0607945	0.0572102	0.0765811	0.0504702	0.0345424	0.0142747	0.0111916	0.0211574	0.0165794	0.0178846	0.015416	0.0178116	0.017879	0.0396534
fait	0.0633327	0.0913052	0.108603	0.131833	0.0620806	0.0492591	0.0434368	0.0228469	0.0368651	0.045242	0.0293187	0.024423	0.018202	0.0188429	0.0251324	0.0200869	0.0414463	0.0375801	0.130164
couler	0.0773459	0.0758905	0.0890774	0.0673251	0.0567546	0.0496481	0.039297	0.0243368	0.0265556	0.0220488	0.0162504	0.0175706	0.026565	0.0218889	0.030083	0.0292739	0.0426106	0.0671016	0.220376
beaucoup	0.0466247	0.0516561	0.0525557	0.0350959	0.0301807	0.0200082	0.0190862	0.0147658	0.0310539	0.0246102	0.0227947	0.0183945	0.0292109	0.0599432	0.0592478	0.0948494	0.100755	0.119856	0.169311
d'	0.0578423	0.0591656	0.0739125	0.0464229	0.0288612	0.0207913	0.0157138	0.0148888	0.0179687	0.0225731	0.0338046	0.0233637	0.0301164	0.0524411	0.0622633	0.056365	0.0780221	0.116185	0.189298
eau	0.100364	0.0718029	0.0682465	0.0372315	0.0160911	0.0106188	0.00861586	0.00965412	0.00920073	0.00828934	0.014643	0.00747991	0.0214813	0.0297298	0.0508605	0.0782144	0.0831394	0.123538	0.250798
dans	0.173276	0.0896481	0.0805155	0.0423233	0.0162101	0.00660674	0.00465423	0.00377821	0.00623599	0.00756649	0.00803067	0.00876507	0.0260877	0.0286686	0.038885	0.0520467	0.0601299	0.070769	0.275803
les	0.157061	0.119513	0.09738	0.0540614	0.0270309	0.0142121	0.00939365	0.00696927	0.00723032	0.00674854	0.01001	0.0114686	0.0182908	0.0329989	0.0431181	0.062695	0.0680799	0.0967209	0.157017
ruisseaux	0.115365	0.0788327	0.0622589	0.0408906	0.0130713	0.0092263	0.00562481	0.00472909	0.00388262	0.0033184	0.00842055	0.00948664	0.0347491	0.0453249	0.0619945	0.0891581	0.109202	0.139345	0.16512
</S>	0.13883	0.0926274	0.0660577	0.0443715	0.0264771	0.0239175	0.0190974	0.0122747	0.011611	0.0103452	0.0112965	0.016786	0.0212855	0.0243149	0.0298999	0.0482111	0.0664633	0.11409	0.222043
