 	o	n	g	ω	n	g	ω	m	á	m	b	v	ú	á	k	ó	ó	a	b	h	i	o	m	b	i	n	g	a	l	o	m	b	i	n	g	a	</S>
après	0.00942158	0.0178446	0.0177875	0.0255903	0.0262203	0.0300567	0.0212869	0.0259796	0.0303248	0.0514332	0.0542448	0.0548775	0.0452935	0.0531955	0.0440846	0.0395173	0.019261	0.0196889	0.0126359	0.0110285	0.00829927	0.00685417	0.00675774	0.00733462	0.0073757	0.00972004	0.0172322	0.0204624	0.0213489	0.0222552	0.0277383	0.0255023	0.0427824	0.039668	0.0544219	0.0402549	0.0322187
la	0.114472	0.0574229	0.0892487	0.0391751	0.0344424	0.0270985	0.0231992	0.0204976	0.0170243	0.0185196	0.0262227	0.0374453	0.060774	0.071329	0.0550187	0.0412121	0.0385786	0.0510635	0.0141333	0.0186834	0.0141953	0.016537	0.013843	0.0138949	0.00886742	0.00879327	0.00986361	0.0068951	0.00691347	0.00614812	0.00963704	0.00518548	0.00483703	0.00297131	0.00321101	0.00663322	0.00601233
pluie	0.0226687	0.0254412	0.0296569	0.0412071	0.0369192	0.0330263	0.052733	0.0496623	0.0245793	0.0207913	0.012974	0.0192392	0.0198965	0.0301677	0.0369457	0.0345107	0.053227	0.0373232	0.0286571	0.0572319	0.0216293	0.017401	0.0168435	0.0227475	0.0203179	0.0244871	0.0238593	0.0254724	0.0248718	0.0323733	0.0294189	0.0137481	0.0223555	0.00861172	0.0087127	0.0144046	0.00588709
le	0.0103114	0.0144026	0.0135929	0.0161657	0.0178166	0.0170948	0.0101195	0.00838054	0.00872227	0.00853134	0.011239	0.0121904	0.0150883	0.0153517	0.0269228	0.0399266	0.104392	0.0856643	0.141217	0.129722	0.0893403	0.0341187	0.0223919	0.0190562	0.0121004	0.0077969	0.0080021	0.00598164	0.0107839	0.0101908	0.0160982	0.0117086	0.0126639	0.00675847	0.00848827	0.00820341	0.00946425
chemin	0.00818534	0.0462192	0.0404583	0.0505892	0.0405654	0.0336974	0.0270633	0.0220175	0.00673444	0.00721423	0.00816764	0.0157899	0.022714	0.0667178	0.0570388	0.0465683	0.0763531	0.0526091	0.0529436	0.0962517	0.0449116	0.0458328	0.0397131	0.0337052	0.00509954	0.00843506	0.00360692	0.00541409	0.00282191	0.00490364	0.00334564	0.00163988	0.00218379	0.000867333	0.00144197	0.00448355	0.0136958
n'	0.0190244	0.0258491	0.0213422	0.0241679	0.0264261	0.0240316	0.0281703	0.0323665	0.0402077	0.0323798	0.0281858	0.0260803	0.0254529	0.0314504	0.0400585	0.0278621	0.043902	0.0506183	0.0669819	0.0822148	0.0872211	0.0430147	0.0352213	0.0180879	0.00835166	0.00553017	0.0026993	0.00223752	0.002819	0.00380813	0.00524164	0.00541212	0.00711183	0.00602659	0.00762557	0.0147542	0.0480646
était	0.065179	0.057137	0.0500813	0.0518882	0.0602436	0.0560529	0.0472064	0.0410439	0.0347138	0.0211384	0.0242651	0.0217231	0.0226969	0.0243737	0.0260884	0.0260659	0.0247289	0.0213807	0.034007	0.02793	0.0385654	0.0232528	0.0241486	0.0156996	0.0112468	0.0070786	0.00693167	0.00720464	0.00794355	0.0101647	0.0189176	0.0140875	0.0112263	0.0122757	0.00993698	0.0216468	0.0217284
qu'	0.0638687	0.041712	0.0287824	0.0256904	0.0225608	0.0195179	0.0165479	0.0145925	0.0165878	0.0185868	0.0240787	0.0294898	0.032703	0.0447359	0.0380122	0.0459412	0.0617203	0.041974	0.071871	0.0456349	0.0483885	0.0238183	0.0241686	0.0178947	0.0162815	0.014988	0.0138534	0.0132428	0.00933795	0.00861831	0.0105751	0.0129039	0.0114805	0.0151212	0.0170292	0.0151854	0.0225046
une	0.0275323	0.0158908	0.014187	0.0119312	0.0147498	0.0123481	0.0174441	0.017822	0.0217681	0.0152196	0.0184498	0.0170217	0.0202708	0.0227203	0.0319446	0.0392312	0.0565368	0.0511277	0.0498978	0.0674971	0.0696628	0.0614004	0.0633785	0.0491423	0.043887	0.0271902	0.0142486	0.0113759	0.00865402	0.00823613	0.00808748	0.00836064	0.00879341	0.00899383	0.00934761	0.0147885	0.0408619
mare	0.0833034	0.0374956	0.0307109	0.0243098	0.0203695	0.0176529	0.012147	0.00660207	0.00494492	0.00593324	0.0098844	0.00856788	0.012877	0.0142588	0.017334	0.0205555	0.0361827	0.0475408	0.0558831	0.0495582	0.0504869	0.0452998	0.0329894	0.0365019	0.0234984	0.0196989	0.020221	0.0232981	0.021454	0.0238146	0.0239845	0.0242778	0.017276	0.0225546	0.0265835	0.0270646	0.044884
de	0.0376793	0.0263612	0.0171325	0.0150143	0.0132877	0.0126858	0.0135669	0.0134051	0.0115898	0.00868838	0.00862942	0.00764466	0.0081845	0.0098564	0.0133807	0.0113196	0.0292302	0.0478773	0.0509465	0.0532786	0.0707213	0.0534413	0.0457989	0.0520032	0.03983	0.0274737	0.0200712	0.0188645	0.0135285	0.0166835	0.0145064	0.0197479	0.0175246	0.0320107	0.0341706	0.0427344	0.0711306
boue	0.0418643	0.0211139	0.017173	0.0166988	0.0213384	0.0209516	0.0200022	0.0156803	0.00911322	0.00910484	0.0115618	0.00815963	0.00747355	0.00718779	0.00842798	0.00862778	0.0131164	0.0234277	0.0230219	0.0274077	0.031434	0.0286256	0.025052	0.036784	0.0425583	0.0381144	0.0354631	0.0400678	0.0379918	0.0408767	0.0419255	0.0473169	0.0459674	0.0433871	0.0420436	0.0424478	0.0484911
</S>	0.0222362	0.0187007	0.0183309	0.0177105	0.0171731	0.0170247	0.0167204	0.0141159	0.00987586	0.00751834	0.00760567	0.00708531	0.00776304	0.00726584	0.0088508	0.00780571	0.00946064	0.0107915	0.0146085	0.017702	0.0264789	0.0207591	0.0232007	0.0325033	0.0319119	0.0329631	0.0293246	0.0454003	0.0387326	0.0527456	0.0472981	0.0591685	0.0605038	0.059954	0.0598597	0.0597651	0.061085
