 	m	ó	y	e	e	r	á	t	s	e	r	i	y	é	é	d	i	m	ó	n	ω	ω	m	á	n	d	é	e	y	í	i	</S>
ramasse	0.00834317	0.0122337	0.0145916	0.0168147	0.0146609	0.0193444	0.0240739	0.027888	0.0373187	0.0729918	0.0690615	0.0838656	0.155813	0.11693	0.0705067	0.037931	0.0210734	0.0151785	0.0195779	0.0150248	0.0105127	0.0120444	0.00973649	0.00898417	0.00937439	0.0110357	0.0104958	0.00990139	0.0111291	0.0122074	0.0187923	0.022563
les	0.148222	0.0588472	0.0393146	0.021185	0.018901	0.0150952	0.019965	0.023642	0.0390744	0.0548551	0.059682	0.0877173	0.0666357	0.0501228	0.0264045	0.0369236	0.00799694	0.0291399	0.0282282	0.0659192	0.0398631	0.0208061	0.018293	0.00828473	0.00297901	0.00244141	0.00184386	0.00127963	0.00117901	0.00160965	0.00192355	0.00162492
ordures	0.0692136	0.0323639	0.0264006	0.0207842	0.018775	0.0172323	0.0130362	0.00710676	0.00809007	0.0103883	0.0162118	0.0279337	0.0195811	0.0370585	0.0347076	0.0410572	0.0751767	0.0875169	0.0419272	0.0442476	0.0291418	0.0390967	0.0376194	0.0391076	0.0343957	0.038182	0.024644	0.022724	0.0192611	0.0253547	0.030211	0.0114526
qui	0.0717859	0.0611199	0.0435909	0.03125	0.0210587	0.0184906	0.0111032	0.0135655	0.0207151	0.0198192	0.019237	0.0214359	0.0192064	0.0424174	0.0475158	0.0506296	0.0469119	0.0526574	0.0477383	0.035255	0.0379449	0.0319964	0.0215681	0.0210112	0.0222286	0.0204046	0.0137092	0.0135697	0.0179109	0.0267456	0.0251841	0.0522227
sont	0.0337793	0.0291431	0.0302463	0.0239528	0.0208068	0.0197796	0.0177773	0.0119009	0.00719124	0.00770372	0.00553168	0.0103862	0.0096492	0.0178269	0.0224246	0.0228321	0.0336101	0.036931	0.0422732	0.0328794	0.0479745	0.0479308	0.0480155	0.0484509	0.0477501	0.0471819	0.052385	0.0404289	0.0418685	0.0411822	0.040987	0.0592191
à	0.0277104	0.037274	0.0389622	0.0373919	0.0339959	0.0347596	0.0523876	0.025435	0.0138671	0.0126716	0.0106035	0.0192958	0.0260928	0.0320915	0.0384948	0.0413873	0.0471338	0.0467233	0.0370495	0.0250094	0.0356762	0.0291794	0.02825	0.0346833	0.0281863	0.0269658	0.027829	0.0208141	0.0263683	0.0274499	0.0306169	0.0456438
l'	0.0415012	0.0348285	0.0285768	0.0249161	0.0259115	0.02825	0.0389626	0.031082	0.0222318	0.0191387	0.0131162	0.0177676	0.0158045	0.0296833	0.0291795	0.0273099	0.0357831	0.0327806	0.0301205	0.0214123	0.0309754	0.0286441	0.0311792	0.0334058	0.0281123	0.0312194	0.0309884	0.0270856	0.0364205	0.0456228	0.0526861	0.0753038
entrée	0.0407823	0.0301289	0.0249453	0.0191296	0.0141511	0.0118864	0.0106423	0.00976828	0.00821459	0.0113332	0.0169043	0.0221281	0.0203917	0.0197755	0.0187175	0.031757	0.0339771	0.0323026	0.0263268	0.0303911	0.0320914	0.0343604	0.0346452	0.0513256	0.0487209	0.0624934	0.0531482	0.0429387	0.0467573	0.046922	0.0454529	0.0674904
de	0.0436774	0.0234992	0.0194	0.0132586	0.011254	0.0111986	0.0144035	0.0162338	0.0108879	0.0103675	0.0100635	0.0120198	0.00986169	0.0146907	0.0134111	0.0142166	0.0276645	0.0299743	0.0348858	0.0528239	0.0546392	0.0538627	0.053567	0.0492431	0.0405294	0.0399726	0.0277179	0.0331603	0.0351134	0.0521928	0.0489723	0.117237
la	0.0555563	0.0325006	0.021587	0.0146831	0.0136119	0.0128021	0.00970592	0.0103559	0.0096352	0.00966841	0.00827967	0.00606142	0.00440259	0.0046887	0.00401224	0.00475971	0.0100919	0.0102473	0.0191397	0.0268867	0.0244499	0.0351976	0.0371598	0.0360789	0.0469937	0.0447983	0.04719	0.0595394	0.0659343	0.0926124	0.102848	0.118522
maison	0.0324246	0.0187204	0.0142744	0.0102968	0.00687144	0.00424025	0.00370767	0.00420981	0.00412817	0.00427572	0.00433344	0.00381845	0.00340446	0.00445323	0.0048074	0.00728233	0.0124154	0.0133772	0.0152045	0.0497524	0.0378104	0.0535772	0.0591225	0.0492705	0.0634288	0.0599975	0.0577103	0.0563921	0.0514963	0.0846097	0.0765395	0.128047
</S>	0.074947	0.035715	0.0236633	0.0123791	0.00981382	0.00639801	0.00225164	0.00258634	0.00298598	0.00442216	0.00549793	0.00494595	0.00262605	0.0034356	0.00393906	0.00737975	0.0064359	0.0139587	0.022799	0.0364013	0.0329034	0.0409493	0.0353624	0.0297831	0.0431201	0.0540271	0.0615807	0.0663376	0.0594957	0.0809947	0.0730491	0.139815
