 	o	k	i	i	s	i	n	g	á	m	é	b	é	e	y	í	i	é	d	í	w	a	</S>
c'	0.00962366	0.0130388	0.0120573	0.0249575	0.0353861	0.0562595	0.0439611	0.0399423	0.0435885	0.0605849	0.0549341	0.0293944	0.0383059	0.0270473	0.0453944	0.0399331	0.0469537	0.0661021	0.103227	0.0677367	0.0380432	0.0531728	0.0503557
est	0.0892549	0.114693	0.100356	0.0681311	0.0854643	0.0490567	0.0321508	0.0710732	0.0563458	0.0510349	0.04454	0.0652145	0.024846	0.031781	0.0350236	0.0222069	0.0118676	0.0111608	0.00786481	0.00822389	0.00719017	0.0084076	0.00411215
lui	0.0846467	0.0932045	0.0837586	0.0837711	0.0556681	0.0306532	0.0276169	0.0249262	0.0184152	0.0204186	0.0117782	0.0264148	0.0302573	0.0435824	0.0454769	0.0204409	0.0417033	0.0263036	0.00983048	0.0223148	0.00866787	0.0150094	0.175141
qui	0.0563181	0.0644713	0.0800087	0.0852178	0.0703712	0.0300127	0.0222136	0.0139309	0.00900036	0.0182505	0.0156239	0.0264535	0.0105292	0.0480375	0.0611468	0.0466262	0.0317529	0.0305278	0.0351988	0.0278143	0.0347301	0.0341131	0.147651
me	0.0975136	0.0792594	0.0444187	0.0308775	0.0416485	0.0335524	0.0156424	0.0115572	0.0174539	0.0154562	0.010183	0.0203527	0.0107234	0.0224357	0.0376238	0.0257497	0.0325329	0.0402108	0.0442183	0.0727392	0.061715	0.120372	0.113763
remplace	0.0681796	0.0799037	0.0644399	0.0642398	0.0549349	0.0462152	0.037068	0.0640459	0.102371	0.0558164	0.0602315	0.0380992	0.0329953	0.0281155	0.0286898	0.0256323	0.0235419	0.0175122	0.017874	0.0188764	0.0217044	0.0195642	0.029949
à	0.133811	0.115123	0.0890755	0.0608014	0.0323567	0.023887	0.0216429	0.0264767	0.0304477	0.0333077	0.0298873	0.042494	0.0284606	0.0511398	0.0384216	0.0401647	0.0237885	0.02277	0.0269415	0.0270814	0.0289635	0.0379084	0.0350493
ce	0.147361	0.127498	0.0853622	0.0525487	0.0263831	0.0154125	0.0144129	0.0258874	0.0400655	0.0286896	0.0358239	0.0548497	0.0361019	0.0283154	0.0215935	0.0159214	0.0205105	0.0230872	0.0309839	0.0302392	0.0291677	0.0317221	0.0780626
poste	0.159246	0.147175	0.114358	0.0600261	0.0253695	0.0222285	0.0146131	0.0176593	0.0225746	0.019699	0.0166169	0.0217259	0.0254185	0.0125498	0.0173518	0.00647618	0.0111572	0.016075	0.0305038	0.0241211	0.0172437	0.0406937	0.157117
</S>	0.217454	0.0883784	0.0413615	0.0267372	0.0207808	0.0144304	0.010259	0.00744019	0.00883731	0.0078139	0.00636099	0.00930136	0.010269	0.0120523	0.0129607	0.0117642	0.0138801	0.0230205	0.0468372	0.0476101	0.0610042	0.0501545	0.251292
