 	m	w	á	n	a	á	m	i	p	f	u	á	m	á	a	m	á	á	d	z	e	s	á	n	d	z	ú	n	g	u	</S>
l'	0.00620371	0.0118341	0.00876888	0.00478025	0.00425437	0.00506406	0.0054849	0.00735813	0.0214774	0.0436956	0.0462717	0.0809377	0.0654003	0.0637843	0.0652616	0.0521577	0.0456355	0.0441471	0.0276478	0.0267944	0.0250704	0.0261089	0.0261659	0.0319195	0.0360292	0.0298776	0.0361329	0.0377748	0.0440653	0.040623	0.029273
enfant	0.0212311	0.126218	0.0646738	0.178284	0.268534	0.0544987	0.068382	0.0333952	0.0325661	0.0295048	0.0191313	0.0285864	0.00909177	0.00590009	0.00290928	0.00163328	0.00118997	0.00182789	0.00164764	0.0029829	0.00377894	0.00405207	0.0060243	0.0054808	0.0114927	0.00685716	0.00370648	0.00236746	0.00196199	0.00135358	0.000736556
a	0.0336004	0.113804	0.0350918	0.0165015	0.040361	0.0433944	0.0516768	0.0538598	0.0482486	0.030248	0.0209155	0.0371652	0.0205781	0.0196721	0.0419655	0.0604625	0.0453223	0.0673921	0.0356292	0.0397767	0.0176918	0.013004	0.00830411	0.0169801	0.0252924	0.00999048	0.0134146	0.0103789	0.00873965	0.0118364	0.00870249
renversé	0.0256335	0.0158376	0.00805279	0.00604538	0.00879979	0.0075196	0.0132991	0.0220344	0.023799	0.0222175	0.0252657	0.0246515	0.0377338	0.0535746	0.0557738	0.0557155	0.110144	0.0696777	0.115104	0.0804006	0.0729586	0.0381619	0.0196073	0.00987038	0.00655603	0.00503181	0.00744223	0.0110438	0.0114388	0.0164531	0.0201562
l'	0.0358247	0.0348557	0.0263702	0.0210263	0.0236831	0.0304414	0.0218814	0.029391	0.0270918	0.0253151	0.0310033	0.0260434	0.0242531	0.0207689	0.0168998	0.0259122	0.0268706	0.03272	0.0219051	0.019921	0.0221127	0.0249497	0.0278782	0.0317639	0.0391759	0.0430088	0.0482613	0.0296274	0.0484117	0.0572097	0.105422
eau	0.0868747	0.0943204	0.102947	0.0609363	0.0363293	0.0236688	0.0244065	0.0217549	0.0196086	0.0286233	0.0249131	0.0477863	0.0304738	0.0219346	0.00795885	0.00398167	0.00369055	0.00629925	0.00745076	0.0140088	0.0121377	0.0169015	0.0232924	0.0214282	0.0291251	0.0370037	0.0433916	0.0252336	0.0372794	0.0285186	0.0577212
qui	0.074711	0.0338888	0.0406807	0.0283262	0.0172964	0.0149502	0.0148591	0.0159285	0.017685	0.0209158	0.0186106	0.0133272	0.0316564	0.0242496	0.0155401	0.016418	0.0116326	0.0205831	0.0146115	0.0216906	0.0284302	0.0466411	0.0593142	0.0616482	0.0336313	0.0570215	0.0473799	0.0426376	0.0358947	0.0426186	0.0772214
était	0.091279	0.0603098	0.0511311	0.0351841	0.0310998	0.0231619	0.0287685	0.0225424	0.0198896	0.0163612	0.0156595	0.0134089	0.0180322	0.0205173	0.0203524	0.0133443	0.0138139	0.0154759	0.0122862	0.0130459	0.0224182	0.0291143	0.0380309	0.0310951	0.0216185	0.0345706	0.0388445	0.0483365	0.0547196	0.0609691	0.084619
dans	0.146214	0.07934	0.045238	0.0243355	0.0187869	0.0121788	0.0118034	0.0110038	0.013228	0.0145836	0.0121156	0.0132034	0.0247739	0.0247895	0.0307873	0.0130346	0.00838223	0.00900116	0.00495889	0.00992851	0.018286	0.0210878	0.0375002	0.0302066	0.0228006	0.0454058	0.0544456	0.0462277	0.0299097	0.0625315	0.103911
la	0.131901	0.0580728	0.0438595	0.0303242	0.0223409	0.0193028	0.0188595	0.0191373	0.0176042	0.0137325	0.015881	0.0156614	0.0128092	0.019666	0.0286207	0.0294202	0.0315949	0.0394754	0.0305219	0.0281734	0.0190075	0.0245898	0.0211944	0.016801	0.0160134	0.0171332	0.0242835	0.0372117	0.036287	0.0508113	0.109708
marmite	0.0511001	0.0334886	0.0204041	0.0165248	0.0136504	0.012009	0.0121972	0.0159426	0.0202994	0.0207527	0.0196846	0.0175595	0.0142188	0.0147083	0.0193185	0.0120948	0.0145528	0.0149057	0.0138238	0.014356	0.0273696	0.0268452	0.0370768	0.0345698	0.0209673	0.048643	0.0681219	0.0665226	0.0326051	0.0997182	0.165969
</S>	0.07665	0.0910832	0.0564428	0.0476537	0.0461425	0.0416934	0.032813	0.0431816	0.0296295	0.0181758	0.0222076	0.0178936	0.0128447	0.0155061	0.026914	0.0168094	0.0172763	0.0240644	0.0127747	0.0137965	0.0107909	0.0125112	0.0158479	0.019699	0.0236105	0.025406	0.02553	0.0353857	0.029124	0.0457456	0.0927964
