 	k	á	a	l	é	e	b	ώ	n	d	ώ	ώ	o	k	o	n	d	z	i	n	z	a	m	b	é	m	í	k	y	έ	έ	l	ε	l	á	b	í	s	í	a	b	í	n	í	</S>
il	0.0379986	0.0912308	0.0625061	0.102499	0.0417736	0.020182	0.0444277	0.0400073	0.0340165	0.0292401	0.0305134	0.0346552	0.0364377	0.036552	0.0388188	0.0261371	0.0211206	0.0151206	0.00925153	0.00756238	0.00696248	0.00469146	0.00455479	0.00682503	0.00691615	0.00687511	0.00496219	0.00925834	0.00861415	0.00952848	0.0100402	0.00983983	0.0110398	0.0115362	0.00937683	0.00988608	0.0099335	0.0107821	0.00948756	0.0100047	0.0156595	0.0104531	0.0118063	0.0187197	0.0121959
faut	0.0501957	0.0518665	0.0463969	0.0585785	0.0904702	0.0906307	0.0660494	0.0636817	0.0493801	0.0218718	0.0267571	0.0255777	0.0336037	0.025559	0.0262888	0.0246261	0.0135998	0.0208116	0.00594085	0.0183461	0.0268013	0.0162864	0.00985535	0.00486998	0.0117322	0.00651845	0.00521594	0.00956364	0.010945	0.00471952	0.00552043	0.00454066	0.00583837	0.00699718	0.00485284	0.00375306	0.00331021	0.00341796	0.00589804	0.00481255	0.0105199	0.00485495	0.00514484	0.00571422	0.00808501
supplier	0.0199753	0.00945949	0.0103585	0.00728265	0.0137674	0.0207108	0.0182309	0.0280968	0.0446621	0.0621966	0.0534734	0.047996	0.0481348	0.0503282	0.0504051	0.0492048	0.0534063	0.0364146	0.0433227	0.0331765	0.0408563	0.0320568	0.0251503	0.0237183	0.0234817	0.0229742	0.0143392	0.0100867	0.00830488	0.00928931	0.00837005	0.00685604	0.00688236	0.00731281	0.00576481	0.00421407	0.00602713	0.00497097	0.00535121	0.00536074	0.00535726	0.00511443	0.00416338	0.00681092	0.00658309
le	0.0130183	0.0193189	0.014811	0.0197759	0.0163087	0.0215152	0.018196	0.0164844	0.0142367	0.0151728	0.0156106	0.0199699	0.0186025	0.0157205	0.0155741	0.0141495	0.0171992	0.018442	0.0261874	0.0290772	0.0294099	0.0256513	0.0289436	0.0340092	0.0266367	0.0262547	0.0344181	0.0254648	0.0310813	0.0336945	0.0357635	0.0361894	0.0364006	0.0335666	0.0260326	0.021446	0.0148255	0.0159686	0.0124137	0.0124714	0.0154244	0.0130768	0.0253566	0.0155102	0.0306192
seigneur	0.0140892	0.0065153	0.0055774	0.00414222	0.00532048	0.00738406	0.00692719	0.00765835	0.0126157	0.0140153	0.0270809	0.0194519	0.0321766	0.0272383	0.0301708	0.0291023	0.0358262	0.0230794	0.0292873	0.0326225	0.0459989	0.0371166	0.0327603	0.0495031	0.0323534	0.0361667	0.0450586	0.0280394	0.0302481	0.0327537	0.0267305	0.0193241	0.0345651	0.0214123	0.0159392	0.016456	0.010093	0.0113762	0.00910052	0.00915661	0.00635624	0.0157555	0.0156023	0.0139372	0.0339154
dieu	0.0107869	0.0050955	0.00429303	0.00309869	0.00344201	0.00704658	0.00476131	0.00765191	0.0119474	0.00871149	0.0181727	0.0108154	0.0143666	0.0123421	0.0116287	0.013501	0.0302295	0.0181198	0.0338169	0.0358363	0.0405087	0.0269227	0.0339615	0.0434014	0.0340886	0.0406006	0.0566272	0.0320819	0.0413031	0.040269	0.0313499	0.0428641	0.0319813	0.0224308	0.0230877	0.0246214	0.0138283	0.0159984	0.0151028	0.0150097	0.0115915	0.0207556	0.0194908	0.0229235	0.0335357
de	0.0166463	0.0134665	0.0118808	0.0125546	0.0104007	0.0132108	0.0141643	0.0112413	0.0127458	0.0124963	0.0155201	0.00806526	0.0165433	0.018268	0.0192894	0.0251978	0.0539702	0.0309968	0.0540242	0.0398016	0.0459406	0.0261335	0.022821	0.025568	0.0307179	0.0249429	0.0298766	0.0206364	0.0221737	0.0208538	0.0192516	0.0218027	0.0192409	0.0142535	0.0140377	0.0159449	0.00838591	0.010998	0.0122685	0.0108934	0.0152934	0.0181467	0.0298233	0.0332342	0.0762767
nous	0.0153	0.0107948	0.0089925	0.00944391	0.0114709	0.0130214	0.013336	0.0120586	0.0115149	0.0061152	0.00952228	0.00621326	0.00862825	0.00916723	0.00897133	0.0103914	0.0195076	0.0151333	0.0313104	0.030325	0.0265425	0.0188706	0.0230233	0.0309765	0.0261997	0.0250719	0.0371804	0.0240875	0.0355745	0.0347769	0.0321558	0.0370864	0.0273618	0.0209244	0.0199113	0.0263353	0.0122509	0.0206852	0.0270902	0.0256255	0.0305219	0.0373907	0.0375512	0.0449748	0.0566124
protéger	0.0324372	0.0143755	0.0117727	0.0119218	0.0149256	0.0205231	0.0191793	0.0176401	0.0143937	0.00643115	0.0117445	0.00810056	0.0136507	0.0156206	0.0151294	0.0172263	0.0231645	0.0188613	0.0264567	0.0251496	0.0241439	0.0225771	0.0214268	0.0229071	0.0211053	0.0199813	0.023503	0.0165519	0.018069	0.0163937	0.0186197	0.0171702	0.015771	0.0183521	0.0183535	0.0252512	0.0124865	0.0308694	0.0323945	0.0295273	0.0390903	0.0397393	0.0441758	0.050068	0.0627682
</S>	0.0330363	0.0167747	0.0153862	0.0145323	0.0139744	0.0168988	0.0148823	0.0131858	0.00889779	0.00686359	0.0111899	0.00855957	0.0148034	0.0163688	0.0159938	0.0183446	0.0242656	0.0201601	0.0356546	0.032062	0.0274751	0.0239055	0.021304	0.0209637	0.0224992	0.0237874	0.0285209	0.0223533	0.020374	0.0172747	0.0150129	0.0183582	0.0140493	0.0131254	0.0147387	0.020627	0.00726202	0.0285226	0.0255157	0.0216988	0.0384909	0.0369841	0.0489138	0.0525269	0.0638815
