 	a	s	ú	a	m	ó	n	y	a	m	í	m	á	a	n	a	n	á	p	á	b	h	a	</S>
le	0.0610179	0.024355	0.0115021	0.0122795	0.0137718	0.0284105	0.0383406	0.035821	0.0347423	0.0439281	0.0549538	0.0442174	0.0656124	0.0427495	0.0426781	0.0466538	0.0532138	0.0640161	0.0665783	0.0545117	0.0553094	0.0510303	0.0299409	0.0243658
bateau	0.0416184	0.0295135	0.104077	0.292888	0.113689	0.115136	0.0249076	0.0157181	0.00389875	0.0041687	0.00748349	0.00433666	0.0079594	0.00735923	0.0157466	0.00504686	0.0419968	0.0381892	0.067122	0.0208764	0.0214059	0.00797953	0.00419409	0.00468988
d'	0.0389414	0.0386592	0.0436272	0.0313708	0.0285676	0.0342118	0.0534501	0.014637	0.00829753	0.0100294	0.0218577	0.0316849	0.0353967	0.0223452	0.0634283	0.0381809	0.113449	0.132092	0.106577	0.0673263	0.0312751	0.0181093	0.0101466	0.00633874
on	0.0199079	0.0518294	0.0923718	0.0921389	0.0683289	0.0746677	0.133241	0.0929894	0.0390116	0.0254275	0.0312988	0.0148198	0.0133898	0.0155949	0.0169405	0.00910857	0.0107419	0.0260054	0.0201486	0.0151684	0.0336563	0.0231808	0.0240957	0.0559367
yami	0.0412464	0.0474122	0.0547001	0.0394558	0.0413706	0.0504934	0.0466951	0.0525084	0.0472555	0.0380478	0.0366325	0.0295679	0.0417096	0.0426366	0.0515337	0.0209035	0.0271364	0.0274511	0.025518	0.014965	0.0352283	0.0361764	0.0372024	0.114153
remonte	0.0836625	0.0554615	0.0471412	0.0412838	0.036049	0.0372832	0.0344156	0.0435826	0.0422969	0.0370264	0.0441407	0.0420899	0.0405034	0.0266567	0.0273297	0.0184863	0.0162929	0.0156366	0.0243207	0.0235196	0.0361013	0.0394559	0.0460063	0.141257
le	0.0493229	0.0319487	0.0283949	0.0289671	0.0340296	0.0331817	0.0287836	0.0250425	0.0178907	0.0220444	0.0267604	0.0273979	0.0326631	0.029289	0.0417844	0.0434615	0.0467265	0.0433274	0.0678283	0.0640922	0.062839	0.0609539	0.0620376	0.091233
fleuve	0.0336497	0.0301941	0.0272706	0.0356209	0.0522802	0.0329302	0.0127778	0.0117354	0.0107217	0.0139986	0.0122248	0.0111859	0.0114849	0.00802356	0.0133057	0.00456778	0.0118671	0.0164943	0.0311971	0.0177035	0.068311	0.101243	0.163671	0.267541
aujourd'	0.0719011	0.0647489	0.0558811	0.0589445	0.0546869	0.0348512	0.013332	0.0097097	0.00787176	0.00788868	0.00764926	0.0096432	0.0099348	0.00604372	0.0085827	0.00168943	0.00463654	0.0136041	0.0264068	0.0211675	0.0455708	0.0641295	0.084814	0.316312
hui	0.107968	0.0949104	0.0902689	0.0629491	0.0462574	0.0202648	0.00941529	0.0117579	0.01075	0.00835775	0.00459858	0.00416338	0.00423903	0.00459631	0.00793296	0.00196806	0.00586026	0.0113238	0.024279	0.0236753	0.0459333	0.0628202	0.0832966	0.252413
</S>	0.0855747	0.0789726	0.0635694	0.0454912	0.0305512	0.0166574	0.0084555	0.0112097	0.008692	0.00692845	0.00447424	0.00383813	0.00399054	0.00379424	0.00629083	0.0045015	0.00803076	0.0149791	0.0316585	0.0277188	0.0647024	0.0964185	0.118439	0.255061
