 	n	y	a	s	ώ	n	i	l	á	a	t	á	á	k	y	ώ	r	ω	m	í	l	á	m	b	a	t	s	í	n	a	w	á	o	l	ó	m	i	a	d	í	l	i	m	ω	n	í	s	í	d	z	á	a	</S>
nyasoni	0.00929494	0.0102951	0.0158832	0.0129656	0.0132902	0.0156337	0.0306995	0.0541128	0.0721843	0.0466795	0.0599479	0.0517659	0.0415815	0.0411921	0.0408854	0.0455816	0.0476294	0.0457804	0.045664	0.0219079	0.0135489	0.0070592	0.00576661	0.00545511	0.00457297	0.00681298	0.00648456	0.00614864	0.00582311	0.00628371	0.00503906	0.00433884	0.00527978	0.00704637	0.00517472	0.00444843	0.00507069	0.00457623	0.0040109	0.00411295	0.00411543	0.00707156	0.00521621	0.00817947	0.0121175	0.0104796	0.0177244	0.0162286	0.0154027	0.017289	0.0155477	0.017147	0.0134523
a	0.0471066	0.0398671	0.0245004	0.0252147	0.0172528	0.0418474	0.0412301	0.0455323	0.0316425	0.0347501	0.0395126	0.0367608	0.0363075	0.0273217	0.0265205	0.0282629	0.0319934	0.0345075	0.0308336	0.0218255	0.0270195	0.0383646	0.0347473	0.0387096	0.0258421	0.0265585	0.0124214	0.0160089	0.00733207	0.0091022	0.0116858	0.00992008	0.00626419	0.00425956	0.00656015	0.00529927	0.00648259	0.00302895	0.00248139	0.00305687	0.00596567	0.00346978	0.00256598	0.00241447	0.00216168	0.00251781	0.00226698	0.0031773	0.00250262	0.00260616	0.00368961	0.00371751	0.00500942
du	0.0740009	0.0723659	0.0698772	0.0417571	0.0554904	0.0546425	0.0533258	0.0508049	0.0353991	0.0208596	0.0212235	0.0142874	0.0157496	0.0135089	0.0132752	0.0167633	0.0210363	0.0250793	0.0281143	0.0221688	0.0171274	0.0130925	0.00897981	0.00622741	0.00663307	0.00434103	0.00576997	0.00407753	0.00651371	0.00712697	0.015651	0.00917174	0.00710197	0.0061705	0.00673538	0.013171	0.0161066	0.0105061	0.0101076	0.0147607	0.0143061	0.0110982	0.00732881	0.00834299	0.00738839	0.0068536	0.00501637	0.00581191	0.00476344	0.00738739	0.00436755	0.00494851	0.00328477
mal	0.0704587	0.0490233	0.048289	0.0550387	0.0445453	0.0306435	0.0155118	0.0129414	0.0123661	0.0120699	0.0115817	0.00949673	0.0109544	0.0102485	0.0102908	0.0114662	0.0121246	0.0155538	0.0167105	0.0259637	0.0373443	0.0566515	0.0541852	0.0387058	0.0217324	0.0206955	0.0103328	0.0176157	0.0118549	0.0238848	0.0157076	0.00638153	0.00629831	0.00461575	0.00569938	0.00815306	0.00858633	0.00675622	0.00743223	0.0114366	0.00983938	0.0120951	0.0106502	0.0170733	0.00849719	0.0103234	0.0068684	0.00817442	0.00852607	0.0112569	0.00696048	0.0129147	0.0174721
à	0.034577	0.0341349	0.0250745	0.0168146	0.015855	0.0138118	0.00974878	0.00747707	0.0076103	0.010483	0.00964479	0.0107719	0.0147216	0.0146181	0.0167656	0.0113405	0.0167913	0.0109467	0.00990997	0.0185714	0.0158036	0.0414337	0.0586066	0.0413385	0.0422063	0.0257642	0.0245016	0.0290813	0.0157327	0.0196733	0.0165397	0.0318724	0.0294489	0.0170855	0.0359961	0.0451693	0.0122184	0.0110716	0.00927911	0.00934895	0.00882411	0.00980987	0.00665658	0.0146204	0.0115294	0.0204331	0.0193725	0.00723097	0.0121854	0.00865985	0.00800231	0.0119681	0.0188667
préparer	0.0230856	0.0129519	0.0138589	0.0159495	0.0177734	0.0171953	0.0151152	0.0110424	0.0121335	0.0235964	0.0223663	0.028669	0.0259062	0.0268285	0.0307489	0.0216935	0.0242975	0.0138618	0.0145222	0.0294421	0.011561	0.0149635	0.0154191	0.0115638	0.0129387	0.00881673	0.00996414	0.0126682	0.0101858	0.0179547	0.0158796	0.0108956	0.0126129	0.0138473	0.02084	0.0203657	0.0109563	0.0117066	0.0116583	0.0146366	0.00947034	0.0145935	0.0106779	0.029513	0.0244055	0.0437998	0.0433468	0.0250365	0.030303	0.0254797	0.0180929	0.0212815	0.033527
pour	0.00713297	0.0053131	0.00576951	0.00625288	0.00671401	0.00813955	0.0119544	0.00890817	0.00895282	0.0143411	0.0128264	0.0127073	0.00986624	0.00920833	0.010561	0.00778144	0.0108508	0.00792378	0.00923121	0.0129327	0.00955135	0.0149906	0.0202173	0.0221102	0.0280849	0.0228838	0.0344424	0.0287239	0.0324436	0.0303834	0.0318389	0.0258762	0.0317332	0.0266895	0.0295714	0.0414426	0.0275009	0.0289138	0.0267998	0.0321674	0.0278779	0.020092	0.0237492	0.0257244	0.0183424	0.0230955	0.0195064	0.0179608	0.0198046	0.0139564	0.0143304	0.0147634	0.0270639
son	0.0258232	0.0164055	0.0175229	0.0201773	0.0165853	0.013662	0.0104189	0.00946686	0.00935154	0.010091	0.00970549	0.0104277	0.0103755	0.0114576	0.0118757	0.0112946	0.0123357	0.0109862	0.0121407	0.0160637	0.0161973	0.0191207	0.0200224	0.0202042	0.02381	0.0175242	0.0270493	0.0234899	0.0239784	0.0206415	0.0201401	0.0213484	0.0220553	0.021888	0.0257715	0.029628	0.0171116	0.0236634	0.0188468	0.0125376	0.0131378	0.0105263	0.0116159	0.0151738	0.0144498	0.0183054	0.0229771	0.0268028	0.0271751	0.0339264	0.0337035	0.0358274	0.0451824
mari	0.0388457	0.016938	0.0136613	0.00953868	0.00761538	0.00521554	0.00327002	0.00189741	0.00184987	0.00358608	0.00426809	0.00581092	0.00722158	0.0127727	0.0147092	0.0169692	0.020043	0.0157251	0.0189981	0.0386369	0.0275406	0.0323492	0.033908	0.033282	0.035147	0.0240194	0.0296871	0.0307916	0.024719	0.0301923	0.00700514	0.00927537	0.0160463	0.0221894	0.0176307	0.0288055	0.0175905	0.0203111	0.0240035	0.0182454	0.0195722	0.0163642	0.0141744	0.017673	0.0149076	0.0100824	0.00765582	0.0123735	0.00982516	0.0319425	0.00961751	0.0396857	0.055814
car	0.021124	0.0127061	0.0119121	0.0105889	0.00656848	0.00465567	0.00491458	0.00396753	0.00311001	0.00267169	0.0027345	0.00291749	0.00415268	0.00562441	0.00543695	0.00498427	0.0039534	0.00444081	0.0051122	0.0138701	0.0191603	0.026475	0.0259045	0.0296331	0.0355103	0.026412	0.0372793	0.0337262	0.02584	0.0219366	0.0170656	0.0299667	0.0242087	0.0237714	0.0250032	0.0402827	0.0289341	0.0250443	0.0305432	0.02173	0.0277066	0.0189792	0.0164899	0.0164656	0.0133122	0.016122	0.0193137	0.0234193	0.0224856	0.032986	0.0269476	0.0394413	0.0424581
celui-ci	0.0314488	0.0223721	0.0170933	0.0114889	0.0128396	0.0105682	0.0134578	0.00950997	0.00925259	0.0111545	0.00634383	0.00679423	0.00401469	0.00575212	0.00665545	0.00552143	0.00420539	0.00286314	0.00340465	0.00259933	0.00428117	0.00655486	0.0122985	0.0101948	0.0129184	0.0243428	0.0209532	0.0213783	0.0127767	0.0155689	0.00807429	0.0352265	0.0358156	0.0353686	0.0282709	0.0460029	0.0456698	0.0353846	0.0283707	0.0235985	0.0202303	0.0213369	0.0200084	0.0332626	0.030418	0.034991	0.0285274	0.0225218	0.0205823	0.022767	0.0256995	0.0230281	0.0362366
