 	e	l	a	m	b	i	l	í	y	é	y	é	e	y	a	á	a	n	y	a	m	a	</S>
cet	0.0158012	0.0205742	0.010463	0.0132311	0.0108993	0.0227664	0.0349693	0.0224344	0.017889	0.0235515	0.0230866	0.0214731	0.0304267	0.0410314	0.0496546	0.07458	0.0739122	0.07511	0.0559945	0.098314	0.0875748	0.0944021	0.0818606
endroit	0.0167079	0.0152031	0.0327364	0.0171809	0.0253178	0.0232379	0.124009	0.0799573	0.120383	0.094809	0.102721	0.0665723	0.0490693	0.0308981	0.0404159	0.0393229	0.0369864	0.0270808	0.0165272	0.00472346	0.0223386	0.0102934	0.00350749
où	0.0736183	0.0443781	0.0745435	0.0864765	0.139342	0.108542	0.0255739	0.021926	0.018287	0.0181104	0.0512492	0.0534642	0.0452189	0.0300351	0.0845733	0.0336715	0.0238724	0.0163551	0.0137701	0.0153151	0.00989181	0.00729777	0.0044872
nous	0.0290831	0.029221	0.042686	0.0326937	0.0205793	0.0265438	0.0254507	0.0237228	0.0228506	0.0238461	0.0371716	0.0350042	0.0550956	0.0629459	0.0663775	0.0639095	0.0336673	0.0274509	0.0260229	0.0333144	0.103949	0.0787918	0.0996222
avons	0.0493365	0.0527927	0.102243	0.108195	0.12213	0.0558256	0.0304616	0.0382149	0.0287063	0.0173255	0.0268442	0.0262484	0.0254509	0.0291707	0.0322773	0.0281672	0.0271029	0.0266012	0.0255854	0.0309531	0.03031	0.0219483	0.0641085
l'	0.0527872	0.0676151	0.0864564	0.0774363	0.0712573	0.0269261	0.0175121	0.014865	0.0135402	0.0207252	0.0234714	0.0295245	0.0445386	0.0386018	0.0474807	0.0307254	0.0342872	0.0324555	0.0253413	0.0417016	0.0492641	0.0495389	0.103948
habitude	0.167831	0.0808016	0.0921972	0.0315051	0.0187763	0.0151477	0.0114475	0.00868021	0.00608166	0.00799947	0.0104653	0.00806869	0.0130952	0.0166129	0.0110064	0.0157239	0.0306734	0.0614774	0.0648429	0.0256138	0.0730844	0.0824247	0.146443
de	0.161843	0.103322	0.0982451	0.0843211	0.0842471	0.0791433	0.0761268	0.0575788	0.0357623	0.0149101	0.0112941	0.00644798	0.0110448	0.012801	0.00341841	0.00492275	0.00794203	0.0121772	0.0151287	0.0147636	0.0117035	0.0142587	0.0785985
tendre	0.0925591	0.0866702	0.0843231	0.0579984	0.0603647	0.0200343	0.0203068	0.00920561	0.00566424	0.00507506	0.0057254	0.0069691	0.0158108	0.0298882	0.0155052	0.0200658	0.0171223	0.0222991	0.03162	0.0221921	0.0520952	0.0957581	0.222747
des	0.202976	0.0940107	0.081169	0.0698759	0.0394328	0.0150098	0.0131204	0.00593754	0.00338352	0.00655363	0.00679672	0.00743799	0.0194358	0.0423322	0.0158995	0.0193353	0.0218115	0.0242095	0.0316403	0.0288793	0.0264225	0.0429386	0.181391
filets	0.173569	0.126564	0.0620278	0.0357743	0.0250298	0.00791546	0.00721414	0.0064795	0.0055345	0.00621929	0.00381935	0.00313978	0.00582183	0.00991321	0.00416127	0.00630581	0.00765865	0.0329972	0.0375209	0.0155231	0.0714455	0.0833192	0.262046
de	0.171138	0.154942	0.0920772	0.046277	0.0349061	0.0204148	0.0120074	0.00970771	0.0040611	0.00427254	0.00224116	0.00108392	0.00282851	0.00771554	0.00178094	0.00414705	0.00774509	0.0214427	0.0207148	0.0111083	0.0218004	0.0511002	0.296487
chasse	0.16905	0.091758	0.0713198	0.0457591	0.0313638	0.0181351	0.00991279	0.00698284	0.00560228	0.00516401	0.00604425	0.00505201	0.0138398	0.0297861	0.00885605	0.0120488	0.0117039	0.0172294	0.0329787	0.0288716	0.0444688	0.0657242	0.268349
est	0.1734	0.0558601	0.0507972	0.0469439	0.0505657	0.0252714	0.0215986	0.0221102	0.0171124	0.0137882	0.0232023	0.0161865	0.0275971	0.0362997	0.0259117	0.0218043	0.0159294	0.0295964	0.0370411	0.0197484	0.0615426	0.0526548	0.155037
toujours	0.0365992	0.0114726	0.00671441	0.00636721	0.00853807	0.00891319	0.0132537	0.0155167	0.0148478	0.0139425	0.0158749	0.0147633	0.024579	0.0438762	0.0390225	0.056345	0.0776083	0.139539	0.119938	0.0294596	0.122955	0.0858879	0.0939851
giboyeux	0.0848342	0.0299687	0.0278208	0.0205267	0.0167848	0.0111763	0.0120912	0.0129935	0.0122614	0.0127627	0.010334	0.00557407	0.0107232	0.0171385	0.00934596	0.0129022	0.0141443	0.0790958	0.0872563	0.0120179	0.164573	0.136482	0.199193
</S>	0.0814324	0.0491883	0.0687558	0.0395943	0.0304473	0.0324071	0.0282633	0.0266578	0.0252608	0.035286	0.0205615	0.00787126	0.0113246	0.0145649	0.00483756	0.00595584	0.00779352	0.026918	0.0367208	0.00803612	0.106887	0.1269	0.204336
