 	o	k	o	n	d	z	i	y	a	p	o	o	y	á	b	í	s	í	a	d	i	l	a	n	d	ε	l	i	n	d	z	á	á	l	e	n	d	ε	l	i	l	á	p	έ	l	ε	í	p	é	n	d	í	l	á	w	a	m	o	l	a	á	</S>
le	0.00768881	0.0091744	0.00960719	0.0101311	0.0108814	0.00976672	0.0184263	0.0169559	0.0348611	0.0372806	0.0720531	0.0701392	0.0958603	0.0592439	0.0233994	0.0320886	0.0226817	0.0165795	0.0156208	0.0089914	0.00910936	0.00744582	0.00642618	0.00645195	0.00500062	0.00791986	0.00635381	0.0059465	0.0064154	0.00881838	0.0093605	0.00625399	0.00624347	0.00531463	0.00639063	0.00682079	0.00743182	0.00772934	0.00677798	0.00716533	0.00517199	0.00594975	0.00844274	0.00642786	0.00768781	0.00790192	0.00708057	0.0069904	0.00975245	0.0109172	0.0101881	0.00934921	0.01083	0.0135233	0.0130125	0.0185093	0.0210878	0.0229357	0.0295149	0.0204805	0.0186134	0.0148249
chef	0.0671474	0.123269	0.150833	0.110904	0.0589603	0.0616089	0.0259904	0.0454883	0.057802	0.0501695	0.0636487	0.0507483	0.013537	0.0136919	0.0066121	0.00864653	0.00370556	0.0128468	0.00744074	0.00471949	0.00314784	0.00283062	0.00327829	0.00292779	0.00160243	0.00195755	0.000911207	0.000912935	0.000865773	0.000760867	0.000452556	0.000318002	0.000258861	0.000296308	0.000255108	0.000394147	0.000343109	0.000317785	0.000339244	0.000280118	0.000224373	0.000361648	0.00025714	0.000953784	0.000748266	0.000418044	0.000658926	0.0011644	0.00274012	0.00483472	0.00529567	0.00207285	0.00195098	0.00193804	0.00139248	0.00370496	0.00351056	0.00328884	0.00180492	0.00127348	0.000669008	0.000516122
de	0.0631395	0.0512874	0.0320229	0.0210236	0.0230067	0.016836	0.010886	0.0138616	0.011276	0.0142957	0.0179307	0.0209296	0.0312031	0.0461178	0.0313235	0.0365139	0.026166	0.0271598	0.0285583	0.0174429	0.0253696	0.0339113	0.0203448	0.0158128	0.0126608	0.0166217	0.0114012	0.00701625	0.0161895	0.0100301	0.00743677	0.0052405	0.0058951	0.0037868	0.00344838	0.00357701	0.00385776	0.00427075	0.0024135	0.00309694	0.00305772	0.00305796	0.00498017	0.00571637	0.00540906	0.00594648	0.00783829	0.00576378	0.00915372	0.00892117	0.0156456	0.0205902	0.0173239	0.0317587	0.0167271	0.0239611	0.0168855	0.0161691	0.00931586	0.00980349	0.00589315	0.00271873
notre	0.00735857	0.0099475	0.0196042	0.0274935	0.0352993	0.0244232	0.0203497	0.0119806	0.0155498	0.00924955	0.0165978	0.0173923	0.0214906	0.0232379	0.0152669	0.026262	0.0175612	0.0236798	0.0306699	0.015417	0.0405932	0.0376697	0.0279093	0.0281377	0.0229721	0.0251982	0.0216469	0.019868	0.0206292	0.0143236	0.0140252	0.0132643	0.0121703	0.00719612	0.00526081	0.00629591	0.00683331	0.00548288	0.00450508	0.00427879	0.00533137	0.00588226	0.00341248	0.0117671	0.00712713	0.00589062	0.0108923	0.0071246	0.00663878	0.00553806	0.0120625	0.0231832	0.0320624	0.0271331	0.0220212	0.0162317	0.0110238	0.0093389	0.00722174	0.00921382	0.0104354	0.0233759
village	0.0327998	0.0192133	0.0196892	0.0188748	0.020799	0.0317336	0.035796	0.0290337	0.030769	0.0264068	0.0265954	0.0209715	0.0264596	0.0234026	0.0193117	0.023657	0.0121887	0.0236167	0.0223774	0.016043	0.0201713	0.0218408	0.0205051	0.0164132	0.0160008	0.0175296	0.00926485	0.00968923	0.0122389	0.00882614	0.00679716	0.00776526	0.00749553	0.00804777	0.00913764	0.00884026	0.00911765	0.00863372	0.0171765	0.00927836	0.0106202	0.00888696	0.00688302	0.0243545	0.0147011	0.00985324	0.0154279	0.0203535	0.0204806	0.0239053	0.0174908	0.0115792	0.00715366	0.00526887	0.00447553	0.00836112	0.00796568	0.0138671	0.00678772	0.0103403	0.0124499	0.0142853
est	0.00584259	0.00575622	0.00687045	0.00670935	0.00730256	0.00612056	0.00630668	0.00658047	0.00604453	0.0050345	0.00596093	0.00452999	0.00406978	0.00318497	0.00766307	0.0102455	0.0138421	0.0108487	0.0140798	0.011392	0.015214	0.0224283	0.0181363	0.0305286	0.0185167	0.0199133	0.0240719	0.0298112	0.0157348	0.0279523	0.028261	0.0337518	0.028924	0.0218521	0.0277492	0.0325948	0.032611	0.0242065	0.0231987	0.022914	0.0304135	0.0295191	0.0159645	0.0574221	0.0369	0.0253369	0.0244155	0.0135209	0.00800811	0.00654344	0.0158495	0.0196713	0.0163059	0.00735762	0.00589261	0.00447021	0.00389922	0.00398772	0.00334877	0.00394452	0.00590272	0.0145704
barbu	0.0169971	0.0131783	0.0153934	0.0150492	0.0152861	0.019733	0.0282927	0.0289122	0.0285486	0.0219823	0.0140029	0.00940406	0.00712659	0.0064733	0.0088797	0.00404674	0.00565041	0.00998047	0.00573435	0.0111807	0.00632026	0.00752489	0.00846157	0.014028	0.0106063	0.00956963	0.0175041	0.0295647	0.0119945	0.0234275	0.0207769	0.025644	0.0224772	0.0205436	0.0201789	0.0249902	0.0216495	0.0222622	0.0256884	0.0187886	0.0219746	0.0187799	0.0171427	0.0410828	0.0249298	0.0261235	0.025037	0.0358503	0.0137892	0.0196254	0.0239982	0.0103484	0.00485286	0.00256463	0.00266522	0.00505384	0.00404755	0.0108392	0.00465158	0.00908348	0.0116647	0.0180421
mais	0.0148142	0.0189901	0.0187207	0.0196474	0.0262254	0.0211641	0.023655	0.0256363	0.0301852	0.021671	0.017213	0.0115667	0.0108784	0.0122136	0.00883267	0.0083593	0.00355562	0.00829808	0.00675342	0.00645761	0.00747123	0.00540187	0.00733759	0.0209643	0.00970807	0.0192431	0.0256789	0.0293091	0.0160402	0.0249617	0.0319476	0.0190628	0.0179636	0.0177035	0.0149119	0.0194196	0.00810985	0.00737066	0.0238458	0.0131154	0.0196311	0.0137638	0.0135187	0.023328	0.0184052	0.0156617	0.0220619	0.0230123	0.0149731	0.0142921	0.0194441	0.0211128	0.0210279	0.00801201	0.0045897	0.00464482	0.00456781	0.00573007	0.00606005	0.00832831	0.0116183	0.0518115
la	0.0139761	0.00973408	0.00746831	0.00633325	0.0059038	0.00421972	0.00369885	0.00496193	0.0038371	0.00273657	0.00252644	0.00222622	0.00277696	0.00311047	0.00428797	0.00382039	0.00694408	0.00613013	0.0068	0.00838351	0.00813775	0.00689965	0.00770213	0.0158631	0.0109616	0.0116951	0.0235177	0.021751	0.0134085	0.0302782	0.0375849	0.0258845	0.0236607	0.0225908	0.0190202	0.0348965	0.0202484	0.0163549	0.0211741	0.0212866	0.0313	0.0327911	0.0257402	0.0454857	0.0359108	0.039295	0.0479164	0.048044	0.0379555	0.0308765	0.0232701	0.015883	0.0144108	0.00476462	0.00367053	0.00392768	0.00487432	0.00472931	0.00423415	0.0058234	0.00863298	0.0276717
barbe	0.0129232	0.0104643	0.00777039	0.00662308	0.0049098	0.00332427	0.00346179	0.0042226	0.00352822	0.00329846	0.00321794	0.00318404	0.00433302	0.00421682	0.00453353	0.00413576	0.00802298	0.00876329	0.00984755	0.0211472	0.0207847	0.018912	0.0195635	0.0307251	0.0295406	0.0213987	0.0409411	0.0428846	0.0251303	0.0330992	0.0354506	0.0395751	0.0360824	0.0294994	0.0244383	0.0349899	0.0253141	0.0206459	0.0153635	0.0210265	0.0258841	0.021635	0.0216889	0.0362307	0.0238542	0.0352641	0.0232304	0.017195	0.00582362	0.00516615	0.0044268	0.00288442	0.00355143	0.00120977	0.00152002	0.00148159	0.00237529	0.00260319	0.00287381	0.00707981	0.012796	0.0439322
