 	n	d	é	e	y	é	é	m	i	k	á	m	b	á	o	k	a	n	g	i	</S>
il	0.0405367	0.0515573	0.0500037	0.0234986	0.0304761	0.0483449	0.0551046	0.078949	0.0913864	0.0796464	0.0729443	0.0686716	0.0348401	0.025202	0.0206017	0.0209795	0.0262281	0.0408304	0.0644617	0.0417893	0.0339479
n'	0.290622	0.18348	0.0843658	0.0438442	0.0413919	0.030673	0.0199713	0.0222696	0.0240429	0.0295293	0.0334116	0.0387088	0.0167398	0.00907657	0.00855575	0.0098999	0.0124034	0.0183823	0.0269265	0.0234029	0.032303
y	0.131787	0.118297	0.118272	0.0368513	0.0397969	0.051765	0.0433838	0.0757613	0.0751788	0.0437585	0.0206381	0.0215972	0.0163804	0.0240613	0.0189509	0.0235732	0.0240636	0.0265787	0.031604	0.0323958	0.0253045
a	0.115855	0.0829835	0.0632116	0.0387863	0.0334241	0.0217017	0.0233088	0.0227779	0.0473221	0.0677912	0.0810143	0.0715157	0.0554841	0.0432409	0.0357256	0.0294039	0.0272268	0.0345416	0.0202699	0.0328707	0.0515441
personne	0.0605544	0.0534019	0.0245165	0.0191018	0.0161291	0.0127512	0.019327	0.0301997	0.0370089	0.0365063	0.0422153	0.051814	0.0660453	0.0774525	0.0830419	0.0801075	0.105755	0.0802598	0.0391391	0.0321375	0.0325351
pour	0.058403	0.0342484	0.0264325	0.0395566	0.0473846	0.0378219	0.0316665	0.0260363	0.0231368	0.0206401	0.0278164	0.0446972	0.0488635	0.0629383	0.0478576	0.0624038	0.094097	0.0713992	0.065866	0.0463144	0.0824199
fermer	0.115187	0.0882316	0.0695953	0.0528295	0.0586471	0.0369176	0.0354845	0.0257404	0.0247654	0.0273819	0.0327975	0.0367041	0.0318759	0.0220934	0.010696	0.0158879	0.0274251	0.0409099	0.0522971	0.0661555	0.128377
cette	0.0356282	0.0259128	0.0368356	0.0589897	0.0495395	0.0470743	0.0399387	0.0490438	0.0449774	0.0448275	0.0409477	0.0469239	0.0381441	0.0388558	0.0273264	0.0401745	0.0490227	0.0506893	0.0727712	0.0548223	0.107555
maison	0.114591	0.0702584	0.0625968	0.0670815	0.0497417	0.0415446	0.0242672	0.0230557	0.0143448	0.00893476	0.00956797	0.015459	0.0221759	0.0178678	0.0168651	0.0177766	0.0402351	0.0339876	0.0672455	0.128553	0.15385
</S>	0.0679858	0.0375699	0.0339513	0.036163	0.0320708	0.0313947	0.0258092	0.0218692	0.018745	0.0182303	0.0208082	0.0242802	0.028872	0.0332417	0.045183	0.0539643	0.0740922	0.0930214	0.0700886	0.0915806	0.141079
