 	a	m	b	ω	r	i	á	k	á	n	d	i	m	í	b	h	i	s	ó	y	ó	l	o	b	h	á	</S>
les	0.0212812	0.0186593	0.00994409	0.0104037	0.00996653	0.0277034	0.0316733	0.0402232	0.0581361	0.0701332	0.0759046	0.0791361	0.0763171	0.0765366	0.091059	0.0538343	0.0330168	0.0230705	0.0201401	0.0098134	0.0262509	0.0217944	0.0266642	0.0265517	0.0244883	0.0241043	0.0131936
militaires	0.0218055	0.0184585	0.017775	0.0327954	0.0312802	0.0393566	0.0349515	0.0451476	0.0280772	0.0337193	0.0736707	0.0657763	0.102349	0.103831	0.102098	0.0511685	0.0381308	0.0275865	0.024776	0.0148232	0.0402898	0.0182793	0.010895	0.00925017	0.00540144	0.00580768	0.00249918
ont	0.0461483	0.117774	0.0830713	0.0385464	0.058774	0.0345644	0.0509417	0.0602252	0.0348614	0.0270975	0.0352241	0.0428211	0.0532545	0.0537175	0.0536825	0.0401307	0.0240777	0.0115637	0.00689769	0.0110468	0.0160595	0.0147748	0.0131359	0.00873661	0.0160212	0.0198527	0.0269984
affronté	0.0220977	0.0215019	0.0451828	0.0416199	0.0746262	0.071467	0.0396926	0.0702564	0.0613917	0.0618584	0.0429368	0.0531331	0.0407042	0.0466853	0.0329448	0.0367371	0.0351629	0.0370709	0.00693647	0.0250491	0.0150504	0.0143995	0.0129755	0.0150068	0.0147466	0.0192492	0.0415165
une	0.0382549	0.0372917	0.0325618	0.0355081	0.0390361	0.0354429	0.0474042	0.0424813	0.0468515	0.0463815	0.0466877	0.0441783	0.035512	0.0272492	0.0235072	0.0208579	0.0252036	0.0389579	0.0382983	0.0397616	0.0163464	0.0197855	0.0157041	0.0358855	0.0318937	0.0496605	0.0892967
bande	0.0283944	0.0320551	0.0268714	0.023467	0.0184233	0.0161233	0.0262322	0.0197949	0.0198231	0.0195485	0.0202576	0.0216556	0.0224191	0.0179009	0.0281458	0.0515687	0.0530301	0.0806755	0.0512857	0.0680268	0.0413408	0.0430056	0.037587	0.0548283	0.0447114	0.0543128	0.0785153
de	0.041709	0.0395844	0.036141	0.0332493	0.0288988	0.0266279	0.0340516	0.0289348	0.0291949	0.0250599	0.0220932	0.0301595	0.027305	0.0357426	0.0456784	0.0501791	0.027606	0.0460935	0.0226869	0.0428844	0.0199429	0.0275011	0.0249697	0.0411138	0.0362182	0.0659968	0.110377
voleurs	0.0411294	0.0390249	0.0349441	0.0385736	0.0429655	0.0615776	0.0529052	0.0528615	0.0340522	0.026497	0.0126709	0.0214096	0.0137307	0.0231401	0.0184099	0.0274418	0.0168819	0.025873	0.00845274	0.0199357	0.00962244	0.0192555	0.0211501	0.0255115	0.0343243	0.0824921	0.195167
ce	0.0506416	0.0547612	0.0487253	0.0454569	0.0379153	0.0369637	0.0301853	0.0192444	0.0117135	0.00994813	0.00992689	0.00994419	0.010768	0.0123633	0.0157121	0.0221099	0.0311463	0.0494317	0.0210668	0.0355292	0.0292006	0.0352986	0.0413972	0.0537503	0.0540683	0.0973103	0.125421
matin	0.0731174	0.0790226	0.0653911	0.0547417	0.0387958	0.029683	0.0164964	0.00976487	0.00729606	0.00662959	0.00519399	0.00698928	0.00776473	0.0124013	0.0185226	0.0245481	0.0282828	0.0371336	0.0238565	0.0258693	0.0231508	0.029389	0.0400408	0.0517755	0.0504438	0.0942632	0.139436
</S>	0.0502985	0.0456324	0.0425257	0.033026	0.037345	0.0256224	0.0190205	0.0221669	0.0119065	0.0100435	0.0094013	0.0138339	0.0104425	0.0115468	0.00622009	0.0122381	0.0168216	0.0217697	0.0227848	0.0308642	0.0334875	0.0541256	0.0663665	0.0690964	0.0809034	0.0857397	0.156771
