 	m	b	ώ	n	g	ω	y	é	é	b	o	m	b	á	á	n	g	á	m	b	v	á	a	w	a	é	m	i	k	ú	n	a	t	s	í	n	a	t	á	á	y	a	b	í	s	í	á	n	y	á	á	s	i	n	g	á	y	í	a	</S>
l'	0.00805478	0.00872263	0.00878142	0.0058068	0.00813224	0.00911381	0.0162328	0.0145214	0.0262289	0.0260252	0.0303356	0.0330892	0.045981	0.0450159	0.0310053	0.0302592	0.0214302	0.0247616	0.0362608	0.0382887	0.0281222	0.0116677	0.0102504	0.0112389	0.0096084	0.0143743	0.0153118	0.00940666	0.00933993	0.0082804	0.00560087	0.00778361	0.00734119	0.00793398	0.00799836	0.00700507	0.00637246	0.00708297	0.0080718	0.00811011	0.0101322	0.00656124	0.00960696	0.00816626	0.00856633	0.010784	0.00671613	0.0111153	0.00970943	0.0114335	0.0118624	0.0247559	0.0187812	0.0240577	0.0280186	0.0310712	0.0282762	0.023421	0.0270537	0.0209623
argent	0.0474075	0.192416	0.227392	0.169066	0.0718614	0.0790891	0.0355503	0.0239336	0.0252035	0.00752937	0.00717834	0.00941843	0.00538946	0.00498215	0.0031184	0.00604563	0.00500141	0.00601793	0.0169429	0.00431359	0.00418756	0.00315928	0.00102579	0.00181679	0.000983654	0.00132945	0.000975118	0.000680994	0.000591088	0.000652928	0.000237114	0.000429215	0.000149981	0.000155044	9.30658e-05	0.000147503	0.000353977	0.000184211	0.000641141	0.000239091	0.000537587	0.000638538	0.000390615	0.000339521	0.00076793	0.000349878	0.000326487	0.000390763	0.00061531	0.00124477	0.00304468	0.00492945	0.00169482	0.00378934	0.0101403	0.00148506	0.00092225	0.00139128	0.000574518	0.000536815
que	0.0190597	0.0113875	0.010605	0.0141941	0.0125242	0.0113093	0.0200562	0.0234835	0.0129585	0.00835784	0.0110166	0.0137314	0.0470662	0.0348759	0.024777	0.0309411	0.0221513	0.0319297	0.0380306	0.033854	0.0219406	0.0189852	0.0225687	0.0119556	0.00857304	0.0110291	0.0125682	0.0129468	0.00497764	0.00887282	0.00487486	0.00682203	0.00276188	0.00348844	0.00630113	0.00577755	0.0106453	0.00952337	0.0111312	0.00873792	0.0102223	0.0234644	0.0111609	0.023172	0.0214002	0.0204671	0.0209568	0.0216344	0.0236083	0.0371888	0.0231829	0.0302956	0.018502	0.020394	0.027821	0.0114463	0.0044949	0.00733638	0.0042948	0.00216603
je	0.012529	0.0132031	0.0264041	0.0519572	0.0683217	0.0493581	0.0140914	0.0126423	0.00663096	0.00548782	0.00755405	0.0113221	0.0162006	0.0222251	0.0151416	0.0202862	0.0134362	0.0255834	0.0315387	0.0327774	0.0419159	0.0112349	0.0163245	0.00934089	0.0147501	0.00748959	0.0068827	0.0129519	0.0124385	0.0111972	0.012618	0.0156696	0.0115588	0.00819481	0.0137556	0.0179254	0.0176789	0.0232697	0.0345651	0.0220469	0.0220138	0.0343303	0.00571351	0.0136877	0.0121924	0.00659071	0.0070389	0.00774641	0.00667438	0.00708633	0.00463598	0.00593806	0.0042554	0.00827874	0.0088041	0.0130552	0.00780102	0.0123359	0.00895199	0.024369
garde	0.0157308	0.0140289	0.0154599	0.0163529	0.0194954	0.0293979	0.0181618	0.0160227	0.0128327	0.0122466	0.0119565	0.00883218	0.0194961	0.0197696	0.0245335	0.0184237	0.030173	0.0238681	0.0151118	0.0317503	0.0322596	0.0140842	0.0214423	0.00736	0.0116474	0.0240555	0.0214673	0.0256089	0.0214952	0.0229257	0.017972	0.0214916	0.0173182	0.0194784	0.013438	0.015577	0.0225705	0.0159536	0.0253785	0.0234452	0.0263968	0.0214656	0.0157032	0.0231895	0.0175319	0.0130146	0.00743476	0.0111658	0.0125001	0.00995054	0.0077668	0.00466779	0.00280557	0.00441838	0.00398813	0.0045008	0.00330395	0.00933786	0.00457968	0.0276648
chez	0.0052656	0.00473702	0.00736189	0.0088623	0.0112529	0.0171625	0.0128518	0.0131627	0.00938277	0.00956894	0.010937	0.0123187	0.03334	0.0259956	0.027904	0.0177351	0.027107	0.0195575	0.0203084	0.037776	0.0396246	0.0208133	0.0211278	0.00855621	0.0110708	0.0191493	0.0112292	0.0184925	0.0194053	0.019088	0.0186697	0.0266195	0.018337	0.0244249	0.0114769	0.0184323	0.0216953	0.0143375	0.0390921	0.0223889	0.0170598	0.0210191	0.00922281	0.019433	0.017028	0.00993025	0.00826818	0.0069076	0.00777125	0.0111147	0.0102396	0.00905175	0.0104049	0.00912527	0.0162991	0.0102776	0.00973213	0.0181419	0.0138676	0.0284866
lui	0.0186112	0.0276852	0.0238048	0.0259008	0.0301407	0.0302661	0.030493	0.0236535	0.0145436	0.00806458	0.00564225	0.00554661	0.00871496	0.00486903	0.00297262	0.00310332	0.00386445	0.00402578	0.00663878	0.0101049	0.0136688	0.00718453	0.00870338	0.00709056	0.00963217	0.00914536	0.00782245	0.0107705	0.0168326	0.0100255	0.00970514	0.0201083	0.00739926	0.00826515	0.00558314	0.0097223	0.0169531	0.00616818	0.0303883	0.0136375	0.0285271	0.0202271	0.0127738	0.0104952	0.0183847	0.00789168	0.00827144	0.00832676	0.0112683	0.0100534	0.0233323	0.027668	0.0202511	0.0320914	0.036015	0.0374966	0.040768	0.0369267	0.0357557	0.0560231
a	0.0294754	0.0336268	0.0324009	0.0459058	0.0598156	0.0604265	0.047316	0.0432171	0.0201378	0.0183643	0.0136201	0.0139634	0.020741	0.017349	0.0163119	0.0109823	0.0184403	0.0101999	0.0136482	0.0126379	0.0090505	0.0103301	0.00635831	0.00614353	0.00603424	0.00554535	0.00484639	0.00556879	0.00654232	0.00580591	0.00925239	0.0118714	0.00817457	0.00796475	0.00774341	0.01289	0.0117535	0.00955685	0.0231064	0.0142782	0.0105809	0.0102546	0.00588044	0.00523363	0.00912381	0.00604356	0.00282064	0.00528725	0.0056037	0.00466026	0.00989644	0.0122241	0.0105052	0.0112386	0.0235418	0.0102021	0.0166563	0.0183291	0.0239938	0.0765265
augmenté	0.0217809	0.0188169	0.0160399	0.0171205	0.0160303	0.0179006	0.0143245	0.0114262	0.00643496	0.00698857	0.0079495	0.00982487	0.0202858	0.0189149	0.0133922	0.0121606	0.0152755	0.0110365	0.0175578	0.0512461	0.0334066	0.0274477	0.0173707	0.00845687	0.0100106	0.0113408	0.00687965	0.00994272	0.0125424	0.0101854	0.0205443	0.017411	0.00895236	0.00600852	0.00476278	0.0213155	0.0245263	0.0108032	0.0338664	0.0366767	0.0457635	0.0205629	0.0111302	0.0166085	0.0211612	0.0100675	0.00713208	0.00494327	0.00547734	0.00559075	0.0135077	0.0158513	0.0109463	0.0176052	0.0278839	0.0126587	0.0209524	0.0147774	0.0210125	0.0394098
car	0.033645	0.0129087	0.00977034	0.0113515	0.0120571	0.0151947	0.0106096	0.00655118	0.00433503	0.00404989	0.00429792	0.00348326	0.00583595	0.00507642	0.00466888	0.0060972	0.00485894	0.00788203	0.00853051	0.0186482	0.015079	0.0145689	0.0166713	0.0110775	0.0129311	0.0144626	0.0145558	0.0174665	0.0186649	0.0174162	0.0188941	0.0222586	0.0200929	0.018438	0.0183192	0.0256163	0.0306665	0.0225442	0.0369822	0.0349566	0.0481942	0.0310669	0.0361728	0.0243921	0.033228	0.0214151	0.0198145	0.0196565	0.0216807	0.0144483	0.0183148	0.00887683	0.00833567	0.0128629	0.0146685	0.0110031	0.0137386	0.00820847	0.0150109	0.0273964
notre	0.0301953	0.0152378	0.0110816	0.0111853	0.0133621	0.0154197	0.0109615	0.0134196	0.0113563	0.0136607	0.0185924	0.0136738	0.0303485	0.0231427	0.0205354	0.0166066	0.0201652	0.00846009	0.00957144	0.013269	0.0246535	0.00993916	0.00873445	0.0073467	0.00782914	0.00539328	0.0049407	0.00924668	0.0141199	0.00997737	0.00819575	0.0168036	0.0119783	0.0124346	0.0135042	0.0211604	0.0239979	0.0232734	0.0320098	0.0244348	0.0452119	0.0369373	0.0336501	0.0311908	0.0235451	0.0242146	0.0187942	0.0179928	0.0143243	0.0110995	0.0109561	0.0109521	0.00786864	0.011744	0.0129887	0.00851532	0.012093	0.00728516	0.0144441	0.0359734
père	0.0324519	0.0144241	0.00977061	0.0113261	0.0108597	0.0123847	0.0102815	0.00851422	0.00822304	0.0130305	0.0120616	0.0124369	0.0205485	0.0202185	0.0166806	0.0184083	0.0177718	0.0241917	0.0357605	0.0454166	0.0300511	0.0216175	0.0255597	0.016409	0.0194344	0.0154205	0.0103271	0.0117187	0.017894	0.0145702	0.0169451	0.0175832	0.018775	0.0168006	0.00851912	0.0220355	0.0256672	0.012377	0.0283742	0.0248213	0.0391058	0.012649	0.0268155	0.0147619	0.0120029	0.0116235	0.00915074	0.00564285	0.00736493	0.00397667	0.00766697	0.00531286	0.00275539	0.00559132	0.0169173	0.00537919	0.014416	0.00784661	0.020033	0.0413256
m'	0.0986723	0.0307491	0.0166808	0.0173129	0.0158565	0.0173382	0.0100068	0.00879086	0.00589968	0.0077703	0.00866802	0.00738433	0.018714	0.00886109	0.0104485	0.0101582	0.00786604	0.00838789	0.00911662	0.0130338	0.0116972	0.00571868	0.00984318	0.00503292	0.00551962	0.00781344	0.0062011	0.0104384	0.0145331	0.0104779	0.0101349	0.0190574	0.0165703	0.0198718	0.0112799	0.0178492	0.0184521	0.0125479	0.0379304	0.0244187	0.0289724	0.0160289	0.0176115	0.0181222	0.0152693	0.014351	0.0141381	0.00885187	0.00763491	0.00646952	0.00949252	0.0084924	0.00523873	0.0101914	0.0280965	0.00926101	0.0306725	0.0128822	0.0399911	0.0911277
en	0.169512	0.0409829	0.0219242	0.0254972	0.0249426	0.0332124	0.0199803	0.0149227	0.0194722	0.0194517	0.0243508	0.0185026	0.0172843	0.00852365	0.00717543	0.00953552	0.0092367	0.00794123	0.0116052	0.0147355	0.0119146	0.0100043	0.0128206	0.00756631	0.00851477	0.00871075	0.00734476	0.0121096	0.0142791	0.010241	0.00745529	0.0151588	0.0112735	0.013006	0.00445472	0.00724863	0.0106315	0.00409116	0.0144777	0.00658354	0.0131468	0.00779744	0.0135909	0.00615702	0.00738788	0.00631139	0.00610879	0.00571845	0.00670143	0.00480681	0.00680603	0.00782293	0.00583592	0.0102752	0.0217203	0.0115172	0.027318	0.0106661	0.0298532	0.0737823
a	0.262237	0.0620982	0.0337917	0.0337169	0.0163853	0.0153092	0.0068817	0.00356838	0.00656614	0.00557817	0.00617105	0.00480704	0.00739499	0.00596328	0.00662792	0.00812925	0.00922022	0.0119255	0.0178621	0.0188262	0.0183417	0.035458	0.0187388	0.0336023	0.0223691	0.0160456	0.0206308	0.0144214	0.0157619	0.0181458	0.00970833	0.0131701	0.0134277	0.0119632	0.0066388	0.0101427	0.0111438	0.00519585	0.00889106	0.0074473	0.00838031	0.00386451	0.01266	0.00398941	0.00554171	0.00605495	0.00341484	0.00503114	0.00664394	0.00449826	0.00851335	0.00674172	0.00339452	0.00700729	0.0104704	0.00315255	0.00786423	0.0041946	0.00542799	0.0288494
ajouté	0.0253758	0.00703342	0.005197	0.00669618	0.00629662	0.00941108	0.00593582	0.00406501	0.00382259	0.00517699	0.00618541	0.00633383	0.00898371	0.0084599	0.0105525	0.0121365	0.0133509	0.0189939	0.0241785	0.0459559	0.0194388	0.022103	0.0176277	0.00886447	0.0176772	0.0251127	0.0106809	0.0210565	0.0300941	0.0120451	0.0189652	0.0271433	0.0303016	0.023687	0.00836391	0.0238649	0.0158685	0.00845053	0.031304	0.0206409	0.0276055	0.0176944	0.0198655	0.0161223	0.018989	0.0146947	0.0122923	0.0137647	0.0171514	0.0123294	0.0148006	0.0103098	0.00692607	0.0110876	0.0217101	0.00980376	0.0260548	0.00959043	0.0340037	0.0577723
</S>	0.0382504	0.0120633	0.0101179	0.0105585	0.0113311	0.0142805	0.0168516	0.0137979	0.0119911	0.0196209	0.0273544	0.0236496	0.0264375	0.0210747	0.018216	0.0327264	0.0238575	0.0292954	0.0254074	0.0211024	0.0113175	0.00693629	0.008816	0.00836573	0.00925913	0.00996584	0.00465525	0.00714901	0.0142174	0.00867732	0.00501646	0.0135139	0.00958127	0.0108357	0.00441846	0.0124344	0.0070063	0.00600551	0.0204151	0.0130047	0.0202489	0.0161699	0.0156169	0.0161174	0.0147582	0.0158808	0.0182121	0.015879	0.0133314	0.0125495	0.011822	0.012049	0.00782391	0.0127875	0.0201716	0.0128451	0.0311699	0.0121467	0.0484501	0.0723941
