 	o	y	ú	r	u	á	l	á	r	i	o	k	á	n	d	á	m	á	p	i	t	s	í	n	a	a	d	i	m	í	l	y	ε	b	h	ω	</S>
la	0.0114272	0.0167395	0.0161335	0.00948874	0.0104371	0.0123716	0.0221653	0.0251679	0.02337	0.0512928	0.0814342	0.0979666	0.0865289	0.0617604	0.0505753	0.0264902	0.0195097	0.019254	0.0111565	0.00941018	0.00830416	0.00785169	0.00706644	0.00734165	0.00745768	0.0152718	0.0167046	0.0253678	0.0349541	0.0241567	0.0282733	0.0283508	0.0337761	0.0231692	0.01946	0.0246197	0.0251947
femme	0.0464265	0.159911	0.165312	0.205594	0.117776	0.0420337	0.0274529	0.0197393	0.0155793	0.0386642	0.0165418	0.0109663	0.00899983	0.00357933	0.00384424	0.00214032	0.00179134	0.00217945	0.00142577	0.00165412	0.00111743	0.00153514	0.00341553	0.0071715	0.00513714	0.00643565	0.00566369	0.0133409	0.0116384	0.00577482	0.0156924	0.0129529	0.00806067	0.0051761	0.00374636	0.000838113	0.000691838
a	0.0522659	0.0271657	0.0160003	0.0107326	0.0218273	0.0358383	0.0701958	0.0532755	0.0358357	0.0313937	0.0234595	0.0182417	0.0208638	0.0173241	0.0101432	0.00908504	0.00715925	0.0082038	0.00809536	0.0103865	0.0152414	0.0172075	0.020551	0.0183921	0.0213019	0.0348263	0.0386128	0.0411896	0.0796204	0.0633732	0.0552438	0.0460801	0.0175144	0.0112868	0.0139176	0.0122148	0.00593312
porté	0.0197241	0.0297948	0.0483641	0.0550527	0.0705495	0.0767133	0.0639798	0.0522515	0.0425161	0.0273146	0.0163353	0.025225	0.0174444	0.0162738	0.0133864	0.0144122	0.0224574	0.0256075	0.0217555	0.0323407	0.033143	0.02634	0.0310893	0.0194159	0.0172958	0.0154572	0.0144286	0.0103122	0.0120054	0.0097722	0.00983938	0.0106839	0.0125891	0.0131935	0.0175282	0.0168416	0.0385661
une	0.0286475	0.0354616	0.0397096	0.0396934	0.0378904	0.0335462	0.0252903	0.0279615	0.0209867	0.0155496	0.0142377	0.0224068	0.0221122	0.0252338	0.0222226	0.0214402	0.0277119	0.0360287	0.0420292	0.0421669	0.0308016	0.0406978	0.0453547	0.0270152	0.0184727	0.0220452	0.014402	0.0191379	0.0189489	0.0189035	0.0207105	0.0231078	0.019985	0.0191952	0.0239655	0.0183356	0.0385943
robe	0.0289011	0.0266885	0.0298564	0.0313655	0.0345583	0.0346438	0.0237515	0.0243238	0.015582	0.0183561	0.0201556	0.019957	0.0151769	0.0182495	0.0154506	0.0149362	0.0211327	0.0261061	0.0206656	0.0285399	0.0248597	0.0276178	0.0348941	0.0327127	0.0257388	0.0316072	0.0249308	0.0361064	0.0320835	0.0335689	0.0319791	0.0338657	0.0374584	0.0320641	0.0285483	0.0208213	0.0427461
noire	0.0281967	0.01568	0.0128756	0.0124372	0.0162009	0.0193776	0.0180321	0.0193038	0.0190598	0.0244362	0.0287531	0.025473	0.0141954	0.0143635	0.0190149	0.0294179	0.0393808	0.0591408	0.0645166	0.0457498	0.066336	0.0546441	0.0670904	0.0561536	0.0266521	0.0193004	0.0124307	0.0191408	0.00974041	0.00796374	0.00824605	0.0105261	0.0211666	0.0138511	0.0164915	0.0219692	0.0426916
car	0.0262806	0.0224062	0.0241756	0.0264222	0.02563	0.0138469	0.0124498	0.0129886	0.0159493	0.0304128	0.0241741	0.0209774	0.0187347	0.016972	0.0263245	0.0365372	0.0403348	0.0334331	0.0455231	0.0375528	0.0358903	0.0250814	0.0154558	0.0175832	0.0116495	0.00668639	0.00522976	0.010008	0.0121442	0.0118267	0.0275096	0.0280079	0.0388258	0.0388855	0.0490958	0.0566555	0.098339
elle	0.0772951	0.045272	0.0405306	0.0330077	0.0295315	0.0275287	0.0333217	0.0267147	0.0249891	0.0181328	0.0140492	0.0170724	0.0171913	0.0170529	0.0128967	0.0134672	0.0197206	0.027301	0.0377314	0.0457309	0.0460559	0.0403429	0.0518085	0.0410097	0.0335216	0.0193083	0.0178711	0.0137271	0.00625597	0.00549423	0.00369853	0.00292242	0.00970097	0.0103771	0.0077116	0.0189032	0.0927534
est	0.129705	0.0689366	0.049322	0.0346647	0.0185223	0.0123271	0.0113464	0.0116875	0.0116738	0.0127214	0.0150613	0.0166466	0.0236047	0.0302817	0.0282102	0.0333079	0.0252265	0.0237158	0.0298902	0.0183712	0.02447	0.0215922	0.0139794	0.0153264	0.0107918	0.01043	0.0104485	0.0139375	0.0145479	0.00894001	0.0146266	0.0153665	0.0246785	0.0259121	0.0310127	0.0555157	0.0832009
en	0.0721595	0.0232249	0.016253	0.0173853	0.0155584	0.0125925	0.0148999	0.0145288	0.0155555	0.013049	0.0153138	0.0145913	0.020374	0.0245121	0.0395995	0.0516541	0.0434535	0.0457134	0.0525566	0.0339664	0.0444085	0.0344989	0.025056	0.030544	0.0191882	0.0157741	0.0144568	0.0265913	0.0207532	0.0136473	0.0182565	0.0169174	0.0219959	0.0228809	0.026257	0.0361161	0.0557163
deuil	0.0586345	0.0333752	0.0223063	0.0210963	0.0101796	0.00596844	0.0055811	0.0068819	0.0122575	0.00872001	0.0140516	0.0125895	0.0153949	0.0193935	0.0317989	0.0406907	0.0279886	0.0285197	0.0379723	0.0244499	0.0361039	0.028714	0.013331	0.0150862	0.0107193	0.0113127	0.00769809	0.0192758	0.0216278	0.0168773	0.0305877	0.027022	0.0311178	0.0388442	0.0501035	0.0843726	0.119356
</S>	0.075456	0.0379393	0.0321423	0.0302263	0.0193847	0.014851	0.0129164	0.0103147	0.00826111	0.00619213	0.00594242	0.00717223	0.00597202	0.00802439	0.0077403	0.0128605	0.0194746	0.0205641	0.030016	0.0259354	0.0393634	0.0453389	0.0442313	0.0364979	0.0275127	0.0216646	0.019505	0.0230548	0.02158	0.0201397	0.0231272	0.02508	0.030613	0.0431948	0.039266	0.046694	0.101751
