 	é	d	z	e	w	á	m	o	r	o	y	e	e	l	a	b	h	í	s	í	b	í	s	í	n	d	z	á	l	é	m	ó	b	v	á	r	e	</S>
c'	0.0222059	0.0278674	0.0259004	0.0240714	0.0260204	0.034681	0.0402293	0.0381558	0.033589	0.0648369	0.0363689	0.052352	0.0665679	0.0445358	0.0131318	0.0215597	0.0209064	0.0120328	0.0209075	0.0147207	0.0187062	0.0241651	0.0225761	0.0205377	0.0202261	0.0213701	0.0171589	0.0187293	0.0211704	0.0262795	0.0160783	0.0174127	0.0173688	0.0202162	0.0178012	0.0172872	0.0201326	0.0221424
était	0.0477697	0.0285476	0.0119029	0.0106614	0.0107162	0.00957493	0.0151259	0.0218724	0.0199479	0.0323439	0.0274794	0.07541	0.0480612	0.0341559	0.0273227	0.0470577	0.0254041	0.0514983	0.0700968	0.04554	0.043649	0.044733	0.040945	0.0324714	0.0318105	0.0216059	0.0212645	0.015368	0.013823	0.010447	0.00862771	0.00867828	0.00712774	0.00941587	0.00873591	0.00656007	0.00783398	0.00641398
lui	0.0601056	0.0264482	0.0356379	0.0483296	0.0695865	0.0945781	0.0722968	0.0776448	0.0564257	0.0451041	0.025548	0.0230872	0.027517	0.0305824	0.0601164	0.0314518	0.0132224	0.0202352	0.0135584	0.00974821	0.00538208	0.00287204	0.0026427	0.00248743	0.00605717	0.00572712	0.00549137	0.00734762	0.00609727	0.0111957	0.0113084	0.0136492	0.0079466	0.0185213	0.0122763	0.00802364	0.0101651	0.0215848
qui	0.0331125	0.0289944	0.0277789	0.0420401	0.0781624	0.0380415	0.0551368	0.0693769	0.0459253	0.039666	0.0239384	0.026567	0.039196	0.0265539	0.0411993	0.0371103	0.0214513	0.0247866	0.0247894	0.0213115	0.014855	0.0108967	0.0113405	0.0106474	0.00783204	0.00869779	0.00569484	0.00703535	0.0069	0.00999207	0.00789178	0.00877737	0.00774008	0.0108623	0.0135828	0.0142386	0.0199066	0.0779703
nous	0.0220255	0.0283082	0.0218762	0.0238636	0.0325767	0.0250062	0.0195071	0.0174924	0.0241173	0.0189049	0.0243827	0.0462933	0.0401873	0.0458787	0.0471947	0.0611898	0.0440797	0.0582781	0.0439466	0.0227784	0.0273136	0.0208358	0.0202247	0.0170547	0.0152149	0.0206433	0.0136048	0.0105895	0.0131076	0.010809	0.0123873	0.012131	0.0103681	0.0168393	0.0214091	0.0186706	0.0249208	0.0459881
a	0.0462981	0.0621016	0.0519947	0.0424869	0.02771	0.0326351	0.0233297	0.0198765	0.030319	0.0296674	0.0320461	0.0501084	0.0456764	0.0424504	0.0190435	0.031758	0.0330261	0.0454932	0.0453477	0.0232471	0.019313	0.0117315	0.0144185	0.0138665	0.0103423	0.0188588	0.0150688	0.0137617	0.0147248	0.0130635	0.01027	0.0100363	0.00677267	0.0114963	0.0149165	0.00803017	0.0145835	0.044129
fait	0.0389764	0.0494268	0.0417674	0.0376479	0.0376861	0.0242019	0.024765	0.0200941	0.0183349	0.0202761	0.0275103	0.0238892	0.0258587	0.020042	0.0188743	0.0247871	0.0300859	0.0583584	0.0555454	0.0291306	0.0408306	0.0256416	0.0343521	0.0305648	0.0216117	0.0303043	0.0223535	0.0213409	0.0183246	0.011686	0.0090786	0.00956807	0.0119525	0.0129073	0.0169659	0.00968246	0.013113	0.0324634
tra	0.0519536	0.0294637	0.0210972	0.0167919	0.0114408	0.00821255	0.0123018	0.0105668	0.011627	0.0157298	0.0225768	0.0316007	0.0359563	0.0258902	0.0262734	0.0287389	0.0309352	0.0392209	0.0559641	0.0368547	0.0342334	0.0369219	0.0387331	0.0318921	0.03031	0.0360144	0.0216327	0.031675	0.0251488	0.0304896	0.0241967	0.0210027	0.0183149	0.0168784	0.0179782	0.0178929	0.0203423	0.0231466
verser	0.0605925	0.0451372	0.0287473	0.0248139	0.0164558	0.0149698	0.00960405	0.00774983	0.0102918	0.00790176	0.0101359	0.0145002	0.013042	0.0142159	0.00791878	0.0275375	0.0656431	0.0488397	0.0663355	0.0470332	0.0565942	0.034377	0.0393209	0.0305254	0.018995	0.0197271	0.0186528	0.0201536	0.0144308	0.0133474	0.0108933	0.0109287	0.0180084	0.0184296	0.0221374	0.0218321	0.0333713	0.0568091
la	0.0605014	0.0374804	0.0256499	0.0220378	0.0145276	0.0149787	0.00971604	0.00798404	0.00820934	0.00705133	0.0087649	0.00778107	0.00751907	0.00893265	0.00602637	0.0153525	0.0265126	0.0271348	0.0367969	0.0315611	0.0378256	0.0282638	0.0373472	0.0363529	0.026591	0.0359121	0.0312645	0.0296076	0.0212839	0.0237704	0.0169305	0.0248106	0.0371177	0.0335736	0.0444261	0.0289139	0.0380594	0.0834308
