 	b	a	r	e	b	á	a	d	z	á	d	z	á	n	g	á	m	í	y	é	n	g	a	l	ó	k	o	n	d	z	i	y	a	p	o	o	</S>
les	0.117013	0.105908	0.0264075	0.0146186	0.0122876	0.0224059	0.0300241	0.0264075	0.0307463	0.0289395	0.0195059	0.0248942	0.0229706	0.0297154	0.0361653	0.0428584	0.0610414	0.051939	0.0498864	0.0395249	0.0281524	0.0188887	0.01895	0.0150043	0.0121238	0.0140201	0.0124365	0.00982348	0.0117128	0.0119659	0.00852283	0.00758898	0.00746958	0.00698644	0.00647969	0.00862914	0.00798608
gens	0.0443207	0.0352045	0.119023	0.143301	0.129557	0.11277	0.111039	0.0272268	0.0273262	0.0128297	0.0126948	0.0141622	0.0126349	0.0182641	0.0187003	0.021644	0.0243119	0.0196023	0.0140113	0.00941212	0.00406208	0.00478239	0.00356089	0.00397597	0.00402051	0.00429617	0.00432694	0.00390753	0.00384317	0.00547629	0.00657403	0.0059258	0.00451975	0.00359226	0.00195617	0.00305366	0.00409047
ne	0.00903075	0.00670139	0.0135546	0.0223953	0.0218184	0.0172555	0.0228037	0.0285323	0.0360937	0.0283111	0.0237407	0.0317839	0.0496095	0.0641171	0.0933185	0.0912636	0.105399	0.0878908	0.0637503	0.0426666	0.0140224	0.0100098	0.00923695	0.00683609	0.00551984	0.0055182	0.00598955	0.00669263	0.00617215	0.00951651	0.0118191	0.0127549	0.00871447	0.00940082	0.00712433	0.0065608	0.00407498
savent	0.0278944	0.0206901	0.0338892	0.0302336	0.0255527	0.0211785	0.02751	0.0237838	0.029953	0.0375301	0.0429659	0.0588102	0.0759615	0.061632	0.0663564	0.0311859	0.0438447	0.0201612	0.0108662	0.00837572	0.00711565	0.00751501	0.0099249	0.0123233	0.0090419	0.0108989	0.0191702	0.0156673	0.0138455	0.0239223	0.0236347	0.0382859	0.0297788	0.0294375	0.0213358	0.0191107	0.0106166
pas	0.0280529	0.0245539	0.0281665	0.0303133	0.0306198	0.0322426	0.0314034	0.0337839	0.0268236	0.0275302	0.0275593	0.0242226	0.0262005	0.0218244	0.0237827	0.0190364	0.0218361	0.0193506	0.0177384	0.0176514	0.0274428	0.0274553	0.0257565	0.0321008	0.0339655	0.0256671	0.0223504	0.0214302	0.0284614	0.0228518	0.0245758	0.0252845	0.0264945	0.0265078	0.0289622	0.0345477	0.0534534
qui	0.0174257	0.0118301	0.011522	0.0172961	0.0163179	0.0184464	0.0174943	0.0195768	0.0189957	0.0166242	0.0194707	0.0203137	0.0241997	0.0282687	0.0285956	0.0265324	0.0318509	0.0277036	0.0223931	0.0179466	0.0259425	0.0271221	0.0293187	0.0344048	0.0349678	0.0343649	0.0341693	0.0331703	0.03948	0.0375252	0.0331421	0.0395365	0.0447206	0.0317755	0.0379393	0.0345347	0.0350815
élire	0.0255114	0.0173295	0.0118417	0.016955	0.017197	0.0252216	0.0229967	0.0282671	0.0258846	0.023249	0.0243142	0.0238121	0.0264517	0.0314102	0.0326664	0.0280029	0.0346519	0.0318074	0.027553	0.0257843	0.0395303	0.0333161	0.024494	0.0254163	0.0287605	0.0268083	0.0290281	0.0256132	0.0269878	0.0252002	0.0218997	0.029253	0.0310668	0.0218109	0.028007	0.0302168	0.0516832
comme	0.0108754	0.00835925	0.00909063	0.0133351	0.0138433	0.0226466	0.0205906	0.0303788	0.0246713	0.0224693	0.0202846	0.0164061	0.0169004	0.0215657	0.0163224	0.0147519	0.0201853	0.0205339	0.0173375	0.0177286	0.0311807	0.0265697	0.0256181	0.0348919	0.044335	0.0394585	0.0442516	0.041766	0.0367857	0.0338241	0.0342019	0.0374605	0.0356167	0.0367293	0.0372069	0.0405047	0.061322
chef	0.0151432	0.01335	0.0117091	0.0125608	0.0123098	0.0136429	0.013986	0.0142771	0.00947157	0.0085143	0.00564355	0.0046908	0.00449007	0.00510709	0.00438488	0.00411873	0.00561366	0.00582196	0.00582085	0.00783719	0.0172078	0.0225033	0.0286111	0.0462449	0.0626802	0.0538196	0.0614443	0.0597225	0.0450714	0.0330434	0.0442148	0.0474842	0.0534562	0.0625617	0.054066	0.0613107	0.0680643
du	0.025762	0.0221725	0.0167824	0.0183841	0.0171599	0.0169254	0.0157437	0.0106104	0.00835188	0.00768434	0.00589384	0.00637293	0.00563899	0.00632713	0.00603971	0.00518578	0.00797383	0.00815457	0.00902117	0.0135013	0.0215358	0.035455	0.0427605	0.0557797	0.0468498	0.0469295	0.0375179	0.0352623	0.0355389	0.0325287	0.0407184	0.0488689	0.0537935	0.0550518	0.0573885	0.0579905	0.0623443
village	0.0453309	0.0298446	0.0256683	0.0284727	0.0221405	0.0147476	0.016703	0.0115348	0.0155518	0.0139557	0.0087763	0.00806405	0.00597242	0.00613174	0.00690731	0.00856356	0.00959753	0.0137947	0.0180582	0.0268279	0.0254749	0.0413245	0.0391925	0.0399839	0.0358218	0.0489704	0.0365588	0.0414106	0.037311	0.0316876	0.0335281	0.0274392	0.024624	0.0410843	0.0421219	0.0531784	0.0636448
</S>	0.0697879	0.0362324	0.0195028	0.0144437	0.0112968	0.0110443	0.00920775	0.00822304	0.00895913	0.00865172	0.00444794	0.0042037	0.00316536	0.00462048	0.00330523	0.002112	0.00422892	0.00577045	0.00818131	0.0238205	0.0392394	0.0484802	0.0584437	0.0532133	0.0373945	0.0299114	0.0244224	0.0309697	0.0360962	0.0257549	0.0427397	0.0573027	0.0403591	0.041035	0.0498413	0.0519317	0.0716592
