 	a	d	í	m	o	r	o	y	ε	ε	k	y	á	ω	b	v	έ	l	a	b	a	r	e	</S>
c'	0.42971	0.217674	0.0514288	0.0163215	0.0152233	0.0196945	0.0231952	0.0220738	0.0156845	0.0113772	0.0116201	0.018722	0.023958	0.0113574	0.0103785	0.0127502	0.0123401	0.0171198	0.0119693	0.0112398	0.011183	0.0102835	0.00953737	0.00515806
est	0.0765629	0.0575931	0.023095	0.0207537	0.0293014	0.0307731	0.0376958	0.0522005	0.0510106	0.0474952	0.0507155	0.0436947	0.0520537	0.0594047	0.0612586	0.0233872	0.0328247	0.0275054	0.0478257	0.0612343	0.0428909	0.0288499	0.0276177	0.0142557
un	0.0963472	0.128341	0.1229	0.071395	0.0528477	0.0426872	0.0378749	0.0420971	0.0388049	0.0369503	0.040969	0.0361678	0.0337113	0.0086233	0.00310983	0.00171533	0.000800878	0.000940326	0.00311643	0.00764004	0.0249416	0.0531181	0.0473574	0.0675436
homme	0.0123404	0.0339246	0.0401176	0.0927761	0.168313	0.143795	0.137126	0.0879825	0.0863203	0.0286788	0.0253821	0.0245146	0.0233861	0.010279	0.00703825	0.00745084	0.00498127	0.00458481	0.00534168	0.00504158	0.00309777	0.00589906	0.0115516	0.0300772
très	0.0151852	0.0134955	0.0152327	0.0163258	0.0273742	0.038952	0.0466684	0.0517475	0.0477438	0.039771	0.0494702	0.0361594	0.0362938	0.0345354	0.0361595	0.0246898	0.0280395	0.0241405	0.0315775	0.0390578	0.0350814	0.0587111	0.0934087	0.16018
bienfaisant	0.0219201	0.0284899	0.0447622	0.0530273	0.0559846	0.0613587	0.0657171	0.0731433	0.100397	0.106124	0.111588	0.0324493	0.0422695	0.0333475	0.0205066	0.0182571	0.0158039	0.0152835	0.013687	0.0119399	0.00773692	0.00874661	0.0143283	0.0431314
envers	0.0150756	0.0233838	0.0252991	0.0308765	0.0335863	0.0370347	0.0359415	0.0431058	0.0461655	0.0702245	0.0708456	0.0429511	0.0324115	0.0193421	0.028856	0.0373984	0.0516897	0.0556797	0.0535774	0.0411176	0.030666	0.0439625	0.0540157	0.0767936
les	0.0326789	0.0301113	0.0315575	0.02891	0.0328501	0.0386382	0.0354537	0.0467003	0.0479325	0.0621782	0.0639623	0.0424323	0.0290252	0.0123456	0.0153118	0.0204153	0.0360349	0.0418471	0.0446159	0.0392797	0.0405084	0.0475502	0.0608653	0.118795
gens	0.0510819	0.0481161	0.0487464	0.0416971	0.0309128	0.0175598	0.0136051	0.0144209	0.0124146	0.0168335	0.0138412	0.0147191	0.0121376	0.0123529	0.0147033	0.0147229	0.0273282	0.0323724	0.0412748	0.040018	0.0700727	0.0891889	0.148345	0.173535
</S>	0.0570036	0.0561344	0.0512902	0.038587	0.0253333	0.0178379	0.0170181	0.0176526	0.0168365	0.0209345	0.0179295	0.0153005	0.0140819	0.0155822	0.0170636	0.0185227	0.0255391	0.0338962	0.0506408	0.0482056	0.0611944	0.0660138	0.125298	0.172104
