 	n	g	á	í	d	z	é	e	n	d	á	m	b	e	y	á	m	á	p	a	l	a	n	d	z	ú	e	</S>
j'	0.0827384	0.262324	0.239786	0.11632	0.0287927	0.00645168	0.00322604	0.00278548	0.00390433	0.00403598	0.0061466	0.00811148	0.0135865	0.0334127	0.0346989	0.0395069	0.0256541	0.0160375	0.0127312	0.011877	0.00971167	0.00727328	0.00548652	0.00506706	0.00458225	0.00291515	0.00373222	0.0091049
ai	0.0795393	0.0696294	0.178514	0.0583828	0.0505002	0.0272816	0.0314333	0.0268166	0.040455	0.0577174	0.0381414	0.0467753	0.0509567	0.0442778	0.0419466	0.0235832	0.0220417	0.0225162	0.0055681	0.00447129	0.00553907	0.00646758	0.00587884	0.00540434	0.00730044	0.00723966	0.0157693	0.0258533
mangé	0.0229484	0.0442497	0.034597	0.0556123	0.0570754	0.0698232	0.0686351	0.0508626	0.0585029	0.0493626	0.0482043	0.0367156	0.0423027	0.0395731	0.0439602	0.0426683	0.0256213	0.0277841	0.0152879	0.0186119	0.0189096	0.0189038	0.0166111	0.0149801	0.016413	0.0176644	0.0201644	0.0239549
un	0.022285	0.0394365	0.038289	0.0305952	0.0248046	0.046953	0.0395824	0.0353079	0.0402754	0.0568593	0.0303593	0.0312401	0.0218795	0.0192999	0.0262287	0.0298759	0.0316186	0.0339318	0.035601	0.0317207	0.0328609	0.0332682	0.030653	0.0275941	0.0356059	0.0477647	0.0718609	0.0542485
morceau	0.00690626	0.00800338	0.00667913	0.00604732	0.0133485	0.0569366	0.0553531	0.0618003	0.0938995	0.106659	0.0603382	0.0432131	0.0345906	0.0373866	0.0379405	0.0378563	0.0293246	0.0258876	0.023675	0.0280929	0.0273518	0.0289172	0.0269142	0.0240048	0.024772	0.0182278	0.0276489	0.0482251
de	0.0560768	0.0327607	0.0349448	0.0382625	0.0179477	0.0241416	0.036887	0.0455963	0.0602436	0.0373678	0.0302841	0.025324	0.0218891	0.0218205	0.0276255	0.0318221	0.0276165	0.0334919	0.0329714	0.03053	0.032408	0.0329785	0.0307446	0.0347741	0.0253903	0.039737	0.0333788	0.102985
pain	0.0501175	0.0714162	0.0302439	0.0190604	0.0253436	0.0368315	0.0417206	0.0456582	0.0444688	0.0339677	0.0275597	0.0278105	0.0248658	0.0229353	0.026989	0.0314076	0.0254706	0.0290221	0.0302656	0.0258657	0.0288813	0.0304758	0.0308546	0.033437	0.0327849	0.0363718	0.0366811	0.0994931
avec	0.0562247	0.0360657	0.0252301	0.0234685	0.0253945	0.0350537	0.0392113	0.0361235	0.0221362	0.0162545	0.0131514	0.0153491	0.0164348	0.0219313	0.0284285	0.0313547	0.0335204	0.0456758	0.0549542	0.044923	0.0504874	0.0492148	0.0380096	0.0495692	0.0409843	0.0392194	0.0290794	0.0825502
le	0.0572562	0.0336637	0.0268092	0.0252011	0.0272014	0.0325935	0.0300625	0.0221647	0.011722	0.0104632	0.00856011	0.0100454	0.00872022	0.0112022	0.0148442	0.0154746	0.0168564	0.0252886	0.0326473	0.0250935	0.0370952	0.0438305	0.0483696	0.06968	0.0742067	0.0862301	0.0872565	0.107461
miel	0.0157554	0.015023	0.0149406	0.012547	0.0107805	0.00792188	0.00699379	0.00957682	0.0100025	0.0108071	0.0135219	0.0130961	0.0146342	0.0228536	0.0326635	0.0340409	0.0402404	0.0433231	0.0422622	0.0404796	0.0496318	0.0549134	0.0589983	0.0646944	0.0640251	0.0845325	0.093618	0.118122
</S>	0.0762865	0.0413237	0.0174767	0.021484	0.0237766	0.0338228	0.027157	0.0225336	0.019986	0.0275507	0.0200905	0.0247303	0.0204329	0.0228638	0.0294803	0.0252775	0.0289431	0.0395036	0.0339164	0.0296195	0.0351212	0.0317235	0.0335561	0.0436521	0.0521716	0.0516126	0.0653081	0.100599
