 	p	á	b	h	a	y	é	n	g	á	l	í	i	d	z	á	m	é	w	ó	m	í	í	</S>
aujourd'	0.0269383	0.113528	0.0650258	0.0536907	0.0206058	0.0133086	0.0265987	0.0356411	0.0372822	0.0473222	0.0483068	0.0469232	0.049026	0.0520147	0.0409689	0.0426403	0.0480622	0.0450756	0.0456994	0.039408	0.0217622	0.032832	0.0286496	0.0186895
hui	0.0530159	0.0764893	0.0648893	0.0463306	0.0472416	0.0666831	0.034676	0.0223704	0.0189788	0.0193124	0.0102171	0.012514	0.0412202	0.0425171	0.0521981	0.0501807	0.111932	0.0435303	0.0795333	0.0130855	0.0164626	0.0139877	0.013939	0.0486947
je	0.0199577	0.0167709	0.0188315	0.0161941	0.0194967	0.0280798	0.0439699	0.0490516	0.0342254	0.0340264	0.0338749	0.0371807	0.0555734	0.0583739	0.0850779	0.0740726	0.0700741	0.0677528	0.117712	0.0537189	0.019598	0.0221658	0.0146282	0.00959288
vais	0.0452334	0.0893505	0.116948	0.110299	0.113957	0.0802451	0.0651292	0.0574921	0.0295146	0.0213372	0.00965177	0.0101647	0.0125358	0.0115843	0.0165506	0.0246972	0.0214108	0.0188269	0.0170498	0.0226365	0.0157528	0.0158815	0.023313	0.0504388
manger	0.0276483	0.0599434	0.068834	0.0648687	0.0799667	0.0939412	0.100819	0.0791007	0.0473612	0.0444458	0.0329113	0.0239105	0.0153297	0.0115233	0.0150196	0.0119879	0.0134537	0.0268049	0.0263586	0.0295218	0.0194369	0.0248528	0.0368261	0.0451339
de	0.0284303	0.0378361	0.0455004	0.0456087	0.0575587	0.0698866	0.0647515	0.0584226	0.051006	0.047565	0.0480058	0.0331354	0.038876	0.0231822	0.0364565	0.0180793	0.0190171	0.0268891	0.0265511	0.0373609	0.0165786	0.023758	0.0576719	0.0878722
la	0.0519825	0.0463175	0.0440267	0.0439072	0.0467201	0.0501788	0.0463369	0.0400059	0.0337945	0.0269175	0.0191438	0.0140626	0.0300473	0.0187392	0.0331705	0.0247	0.0243795	0.0258003	0.0412862	0.0594774	0.0551857	0.0610221	0.0708251	0.0919727
viande	0.082825	0.0407724	0.0366484	0.0374124	0.0538256	0.0901309	0.0776327	0.0649857	0.0431959	0.0458032	0.016555	0.0118765	0.0164501	0.00957167	0.00936071	0.00719808	0.0142784	0.00745024	0.00884167	0.0123383	0.0434754	0.048623	0.0513589	0.16939
fumée	0.0455282	0.0200349	0.0237783	0.0213464	0.0321145	0.0538798	0.0513789	0.062453	0.0683281	0.0492929	0.0615356	0.0416638	0.114747	0.0514997	0.0477016	0.0370284	0.0286681	0.0107297	0.012836	0.0124449	0.0130213	0.0124968	0.020147	0.107345
</S>	0.0848306	0.0514361	0.0584192	0.0507263	0.0470281	0.0415124	0.039797	0.0357	0.0238834	0.0230902	0.0150213	0.00735918	0.00766316	0.00606272	0.00755743	0.00629518	0.0148208	0.00543994	0.0132324	0.0322441	0.0566453	0.0877952	0.108671	0.174769
