 	o	k	a	b	h	á	w	á	i	d	z	á	a	l	á	b	i	a	s	a	á	n	i	i	p	ω	ώ	k	a	á	t	s	í	n	a	w	a	a	d	í	l	a	b	v	ú	b	h	ú	l	á	s	í	d	z	á	a	</S>
il	0.00872479	0.0157221	0.0256036	0.0364747	0.0308016	0.0222657	0.0136587	0.0263084	0.0165417	0.0160278	0.0193898	0.01791	0.0418015	0.0540867	0.0962908	0.10308	0.0264462	0.0329178	0.0319503	0.0282478	0.0199158	0.0109508	0.00731915	0.00604211	0.00669032	0.0069871	0.00547868	0.00457861	0.00403387	0.00801779	0.00608901	0.00339876	0.00629377	0.00570542	0.005664	0.00423413	0.00321157	0.00309013	0.00273407	0.00319286	0.00312995	0.0039695	0.00500322	0.00687309	0.00472068	0.00431498	0.00631454	0.0121505	0.0101711	0.0175421	0.0168291	0.0188309	0.0211858	0.0224372	0.0220185	0.0207578	0.0158735
ne	0.103198	0.130658	0.0981421	0.0656379	0.0673443	0.0647367	0.0611355	0.050103	0.048684	0.0336198	0.0158429	0.0139328	0.00583449	0.0136565	0.0177574	0.0188151	0.0119009	0.0115401	0.00875564	0.0086367	0.00395679	0.00377987	0.00383992	0.00907865	0.00517102	0.00218399	0.00616065	0.0087343	0.00610957	0.00440243	0.00703097	0.00736228	0.00744494	0.00828058	0.00464858	0.0086863	0.010898	0.00267218	0.00323045	0.001579	0.00136707	0.00241589	0.00115138	0.00199061	0.00215062	0.00155206	0.00251621	0.0019463	0.00123083	0.00190895	0.00287876	0.00298899	0.00312918	0.00208849	0.0027474	0.0011833	0.00157183
faut	0.0382166	0.0494973	0.0316616	0.0447818	0.0207084	0.0180877	0.0171468	0.0152946	0.0221551	0.0228475	0.0280489	0.0330917	0.00840304	0.0338942	0.0218797	0.0208631	0.00854405	0.0266788	0.0402366	0.0283612	0.0331717	0.0433566	0.0659869	0.0430974	0.0465568	0.0178402	0.0156485	0.00829629	0.0303432	0.0111443	0.00886898	0.0104855	0.0105627	0.00584971	0.00677452	0.00909296	0.00777666	0.00328278	0.00451698	0.00517658	0.00283113	0.00742461	0.0021117	0.00253715	0.00273869	0.00195608	0.00510125	0.00463823	0.00469545	0.00406105	0.00554733	0.00489517	0.00620723	0.00540007	0.00698433	0.00724542	0.00739757
pas	0.0332162	0.0319643	0.0212975	0.0143153	0.0124587	0.0104998	0.0119442	0.012321	0.0118326	0.0163844	0.0131663	0.00872967	0.00831319	0.0158775	0.0182781	0.0204055	0.0219551	0.0272931	0.0221193	0.0223378	0.0230062	0.0339211	0.0486231	0.0605214	0.0390473	0.027842	0.0367546	0.0419346	0.0257723	0.0242175	0.0257343	0.0187007	0.0107734	0.016841	0.0191808	0.0238341	0.0184365	0.0129131	0.00977119	0.0108369	0.00683433	0.0161613	0.00980716	0.00930236	0.00939083	0.00766208	0.00716787	0.00619018	0.00474668	0.00299909	0.00243027	0.00212185	0.00249376	0.00367344	0.00360117	0.00614287	0.0159031
lui	0.0170495	0.0157416	0.0142337	0.00900884	0.00979703	0.00888852	0.0134491	0.013574	0.0119434	0.0123082	0.00935243	0.00579177	0.0050762	0.00809241	0.00790903	0.00939692	0.0107581	0.0142726	0.0153198	0.0200175	0.0150453	0.0514751	0.042006	0.0905218	0.0494115	0.034101	0.0466933	0.0718405	0.0193868	0.0368749	0.0405468	0.0282641	0.0180881	0.020316	0.00831378	0.022337	0.0135908	0.00915463	0.00883854	0.00969457	0.00534706	0.00496362	0.00466413	0.00406578	0.00552123	0.00576618	0.00332335	0.00478287	0.00616031	0.00415891	0.00729216	0.0123138	0.00641903	0.0107716	0.00919886	0.0151761	0.0215938
servir	0.0241666	0.0233681	0.0233299	0.0224383	0.029488	0.0254615	0.0195814	0.0180768	0.0147114	0.0211773	0.027346	0.019627	0.0178918	0.022046	0.0175377	0.029491	0.0260512	0.0312693	0.0335187	0.0292591	0.0243883	0.0223156	0.0218929	0.0320644	0.0210254	0.0141776	0.0142984	0.0191368	0.0177642	0.0116501	0.0158764	0.014034	0.0208806	0.00786172	0.00801984	0.0113072	0.00583277	0.00410182	0.00794142	0.00464325	0.00524263	0.00545945	0.00524326	0.00433586	0.00714698	0.00626039	0.0048729	0.00705996	0.0120156	0.00819469	0.0138707	0.0169043	0.0143858	0.0211786	0.0193772	0.0259724	0.0474295
le	0.0204097	0.0199913	0.0199504	0.0258477	0.0254756	0.0253415	0.0114059	0.0123741	0.0153798	0.0179	0.01498	0.0101937	0.00995246	0.0112291	0.00974448	0.0132507	0.0134618	0.0141122	0.0148006	0.0138039	0.0131551	0.018064	0.0246503	0.0437856	0.0412163	0.0307303	0.0350011	0.0567643	0.028939	0.0275527	0.0414927	0.0314734	0.0175662	0.0110254	0.00882592	0.0104773	0.00828393	0.00629052	0.0130476	0.00579433	0.00626792	0.00879439	0.00688454	0.00572445	0.00886456	0.00648096	0.00510037	0.00750423	0.0132614	0.00907377	0.00924923	0.0128388	0.01022	0.0164578	0.0140066	0.0225876	0.0429425
repas	0.0349882	0.0378601	0.0311368	0.0304212	0.0321565	0.0284162	0.0080594	0.00738771	0.00786136	0.0119989	0.0160528	0.0167451	0.0157853	0.0131886	0.00923258	0.0137329	0.0213929	0.0167999	0.0195378	0.0165331	0.0157012	0.0147469	0.0231086	0.0354838	0.0297053	0.0195425	0.0285369	0.0277559	0.0197842	0.0185038	0.0213804	0.0187415	0.0152468	0.00705081	0.00982487	0.0111762	0.00808529	0.00605237	0.00711445	0.00538015	0.00513063	0.00639784	0.00530938	0.004526	0.00635734	0.00474338	0.00391706	0.00699447	0.01692	0.0106138	0.00987365	0.0108658	0.00896707	0.02767	0.0122594	0.0476964	0.079549
dans	0.0263564	0.0177436	0.0125522	0.0178153	0.0120066	0.0114528	0.00312951	0.00349726	0.00370014	0.00468917	0.00692662	0.00422045	0.00453761	0.00262553	0.0023099	0.00389335	0.0097202	0.0111859	0.00863417	0.0121638	0.0128601	0.0185092	0.0262843	0.0372354	0.0423916	0.0306365	0.0498041	0.0702415	0.0348876	0.0493427	0.0543496	0.046902	0.0241263	0.0221452	0.0148736	0.0228961	0.0124088	0.0109151	0.0113607	0.0118683	0.00585383	0.0119362	0.011069	0.00760512	0.0121046	0.00944421	0.00589979	0.00775315	0.0117359	0.00894488	0.00786348	0.0095955	0.0093962	0.0137352	0.0126554	0.0205124	0.0506961
une	0.0362762	0.021349	0.0172649	0.0173477	0.0125658	0.00992503	0.00596698	0.00480393	0.0033338	0.0038404	0.00541152	0.0044976	0.00657514	0.00384427	0.00376456	0.00423392	0.00645579	0.00812146	0.00710345	0.00939135	0.0122156	0.0140759	0.0202001	0.0236794	0.0273824	0.0295355	0.0381933	0.0418689	0.0266706	0.0339486	0.0273437	0.0237989	0.0102786	0.0165424	0.0123549	0.0134323	0.0135016	0.015988	0.00988062	0.0122499	0.00679335	0.00968703	0.0104558	0.0102775	0.0107292	0.00983057	0.0137173	0.0200115	0.0188497	0.0253913	0.0273378	0.0349092	0.0262795	0.0322058	0.0376547	0.0392131	0.0514422
