 	b	á	n	a	b	á	á	b	v	ú	r	ú	p	o	o	s	i	o	l	a	a	n	i	l	a	n	g	á	k	a	á	</S>
ces	0.0197399	0.0427154	0.114106	0.0557603	0.0537867	0.025699	0.0257776	0.0313799	0.0587545	0.0531729	0.0523792	0.087162	0.047411	0.0119224	0.00860003	0.0113755	0.0116078	0.0106059	0.0148527	0.0118672	0.0107538	0.00860666	0.014936	0.00806166	0.0105157	0.0193662	0.0223771	0.0367042	0.0313769	0.0318928	0.0313598	0.025373
enfants	0.105929	0.0700052	0.0449621	0.0866809	0.095292	0.0674738	0.03265	0.0267918	0.0310363	0.0329781	0.0291695	0.0310257	0.0234187	0.0157475	0.0196619	0.0171028	0.00899527	0.00201879	0.0037369	0.0042812	0.0160983	0.017647	0.0232418	0.0207113	0.0281105	0.0263737	0.0553232	0.0202013	0.0150068	0.0176744	0.00568706	0.00496746
sont	0.123979	0.0638094	0.030206	0.0405431	0.028644	0.0445664	0.0299763	0.0418929	0.0630378	0.0476325	0.0361801	0.044851	0.0454265	0.0192931	0.0162439	0.0225734	0.0101256	0.00964744	0.0162808	0.00659022	0.00468589	0.0117136	0.0225656	0.0155584	0.0329059	0.0445341	0.0246815	0.0280538	0.0227457	0.0271698	0.0126263	0.0112601
rentrés	0.0201559	0.0280918	0.0351457	0.0365575	0.0225656	0.0179773	0.0199987	0.0140561	0.0184992	0.0170087	0.0172661	0.0174973	0.0197978	0.0240918	0.0204527	0.0303599	0.0262187	0.0179682	0.0364477	0.0363684	0.0619314	0.0688597	0.0610342	0.064082	0.0569782	0.0597233	0.0441265	0.0257171	0.021582	0.017535	0.0189498	0.0229557
au	0.0167088	0.00838753	0.00948799	0.0097109	0.0118264	0.0145626	0.0152738	0.0154848	0.0160067	0.0169736	0.0160765	0.0183177	0.0221195	0.0708276	0.0549916	0.0666473	0.0696644	0.10024	0.0795933	0.0985067	0.0634153	0.0291253	0.0159583	0.0159483	0.0124735	0.0157436	0.0172073	0.0146651	0.0185643	0.0211686	0.0202119	0.0241103
village	0.0261397	0.020129	0.0117842	0.0110321	0.0128271	0.0166782	0.0198041	0.0336421	0.0315253	0.0409458	0.0315811	0.0324897	0.0553341	0.0608603	0.0531672	0.0688748	0.0564217	0.0580376	0.0658197	0.0618081	0.0711328	0.0348506	0.00921747	0.0151343	0.0079435	0.00379298	0.00780576	0.0068436	0.00854851	0.0202897	0.0141037	0.0314351
et	0.0127119	0.00913497	0.00851524	0.0102602	0.0131485	0.0157285	0.0170247	0.0193515	0.0137886	0.018506	0.0140714	0.0177943	0.0186196	0.0615051	0.0473894	0.0551024	0.0378233	0.0705985	0.0491565	0.0615558	0.0415359	0.034267	0.0225312	0.0204435	0.0230327	0.030337	0.0355038	0.0371952	0.037248	0.0469908	0.0470227	0.0521059
personne	0.0146891	0.0102866	0.00983519	0.0152826	0.0184822	0.0237503	0.0233857	0.0284268	0.0232324	0.0184484	0.021437	0.016461	0.0296406	0.0365247	0.0312107	0.0350523	0.0643973	0.0638863	0.0536704	0.0774845	0.0699234	0.037091	0.0175854	0.0174664	0.0241156	0.0247982	0.0222233	0.0267307	0.0377506	0.0412441	0.034107	0.0313801
d'	0.0257954	0.0214483	0.0164576	0.0169153	0.0158583	0.0100475	0.00904797	0.00912157	0.00803515	0.010149	0.00915796	0.0096886	0.0156271	0.0274932	0.0246611	0.031736	0.0318021	0.0516957	0.0332728	0.0502612	0.0565112	0.0513604	0.0311169	0.0489118	0.0338368	0.0427748	0.0448742	0.0335636	0.039427	0.0556541	0.0648926	0.0688046
eux	0.0539593	0.0223222	0.0157423	0.0164436	0.0126278	0.0125572	0.0112752	0.00797465	0.0111164	0.00963391	0.0123151	0.0139184	0.0130971	0.0329941	0.0311028	0.044256	0.0417019	0.0528392	0.0396784	0.0532222	0.0392737	0.0226833	0.0217736	0.014407	0.0216251	0.0267148	0.0398626	0.0389286	0.0410146	0.0604763	0.0682519	0.0962107
