 	o	s	w	a	l	a	á	d	z	e	l	á	a	b	v	a	m	á	n	á	s	á	b	a	r	e	</S>
oswala	0.00934573	0.0280749	0.0142879	0.0273066	0.0288679	0.0431233	0.0703727	0.0546385	0.0769363	0.142175	0.0614705	0.0345576	0.0442417	0.0169927	0.0461876	0.0420003	0.0386352	0.0408301	0.0300745	0.0231257	0.0241749	0.0214111	0.0167398	0.016335	0.0137987	0.0150159	0.0192801
était	0.0815522	0.0552484	0.0216802	0.0204211	0.0265099	0.0373298	0.0617269	0.0890561	0.101994	0.159658	0.0608609	0.0696772	0.0231367	0.0492888	0.0261652	0.027257	0.015902	0.0135444	0.0112829	0.00674025	0.00812559	0.00920238	0.00539903	0.00647455	0.0037661	0.00376421	0.0042363
en	0.149829	0.0990495	0.0627894	0.0234362	0.025266	0.0438542	0.0426704	0.0272512	0.0409663	0.0198016	0.0170056	0.0168804	0.0146086	0.0160107	0.0263363	0.0278474	0.039928	0.0458695	0.0486682	0.0305553	0.0226097	0.0210249	0.0189527	0.0201373	0.0278437	0.031278	0.0395303
train	0.051851	0.034911	0.0400914	0.022815	0.0220608	0.0349391	0.0333074	0.0364421	0.0407703	0.0341635	0.0348566	0.0472666	0.0478216	0.0546229	0.0552576	0.0536536	0.0479271	0.0453129	0.0398653	0.024238	0.0193524	0.016881	0.0174784	0.0208922	0.0290104	0.0359291	0.0582828
de	0.0416924	0.0384407	0.0304429	0.0432395	0.0342154	0.0345972	0.0355497	0.0501394	0.0768103	0.0592747	0.0425405	0.0216175	0.0297917	0.0102834	0.0115956	0.0150792	0.0184365	0.0217507	0.0280242	0.0241137	0.0213395	0.0301309	0.0297852	0.0381623	0.0461002	0.0515684	0.115278
bavarder	0.0947175	0.0365674	0.0223141	0.0222153	0.024968	0.0277289	0.0318047	0.049272	0.0642999	0.113263	0.0620754	0.0515384	0.0765063	0.0432836	0.0281709	0.0322571	0.0200633	0.016248	0.0171815	0.0141803	0.0116919	0.0158509	0.00944016	0.0153838	0.0212341	0.0217474	0.0559957
dans	0.0435273	0.0282946	0.0242722	0.0233321	0.0230282	0.0274594	0.0233203	0.01503	0.0174339	0.00799377	0.00465515	0.00718629	0.00579026	0.00624553	0.0200754	0.0191484	0.0343811	0.045703	0.0424751	0.0631312	0.0617734	0.0571935	0.0678768	0.0481151	0.0550708	0.0960023	0.131485
la	0.0399649	0.0258396	0.0206569	0.0230046	0.0217482	0.0278296	0.0262458	0.0223675	0.0309454	0.0232239	0.0175969	0.0109126	0.0178888	0.0124886	0.0265088	0.0260476	0.0328459	0.0340609	0.040274	0.0509783	0.0575592	0.0637154	0.0668923	0.0600651	0.0625632	0.070965	0.0868109
foule	0.0640072	0.0529537	0.0660505	0.0559354	0.0282337	0.0345348	0.0221535	0.0345957	0.0376197	0.0174553	0.0167841	0.0164264	0.0317067	0.00859285	0.033067	0.0168339	0.0167786	0.019734	0.0188676	0.0227976	0.0320394	0.0302477	0.0343438	0.0352794	0.0469104	0.0646462	0.141405
</S>	0.112312	0.0494095	0.0512957	0.0452103	0.0564775	0.0480719	0.0547927	0.0271233	0.0347248	0.0209508	0.0243662	0.0133739	0.00962288	0.00741048	0.00984308	0.00971869	0.0144528	0.0192968	0.0176954	0.0215239	0.0229214	0.0190593	0.0239247	0.0165273	0.0232381	0.0403283	0.206328
