 	n	g	ó	o	á	t	í	n	d	i	m	w	á	n	a	o	k	ú	á	m	í	á	</S>
la	0.173423	0.145502	0.0341322	0.0207742	0.0204307	0.0189046	0.0175421	0.017783	0.030202	0.0341365	0.0566501	0.0558364	0.05542	0.0446373	0.0378005	0.0398258	0.0346819	0.0366298	0.0292988	0.0325276	0.0220835	0.0213639	0.0204137
mère	0.274141	0.223479	0.20189	0.0902411	0.057019	0.0470514	0.0496045	0.024327	0.00886051	0.00462101	0.0013198	0.00229265	0.00228091	0.00113411	0.00310181	0.00123339	0.00194135	0.00200391	0.00144136	0.00127917	0.000332885	0.000319564	8.39993e-05
a	0.0220722	0.0315989	0.0536199	0.0346817	0.0224	0.0299885	0.0574921	0.0873735	0.078348	0.0663276	0.062353	0.070865	0.0308159	0.0254496	0.0352293	0.0438586	0.0431252	0.0406013	0.0428951	0.036496	0.0330251	0.0356226	0.0157609
chargé	0.0209365	0.0195148	0.0261895	0.039502	0.0320525	0.0332116	0.0375589	0.0527048	0.0560744	0.0504298	0.0762882	0.106042	0.045925	0.0534521	0.0484471	0.0473559	0.0356087	0.0290682	0.041129	0.0349562	0.0254765	0.0459317	0.0421441
son	0.0396131	0.0227593	0.033914	0.0566968	0.0522449	0.0387521	0.028527	0.0359386	0.0315892	0.041014	0.0527172	0.0420259	0.0262773	0.0297062	0.0179391	0.0234612	0.0198755	0.0455049	0.043825	0.0597731	0.0659113	0.0780804	0.113854
enfant	0.025269	0.0269442	0.0266261	0.0314005	0.0446645	0.0483973	0.0405869	0.0403593	0.0581536	0.0579992	0.0667268	0.0500583	0.0609907	0.0586541	0.0490487	0.0518726	0.0487772	0.0438792	0.0382643	0.0363604	0.0152751	0.0392655	0.0404264
d'	0.0169761	0.0161778	0.0166209	0.0191356	0.0208616	0.0210741	0.0204879	0.0218668	0.0282426	0.0372825	0.0535273	0.0464941	0.0510775	0.0519598	0.0445587	0.0521588	0.0642993	0.0674252	0.0562755	0.0687575	0.0589438	0.0730036	0.0927928
attiser	0.0153787	0.0145274	0.0160964	0.0199747	0.021017	0.0208402	0.0195943	0.01927	0.0218946	0.0123511	0.0434822	0.0310532	0.0636255	0.0680345	0.0523864	0.0643741	0.0571092	0.0638243	0.0652082	0.0696721	0.065101	0.0736726	0.101512
le	0.0224976	0.0192768	0.0224848	0.0283517	0.0293746	0.0325027	0.0290047	0.0272647	0.0325433	0.0379968	0.0429384	0.0398467	0.0255677	0.0477822	0.0254348	0.0446365	0.0452045	0.0648544	0.0398086	0.0611858	0.0482838	0.0944652	0.138694
feu	0.0353026	0.0316352	0.0447142	0.0398351	0.0236217	0.0121197	0.00938796	0.0109774	0.0141837	0.0160188	0.0257771	0.031481	0.0166188	0.0513089	0.0190571	0.0264841	0.0346502	0.0511254	0.0429045	0.120118	0.0572461	0.120415	0.165018
</S>	0.0292047	0.0232015	0.0400571	0.0389287	0.0373574	0.0241563	0.0206677	0.0209414	0.0132397	0.0132937	0.0243053	0.0175283	0.0193147	0.0318245	0.0210054	0.0308525	0.030985	0.0452731	0.043993	0.0645531	0.0756834	0.132123	0.201511
