 	w	a	á	b	v	ú	n	y	u	n	y	ω	s	í	i	p	a	b	h	í	m	ó	e	b	h	e	r	á	</S>
il	0.111325	0.147817	0.232498	0.207761	0.0749903	0.066842	0.0441114	0.0532696	0.0167879	0.00496942	0.00328318	0.00163473	0.00160121	0.00199961	0.00189939	0.00214779	0.00226132	0.0023701	0.00226097	0.00217583	0.00252375	0.0023172	0.00216324	0.00220404	0.00207927	0.00198963	0.00184237	0.00175945	0.00111588
a	0.0321963	0.0160645	0.0157862	0.0195967	0.0155897	0.0160551	0.0147135	0.015312	0.0115763	0.0285942	0.0299033	0.0318785	0.031732	0.0716738	0.0911157	0.115586	0.057144	0.078537	0.0454891	0.0416032	0.044836	0.0372623	0.0311364	0.0336878	0.01925	0.0118435	0.0088049	0.0123724	0.020659
brisé	0.0137005	0.014958	0.0165277	0.0211991	0.0261886	0.0406666	0.0309854	0.0348832	0.0443472	0.0330452	0.0253081	0.0417652	0.0401715	0.0768675	0.103973	0.119924	0.0703764	0.0234813	0.022344	0.0350033	0.026804	0.013503	0.0157208	0.0155008	0.0152027	0.011208	0.0197819	0.0282249	0.0183374
l'	0.0128617	0.0169384	0.0147518	0.0207779	0.0260551	0.0226577	0.0208051	0.0194612	0.0274998	0.0274325	0.0236068	0.0302074	0.0310844	0.0270751	0.0422627	0.0419539	0.0412234	0.0450533	0.0559462	0.0715494	0.053104	0.053474	0.0404064	0.0256677	0.0284685	0.0401365	0.0357043	0.0401602	0.0636747
aile	0.0124353	0.0157695	0.0180432	0.0191217	0.0173778	0.0174891	0.0181683	0.0196837	0.0274669	0.0250911	0.0251287	0.0231672	0.0264953	0.0362378	0.0454801	0.0502827	0.0492521	0.0615559	0.0521961	0.0639054	0.0526348	0.0481664	0.0523233	0.0430649	0.0267211	0.030902	0.0271701	0.0367981	0.0578714
de	0.00674499	0.00639437	0.00732055	0.00688458	0.0111053	0.0102847	0.0109954	0.00951862	0.0138674	0.0159666	0.0195791	0.0174921	0.0190251	0.0284077	0.0221738	0.0269758	0.0248937	0.0297681	0.0499258	0.0498375	0.0300267	0.0532701	0.0620275	0.0652944	0.0555748	0.067863	0.0683745	0.0918646	0.118543
l'	0.0241504	0.0187483	0.0153426	0.016613	0.0128852	0.0219859	0.0257278	0.0327521	0.0336468	0.0351471	0.0333823	0.0374756	0.0354601	0.0410207	0.0357254	0.0361205	0.0266517	0.0204588	0.0266499	0.0262889	0.0298982	0.0327851	0.0316293	0.0356134	0.038094	0.0371405	0.0544869	0.0696409	0.114479
oiseau	0.0116388	0.014682	0.0115683	0.0128237	0.0108922	0.0114976	0.0125094	0.00984842	0.0113926	0.0124182	0.0117418	0.00846737	0.0119433	0.00965441	0.0150421	0.0142631	0.0238613	0.0372765	0.0593171	0.0833559	0.0767994	0.0803496	0.0633366	0.0692129	0.0461243	0.0572583	0.0498167	0.0730459	0.0898622
d'	0.0153785	0.0168626	0.0131342	0.0167211	0.0135051	0.0170483	0.0179476	0.0178265	0.0177852	0.0171187	0.0174916	0.0172711	0.0188606	0.0178308	0.020245	0.0211414	0.0249341	0.0341626	0.0393674	0.0439001	0.0666506	0.0546649	0.0675996	0.0710729	0.060301	0.0567902	0.065572	0.0659533	0.0728628
un	0.0206427	0.0229627	0.0179682	0.0236471	0.0226368	0.0224688	0.0229142	0.0207907	0.021567	0.0219209	0.0222098	0.0181759	0.0211137	0.00886811	0.0172965	0.00999295	0.0142075	0.016419	0.0172516	0.0392347	0.0602112	0.0479428	0.0449244	0.0679496	0.0509626	0.0693354	0.0738899	0.0862096	0.0962856
coup	0.0137677	0.0138913	0.0135506	0.02037	0.0140092	0.0156315	0.01808	0.0145569	0.0117483	0.010747	0.00986802	0.00944644	0.0154994	0.00934133	0.0221393	0.013599	0.017305	0.0232523	0.0297019	0.034657	0.0627118	0.0648246	0.0581704	0.0771086	0.0628424	0.0794582	0.0741773	0.0898464	0.0996982
d'	0.00839023	0.00971248	0.00660188	0.00947909	0.00793928	0.00934741	0.00970877	0.00988438	0.00979656	0.00972177	0.00975198	0.00993304	0.010573	0.00642298	0.0197875	0.0175333	0.0279541	0.0437422	0.078858	0.165935	0.155827	0.0573489	0.0530986	0.0618212	0.0377522	0.0329876	0.0315219	0.0418491	0.0467208
arc	0.00509358	0.00605291	0.00433933	0.00827646	0.00732539	0.00639566	0.00666334	0.0064073	0.00608042	0.00549202	0.00539393	0.00558495	0.00876487	0.00779972	0.0197279	0.0231399	0.0627972	0.0679435	0.0735977	0.0994858	0.105589	0.0835601	0.0741301	0.0862517	0.0525545	0.051398	0.0350748	0.0385907	0.0364897
</S>	0.0079796	0.0102589	0.0100775	0.0181619	0.0132573	0.0124018	0.0149601	0.0127335	0.0115946	0.00774456	0.00740239	0.0065238	0.0114095	0.012873	0.0199576	0.0292373	0.0501501	0.0377964	0.0508698	0.0684989	0.0738029	0.0553321	0.0529936	0.0680212	0.0656681	0.0375963	0.0534835	0.0697535	0.10946
