 	n	g	ó	l	ó	m	i	y	a	w	a	a	m	í	í	w	á	a	é	b	h	i	l	a	i	b	h	a	n	á	a	í	b	a	á	</S>
son	0.112777	0.112418	0.0854903	0.0250697	0.0347551	0.00907085	0.0072689	0.00560872	0.00887232	0.0153729	0.0192252	0.0315381	0.0338003	0.0367553	0.0339348	0.0374892	0.0403982	0.0464836	0.0402758	0.0218787	0.0203103	0.0228335	0.012924	0.0117323	0.0107012	0.0118282	0.0124641	0.00901608	0.0187614	0.0143973	0.0204371	0.0145092	0.0152067	0.0253261	0.0138161	0.00725342
oncle	0.200366	0.268873	0.258135	0.0596276	0.0215201	0.0556362	0.0265728	0.0283387	0.0166926	0.00777947	0.00642422	0.00751834	0.00446133	0.00207916	0.00196608	0.00369462	0.00154721	0.00325659	0.00247588	0.00452541	0.00139989	0.00260503	0.00108269	0.000941883	0.000722971	0.000439029	0.00134874	0.00211104	0.000994749	0.000799019	0.00121572	0.000953304	0.00184405	0.0015543	0.000391049	0.000104977
est	0.0198838	0.0477261	0.0552842	0.0449292	0.0537739	0.033391	0.0376856	0.0367801	0.0592634	0.0177174	0.0136957	0.0106256	0.0240164	0.0160563	0.027523	0.0241759	0.026903	0.0335429	0.0283706	0.0406144	0.0337576	0.0295712	0.0186123	0.0266682	0.0258029	0.0222531	0.024597	0.0427144	0.0311786	0.0198018	0.026409	0.00939834	0.0116944	0.0115926	0.00790852	0.0060815
mort	0.00681852	0.0136532	0.0129047	0.0102101	0.0210316	0.0181313	0.0138934	0.0142318	0.0145985	0.0195265	0.0277867	0.0282668	0.0290344	0.0221305	0.0192487	0.0145919	0.0185068	0.0312466	0.0331933	0.0568492	0.0636923	0.0638697	0.0373623	0.0694845	0.0554354	0.0485996	0.0425316	0.0445783	0.0360622	0.0245544	0.0152828	0.0128918	0.011473	0.0106369	0.0129445	0.0247461
il	0.0126159	0.00628075	0.00573122	0.00587186	0.00693101	0.010842	0.0265749	0.0337895	0.0255414	0.0296836	0.0280929	0.0446166	0.0480127	0.0398012	0.0323136	0.0387753	0.0180609	0.0318767	0.0329405	0.0811959	0.0537915	0.0490171	0.0283635	0.0235251	0.0212225	0.0219604	0.0190778	0.0158281	0.0189601	0.0217833	0.0225647	0.0249859	0.018122	0.0276634	0.0301421	0.0434441
y	0.00849218	0.00331045	0.00365645	0.00379152	0.00552135	0.00761664	0.0156133	0.0177555	0.0103413	0.0102903	0.0104524	0.013253	0.0158945	0.0133427	0.012503	0.00675714	0.00488117	0.00883241	0.0117914	0.0244844	0.0280418	0.0304421	0.0425111	0.0743955	0.0658281	0.0591639	0.0448057	0.0476153	0.0465775	0.0495463	0.0478689	0.0542916	0.0444317	0.071929	0.0414046	0.0425657
a	0.00995162	0.00511616	0.00573792	0.00653088	0.00796327	0.0085936	0.0115935	0.0244534	0.013421	0.0117062	0.00589505	0.0126316	0.0125768	0.00906986	0.00980531	0.00818782	0.00861489	0.0118541	0.0220763	0.0538773	0.0341946	0.0530511	0.083962	0.0616332	0.0791	0.0512829	0.0444184	0.0582292	0.0416071	0.0360829	0.0251593	0.0339603	0.0213551	0.0337072	0.03564	0.04696
deux	0.0217222	0.0140285	0.0156339	0.0157521	0.0178427	0.0182196	0.0204085	0.025077	0.0242581	0.0163663	0.0129107	0.0148261	0.013918	0.00998609	0.0133021	0.013067	0.0149193	0.0149055	0.022581	0.0506482	0.0330628	0.0351527	0.0428576	0.0304898	0.0326874	0.0335782	0.0351047	0.0376435	0.0516008	0.050324	0.03558	0.041956	0.0256369	0.0328103	0.0426356	0.0685068
ans	0.0217218	0.0198964	0.0193956	0.0194669	0.0199974	0.017146	0.018651	0.0123536	0.0132744	0.00853101	0.00818533	0.00854291	0.00956536	0.00827682	0.0139433	0.00976232	0.0134431	0.0158874	0.0371517	0.0859936	0.0547691	0.0623752	0.071626	0.0456694	0.0507205	0.0312634	0.0216669	0.0248449	0.0264565	0.0196742	0.0230512	0.0190132	0.0211794	0.0245071	0.0305894	0.0914077
</S>	0.0257442	0.0224182	0.0224175	0.0216053	0.0238795	0.0239754	0.0256049	0.0215848	0.0161669	0.00761004	0.00560744	0.00854719	0.0102082	0.00836034	0.0120925	0.00631814	0.00552964	0.00896581	0.0136732	0.0270203	0.0236229	0.0221972	0.0262294	0.0325646	0.0339315	0.0444236	0.0336511	0.0356325	0.0576181	0.0476495	0.0423784	0.0431551	0.0296534	0.0398825	0.056755	0.113326
