 	k	y	έ	é	l	έ	m	w	á	n	a	n	g	á	l	í	i	d	z	w	á	o	t	ó	á	m	á	a	m	í	b	é	á	</S>
prends	0.0192387	0.0206687	0.0199745	0.0186002	0.0207503	0.0337899	0.043782	0.0447857	0.0616769	0.043536	0.0435722	0.0383112	0.0470872	0.0556438	0.0247973	0.0229559	0.0281422	0.0294963	0.0402812	0.0196079	0.017971	0.0242164	0.0190225	0.0175519	0.0309016	0.0345446	0.0243167	0.0162779	0.0258197	0.0273712	0.0234793	0.0265244	0.0212242	0.0140809
soin	0.0559642	0.0419414	0.0401766	0.0290367	0.0424325	0.0419577	0.0583142	0.0405521	0.062556	0.071171	0.0891726	0.0707432	0.05559	0.068563	0.0466286	0.0263732	0.0298389	0.0224997	0.0207377	0.00497056	0.00685467	0.00750538	0.00397576	0.00953425	0.00651422	0.0114214	0.00440087	0.00389141	0.00464711	0.00233887	0.00290838	0.00414929	0.00615164	0.0064869
de	0.0401891	0.0300937	0.029807	0.0136467	0.0340302	0.0413482	0.0394219	0.0354772	0.0338144	0.0358755	0.0394523	0.028911	0.0228226	0.0211287	0.0151087	0.0183218	0.0191579	0.0179714	0.0298132	0.0283808	0.0320175	0.0328121	0.0277439	0.0232945	0.0471245	0.0427679	0.0364609	0.0215085	0.0235499	0.0193926	0.0226481	0.0409849	0.0328023	0.0221199
l'	0.0261491	0.026252	0.0282646	0.0343849	0.0535181	0.0384709	0.0341201	0.0272468	0.0217232	0.0229347	0.027423	0.0215701	0.0306201	0.0283928	0.0209014	0.0202743	0.0215872	0.0181459	0.0250433	0.0236405	0.0338858	0.0350518	0.0229545	0.0311449	0.0294154	0.0257506	0.0230871	0.0198043	0.0209158	0.0201676	0.0263334	0.0423888	0.0427805	0.0756567
enfant	0.0137781	0.0125257	0.0105189	0.0128575	0.0223393	0.0221723	0.0188709	0.0243435	0.0300924	0.0496964	0.0422251	0.047842	0.0443799	0.0527821	0.0261568	0.0257377	0.0417691	0.0705888	0.0301145	0.0435156	0.0470424	0.0466453	0.0353214	0.0251792	0.0253411	0.0126035	0.0183945	0.0118813	0.0101637	0.0120319	0.0139856	0.0185346	0.0229284	0.0576406
je	0.030879	0.0225826	0.0154631	0.0165936	0.0230447	0.0248942	0.0262109	0.0274188	0.0307919	0.0449681	0.0362891	0.0342614	0.0304797	0.0404855	0.0304692	0.0212263	0.0354046	0.0541126	0.0308982	0.047422	0.0347494	0.0306436	0.0259496	0.025143	0.0267559	0.0164617	0.0193465	0.0154628	0.0132252	0.0161478	0.0167634	0.0260289	0.0353779	0.0740492
vais	0.0331708	0.0188898	0.0158896	0.0145637	0.0187421	0.0227371	0.0219195	0.0692982	0.0453028	0.0638062	0.0605709	0.0516529	0.0539513	0.0710272	0.0447186	0.0304868	0.0370255	0.0365932	0.0165298	0.0231804	0.023302	0.014113	0.0101058	0.0172893	0.0104779	0.01221	0.0115899	0.0138111	0.0138354	0.0123664	0.0176964	0.0199955	0.0284812	0.0446696
puiser	0.0122354	0.0109436	0.0117173	0.0101577	0.0131019	0.0216106	0.0142786	0.0411592	0.0406278	0.0486909	0.0422746	0.0400925	0.0398693	0.0557814	0.0299192	0.0242925	0.0241537	0.0225738	0.0120428	0.0166785	0.0236036	0.0234761	0.0215276	0.0353354	0.0252787	0.0206182	0.0168299	0.020245	0.0193066	0.0273759	0.0311616	0.055463	0.0668869	0.0806904
de	0.0346615	0.0212437	0.017931	0.0193902	0.0255867	0.0210728	0.0184919	0.0493446	0.0269983	0.0449749	0.0375478	0.0285404	0.0286547	0.0394984	0.0199741	0.0130556	0.0152657	0.0229079	0.0170183	0.0291389	0.0287573	0.03204	0.0333188	0.0271014	0.0323815	0.0294481	0.0223939	0.0213673	0.023738	0.0341064	0.0289988	0.0419799	0.051581	0.0614898
l'	0.051041	0.033221	0.0284599	0.0288836	0.0305007	0.0213255	0.0123094	0.0102844	0.00723191	0.00952579	0.00902704	0.0073919	0.00699944	0.0113357	0.0081728	0.00642591	0.00766231	0.010146	0.0109292	0.0166672	0.0163267	0.0203292	0.0190644	0.0325793	0.0435484	0.0458751	0.050647	0.0563284	0.0526341	0.0611363	0.0589087	0.0602621	0.0718464	0.0829733
eau	0.0709436	0.046167	0.032399	0.02516	0.0193929	0.0155547	0.0142816	0.0144227	0.0130525	0.0164448	0.0169832	0.0203208	0.0182041	0.0201094	0.0212306	0.0208079	0.0285754	0.0277749	0.0353517	0.0376044	0.0330354	0.0428902	0.0353468	0.0444927	0.027418	0.0355459	0.0125652	0.0167138	0.0225026	0.0298309	0.0266397	0.046253	0.0389344	0.0730498
</S>	0.0450305	0.0278835	0.0230851	0.0213828	0.0201913	0.0183841	0.0116969	0.010391	0.00952154	0.0156065	0.0136084	0.0162492	0.0128672	0.0206457	0.0072063	0.00441556	0.00767995	0.00727936	0.00998677	0.0113847	0.0155956	0.0258116	0.0293172	0.0368293	0.0420641	0.0574784	0.0525242	0.0572634	0.045931	0.050948	0.0585953	0.068221	0.0706171	0.0743074
